"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct"
"30","I love you, and I'm so proud of you. From sitting on those stairs on The X Factor, to now. You boys are my inspiration.♥ :) xx",6,"love","you","and","i'm","so","the","a","i","to","it",0.0299999999997453,FALSE
"31","Maybe some other time I can't slow down, right across that state line right about now",9,"i","can't","slow","down","right","the","have","to","was","am",0.0500000000001819,FALSE
"32","Exhaust leak! arrrgh",3,NA,NA,"exhaust","leak","arrrgh","arrrgh","leak",NA,NA,NA,0.0299999999997453,TRUE
"33","i Love Reading your magazine (: it always cheers me up",4,NA,"i","love","reading","your","have","to","was","am","know",0.0300000000002001,FALSE
"34","Tables are all sold out for the Mystique Masquerade Ball.",3,NA,NA,"tables","are","all","the","you","to","a","not",0.0199999999999818,FALSE
"35","Make one up! It might help you feel better. Alternative: just scream nonsense at the dumb machine.",15,"just","scream","nonsense","at","the","the","a","least","home","all",0.0399999999999636,TRUE
"36","ya ik and i never asked him to follow me i only mentioned him once in one of my tweets- i didnt do anything else",3,NA,NA,"ya","ik","and","i","and","today","someone","feeling",0.0399999999999636,TRUE
"37","I will <3",2,NA,NA,NA,"i","will","have","to","was","am","know",0.0100000000002183,FALSE
"38","Great talking to you guys tonight! Looking forward to your piece next week Jon.",14,"your","piece","next","week","jon","the","of","to","and","year",0.0499999999997272,FALSE
"39","Small market baseball. You, know...for the 99%.",6,"market","baseball","you","knowfor","the","to","are","can","have","a",0.369999999999891,FALSE
"40","Sing it!",2,NA,NA,NA,"sing","it",NA,NA,NA,NA,NA,NA,FALSE
"41","it comes on tonight!! not tomorrow!!",5,"it","comes","on","tonight","not","the","a","my","and","was",0.0300000000002001,FALSE
"42","maybe? just seems they thought up that idea over sunday brunch and thought it was swell.",11,"that","idea","over","sunday","brunch","the","i","a","is","was",0.0500000000001819,FALSE
"43","Thanks for the #FF! Awfully good company to be in.",4,NA,"thanks","for","the","ff","of","and","the","to","is",0.0499999999997272,FALSE
"44","""The longer we live the more we find we are like other persons."" ~ Oliver Wendell Holmes",13,"we","are","like","other","persons","a","the","to","that","this",0.0300000000002001,FALSE
"45","made my list for top 99 women.",7,"list","for","top","","women","the","a","me","and","of",0.0299999999997453,FALSE
"46","nice I watched the whole series, LOVED Julia and her mom Erica was such a badass",6,"i","watched","the","whole","series","of","and","to","is","first",0.0500000000001819,FALSE
"47","GOP line on Obama gay marriage stance seems to be that he flip-flopped. Really want to use that with Romney as your presidential candidate?",13,"to","be","that","he","flipflopped","the","was","said","is","i",0.0299999999997453,FALSE
"48","I know, I know. Then you kick yourself when the fight goes lopsided. But if the upset DOES happen, wow. Nothing like it.",11,"kick","yourself","when","the","fight","of","and","to","is","first",0.0500000000001819,FALSE
"49","No stress balls or keg and different crew -- but these guys know how to party",10,"and","different","crew","","but","the","i","a","to","it",0.0300000000002001,FALSE
"50","William Davis attorney says client will plead insanity. He faces first-degree murder charge in woman's death",13,"he","faces","firstdegree","murder","charge","said","was","the","has","is",0.0299999999997453,FALSE
"51","#OccupyMadison GA: ""I always considered myself a liberal until I saw the liberal machine in action. It was ugly.""",14,"i","saw","the","liberal","machine","of","and","to","is","first",0.0399999999999636,FALSE
"52","Weird thought: we got to witness the change of a millenia, the next change is 40 generations away...imagine what the differences will be!!",9,"to","witness","the","change","of","of","and","the","to","is",0.0500000000001819,TRUE
"53","got a good one?",3,NA,NA,"got","a","good","of","lot","to","and","few",0.0199999999999818,FALSE
"54","love chris brown",3,NA,NA,"love","chris","brown","to","my","the","it","you",0.0299999999997453,FALSE
"55","Wit them sexy ass lips",4,NA,"wit","them","sexy","ass","the","to","and","in","all",0.0100000000002183,FALSE
"56","its sounds good",3,NA,NA,"its","sounds","good","a","not","own","to","just",0.0399999999999636,FALSE
"57","How (un??)fortunate that those days when every status update was a song lyrics were also the days when I first discovered New Wave...",18,"were","also","the","days","when","of","and","to","is","first",0.0399999999999636,FALSE
"58","I had a bomb ass day Chillin' with friends.",9,"ass","day","chillin'","with","friends","the","a","and","my","her",0.0199999999999818,FALSE
"59","Working on music for Holiday show on the 23 in Santa Barbara!! OPEN BAR!! Me, Tim from Palin White T's and JR Richards from Dishwalla!!",22,"palin","white","t's","and","jr","the","i","a","to","it",0.0300000000002001,FALSE
"60","Hey Nate! Thanks for dropping by yesterday. How was your meal?",10,"by","yesterday","how","was","your","a","the","to","in","not",0.0499999999997272,FALSE
"61","#FF : literary lights who brightened my week.",3,NA,NA,"ff","","literary","to","for","literary",NA,NA,0,TRUE
"62","Time to shape up! Water, pavement, weights, and zija are going to be my friends. wedding just 4 months away!",5,"time","to","shape","up","water","the","a","to","be","and",0.0399999999999636,FALSE
"63","Report the many things that are positive about the University of Arkansas athletics program.",4,NA,"report","the","many","things","of","and","to","is","first",0.0300000000002001,FALSE
"64","Athletes/celebrities should have a tool to charge $.99 per RT request. $ to support foundations/charities, fans get involved.",2,NA,NA,NA,"athletescelebrities","should","should","have",NA,NA,NA,0,TRUE
"65","Enjoy!! Stay cool!!",3,NA,NA,"enjoy","stay","cool","in","the","for","up","just",0.0399999999999636,FALSE
"66","""...yo chick she so thirst..."" aye!!! I really don't know what else they're saying tho except that lol",5,"yo","chick","she","so","thirst","i","much","and","many","we",0.0300000000002001,FALSE
"67","talks in third person.",2,NA,NA,NA,"talks","in",NA,NA,NA,NA,NA,NA,FALSE
"68",". many things can happen. Only YOU can control your reaction to it. Practice this good",10,"only","you","can","control","your","be","to","a","are","can",0.00999999999976353,FALSE
"69","""You will allow me to continue to do what I love."" Big Show's wife?",2,NA,NA,NA,"you","will","to","are","can","have","a",0.0199999999999818,FALSE
"70","haha very cute! Have u heard from julie?? Who's that on her fb I'm tryin not to laugh",8,"have","u","heard","from","julie","the","a","to","his","been",0.0599999999999454,FALSE
"71","and somedays youre the windshield wiper",2,NA,NA,NA,"and","somedays","the","i","a","to","it",0.0199999999999818,FALSE
"72","I'm taking Adam! :-)",2,NA,NA,NA,"i'm","taking","to","not","a","trying","going",0,FALSE
"73","lets do this",2,NA,NA,NA,"lets","do","go","get","say","reel","the",0.0100000000002183,FALSE
"74","Not much, Ben - how's you?",5,"not","much","ben","","how's","to","as","a","just","the",0.00999999999976353,FALSE
"75","Sarah trying to explain to my teacher YOLO, lmfao .... >>",10,"my","teacher","yolo","lmfao","","and","life","is","heart","to",0.0300000000002001,FALSE
"76","#Inspiring RT : Great minds must be ready not only to take opportunities, but to make them. --Colton",7,"","great","minds","must","be","have","be","read","to","do",0.0399999999999636,TRUE
"77","med school...wow! I could never do that. Am too OCD to be around blood and sick people for long periods of time ;)",19,"and","sick","people","for","long","the","a","me","and","this",0.0300000000002001,FALSE
"78","Sleeping? Not likely. RT : Sleeping to",2,NA,NA,NA,"sleeping","not","to","not","likely",NA,NA,0.00999999999976353,TRUE
"79","Time for lunch!",3,NA,NA,"time","for","lunch","the","a","and","me","this",0.0300000000002001,FALSE
"80","Not being dependent on anyone for your happiness >>>",3,NA,NA,"not","being","dependent","a","to","just","the","be",0.0199999999999818,FALSE
"81","This humidity is not sitting well with me at all !! #NeedACInSchool D:",3,NA,NA,"this","humidity","is","is","year","and","time","season",0.00999999999976353,TRUE
"82","Do u know whats creepily??? I Hate Cheesecake. Its Cake with Cheese in front of it!",11,"hate","cheesecake","its","cake","with","a","not","own","my","with",0.0700000000001637,TRUE
"83","thanks. Got it at walmart!",2,NA,NA,NA,"thanks","got","for","the","to","i","much",0,FALSE
"84","Still haven't seen #Super8? Every 88th check-in wins a free movie ticket. 45,347 check-ins so far!!",2,NA,NA,NA,"still","haven't","the","to","on","be","don't",0.00999999999976353,FALSE
"85","RT Congratulations to the for advancing in the #stanleycup Playoffs! They defeated the #Sens in a 4-3 series.",16,"defeated","the","sens","in","a","the","a","of","and","my",0.0300000000002001,TRUE
"86","Hey hey hey , can i meet chaaaa ?!",8,"","can","i","meet","chaaaa","have","to","was","am","know",0.0500000000001819,FALSE
"87","Ghost Hunters makes me cry :( <3",4,NA,"ghost","hunters","makes","me","me","think","a","it","so",0.0299999999997453,TRUE
"88","Who's going to the OVW show tomorrow? your team dominoski will be in the house! First brew after the show is on me!",10,"show","tomorrow","your","team","dominoski","and","to","own","the","is",0.0199999999999818,FALSE
"89","just waking up but #therave last night though>>>>>>",3,NA,NA,"just","waking","up","a","the","to","in","like",0.0100000000002183,FALSE
"90","at six flags.",3,NA,NA,"at","six","flags","the","a","least","home","all",0.0299999999997453,FALSE
"91","Thanks Tom.",2,NA,NA,NA,"thanks","tom","for","the","to","i","much",0.0199999999999818,FALSE
"92","They're not applauding because you don't have a button!",6,"not","applauding","because","you","don't","to","are","can","have","a",0.0300000000002001,FALSE
"93","« im not mad.. it just sucks that i cant show you off.» THIS!.",4,NA,"","im","not","mad","to","a","just","the","be",0.0299999999997453,FALSE
"94","I'm at little league majors try outs in",4,NA,"i'm","at","little","league","the","a","least","home","all",0.0300000000002001,FALSE
"95","Where my meatballs at? and Naomi :)",3,NA,NA,"where","my","meatballs","and","life","is","heart","to",0.0199999999999818,FALSE
"96","Doing some #cufon testing and implementation in #wordpress. What the FOUC d'y'all think of cufon?",4,NA,"doing","some","cufon","testing","of","more","the","other","things",0.0300000000002001,FALSE
"97","lo mejor! it was cool experiencing work through the eyes of an excited teen",4,NA,"lo","mejor","it","was","was","is","a","to","the",0.0299999999997453,TRUE
"98","Me: the only b word u should call a girl is beautful! Colin: or a butterfly!",8,"b","word","u","should","call","be","have","a","not","to",0.0199999999999818,FALSE
"99","I just think that the zooming is overused. It needs to be done tastefully. And it's not the point.",2,NA,NA,NA,"i","just","have","to","was","am","know",0.0100000000002183,FALSE
"100","If you have Firefox or Google Chrome type in ""let it snow"" into google today.",14,"let","it","snow","into","google","the","was","is","a","to",0.069999999999709,FALSE
"101","hahahahhahah u just made my day :D",6,"u","just","made","my","day","and","life","to","is","a",0.0399999999999636,FALSE
"102","I can hear ""High and Dry"" through the walls. Amazing.",3,NA,NA,"i","can","hear","have","to","was","am","be",0.0199999999999818,FALSE
"103","RT : **IMPORTANT** Our new hashtag is #SNTCK please tweet your #specialneeds resources and writings with us to share",9,"new","hashtag","is","sntck","please","a","the","to","not","that",0.0500000000001819,FALSE
"104","Proud to have voted twice for the SAG-AFTRA merger. Have you voted yet?",2,NA,NA,NA,"proud","to","of","that","momma","it","his",0.0100000000002183,FALSE
"105","this conference is rockin'",3,NA,NA,"this","conference","is","is","year","and","time","season",0.0199999999999818,TRUE
"106","Pretty sure that was a broken leg.",3,NA,NA,"pretty","sure","that","that","we're","sure","to","and",0.0299999999997453,TRUE
"107","Keith was also good a smoking in the dugout and being a class a jerk. I grew up a Mets fan..sorry to admit",6,"was","also","good","a","smoking","of","lot","to","and","few",0.0300000000002001,FALSE
"108","She's calling you back - is having a moment ;)",7,"you","back","","is","having","a","the","to","not","that",0.0499999999997272,FALSE
"109","Reward yourself for just getting up in the morning. It's a wonderful accomplishment!",8,"just","getting","up","in","the","the","a","and","my","his",0.0300000000002001,TRUE
"110","Big ups to for leaving voicemails that Google can accurately transcribe.",11,"that","google","can","accurately","transcribe","be","i","the","is","was",0.0399999999999636,FALSE
"111","#GET BETTER",2,NA,NA,NA,"get","better","the","to","a","it","my",0.0199999999999818,FALSE
"112","Everyone say a prayer for my brother who is at Wrigley field with his wife and kids. She and her daughters are in Cardinals jerseys.",3,NA,NA,"everyone","say","a","that","i","the","this","to",0.0199999999999818,FALSE
"113","Why you actin like that towards me now",8,"like","that","towards","me","now","the","i","and","to","is",0.0399999999999636,FALSE
"114","Have a great evening/afternoon/whatever it is where you are, folks!",7,"great","eveningafternoonwhatever","it","is","where","a","the","to","was","is",0.0500000000001819,FALSE
"115","experience of a life time!",3,NA,NA,"experience","of","a","the","a","and","my","it",0.00999999999976353,TRUE
"116","Hey how did you like Dogtooth? I watched like six months ago but don't know anyone else who saw it.",3,NA,NA,"hey","how","did","to","much","they","the","many",0.0399999999999636,FALSE
"117","The average gossip and complain. The exceptional create and inspire. #leadership RT",3,NA,NA,"the","average","gossip","of","and","to","is","first",0.0100000000002183,FALSE
"118","#OneThingYouShouldntDo Spam someone to DEATH! it's like stalking them ... Like really?!",6,"spam","someone","to","death","it's","the","be","a","make","do",0.0499999999997272,FALSE
"119","me too",2,NA,NA,NA,"me","too","and","i","to","the","my",0.0100000000002183,FALSE
"120","Buffalo we do appreciate you following Poised Creation on Twitter!! :)",2,NA,NA,NA,"buffalo","we","we","soldiers","who","do",NA,0,TRUE
"121","I promise you can go ten minutes without hanging on his arm.",5,"i","promise","you","can","go","to","have","be","a","can",0.0500000000001819,FALSE
"122","Snap backs and tattoos",3,NA,NA,"snap","backs","and","and","lately","backs","have","tattoos",0.0199999999999818,TRUE
"123","Fallout from the original, actually",2,NA,NA,NA,"fallout","from","from","the",NA,NA,NA,0.00999999999976353,TRUE
"124","who is your favorite tv mom?",4,NA,"who","is","your","favorite","a","to","the","not","that",0.0300000000002001,FALSE
"125","Hey Giants fans. How ya feeling tonight. Boy, do you look dumb in that stupid panda hat.",17,"in","that","stupid","panda","hat","the","i","a","is","was",0.0499999999997272,FALSE
"126","out of twitter jail i see.",3,NA,NA,"out","of","twitter","the","a","and","my","it",0.0199999999999818,FALSE
"127","IT PUTS THE WOO IN MY WOO!",3,NA,NA,"it","puts","the","was","is","a","to","the",0.0100000000002183,TRUE
"128","People can keep talking/Thy can say what thy like/I dont worry cause everythings goin' be alright/No one get n way I feeling 4 (JESUS)",16,"cause","everythings","goin'","be","alrightno","a","in","the","to","able",0.0299999999997453,FALSE
"129","Drawn Dead will be at the Wynn today giving out free shirts!",12,"today","giving","out","free","shirts","of","the","on","and","in",0.0300000000002001,FALSE
"130","the fact that i added an extra ""d"" on the end of ""just"" amplifies its greatness that much more. Oy vey.",12,"d","on","the","end","of","of","and","the","to","is",0.0399999999999636,TRUE
"131","Hmm, I got hacked--do not open that link in the DM that was sent from my account. Sorry!! Yikes.",10,"open","that","link","in","the","the","a","my","and","his",0.0300000000002001,TRUE
"132","dont break my butt",2,NA,NA,NA,"dont","break","to","want","like","know","be",0,FALSE
"133","you're welcome(:",2,NA,NA,NA,"you're","welcome","in","cryin'","the","a","on",0.00999999999976353,FALSE
"134","O.. intrigued by ! We're in negotiations for building our new website...",2,NA,NA,NA,"o","intrigued","come","m","holy","shop","mueller",0.0199999999999818,FALSE
"135","So what do you do in OKC?",6,"what","do","you","do","in","you","i","to","the","are",0.0399999999999636,FALSE
"136","the fact that lives on an island makes me wanna shoot myself because i need to see her at least every other day to feel sane.",9,"on","an","island","makes","me","the","me","a","think","my",0.0500000000001819,TRUE
"137","Players were Tebowing before Sat NFL Astroturf Collegiate Bowl. Praying in the end zone before the game and Tebowing a great stite",10,"nfl","astroturf","collegiate","bowl","praying","parade","decided","draft","schedules","shifts",0.0199999999999818,FALSE
"138","Yes they can :)",3,NA,NA,"yes","they","can","are","have","were","the","will",0.0299999999997453,FALSE
"139","Hahahahaha, I love it. Thanks for the quick birthday lesson :)",5,"hahahahaha","i","love","it","thanks","was","is","to","a","the",0.0300000000002001,FALSE
"140","; Im Almost Up To Youu!",5,"","im","almost","up","to","to","the","a","and","with",0.0300000000002001,TRUE
"141","Tonight should be fun ;)",3,NA,NA,"tonight","should","be","be","have","a","not","to",0.0199999999999818,TRUE
"142","I spy at Zeitgeist Coffee :)",3,NA,NA,"i","spy","at","have","to","was","am","know",0.0299999999997453,FALSE
"143","Thanks for the retweet!",2,NA,NA,NA,"thanks","for","for","the","to","i","much",0,TRUE
"144","“: be quiet poo balls.” I'm writing this on my wall",10,"i'm","writing","this","on","my","the","a","my","and","is",0.0399999999999636,TRUE
"145","Sarkozy? More like Sark-oh-no-he-didn'tzy, am I right?",3,NA,NA,"sarkozy","more","like","than","to","the","about","of",0.0199999999999818,FALSE
"146","going through #RNRCHI bag & wondering if people *actually* pay $60 to do the ""ready to run"" 20 mile training run.",3,NA,NA,"going","through","rnrchi","to","the","be","on","and",0.0199999999999818,FALSE
"147","That's game we lost I can't hate on the Heat Good Game",11,"hate","on","the","heat","good","of","and","the","to","is",0.0300000000002001,FALSE
"148","The #Marlins wish they had 5000 in attendance tonight...",7,"wish","they","had","","in","to","a","the","been","are",0.0399999999999636,FALSE
"149","#9 for Nelson!",3,NA,NA,"","for","nelson","the","a","me","and","this",0,FALSE
"150","Tweetin while I walk. Check my walkin soundtrack!",7,"i","walk","check","my","walkin","and","to","life","is","have",0.0500000000001819,FALSE
"151","are you visiting again?! 'cause that would be awesome!",2,NA,NA,NA,"are","you","the","you","to","a","not",0,TRUE
"152","no it's the interview he told us about in class member?",6,"it's","the","interview","he","told","of","said","was","is","and",0.0299999999997453,FALSE
"153","Who has the bigger stick?",4,NA,"who","has","the","bigger","of","and","to","is","first",0.0199999999999818,FALSE
"154","These late night walks are still religion to me. Thank goodness for these.",11,"religion","to","me","thank","goodness","the","be","a","you","make",0.0399999999999636,FALSE
"155","Is that a rhetorical question?",2,NA,NA,NA,"is","that","a","the","to","not","that",0,TRUE
"156","I want a new phone case. Preferably a sparkly one.",6,"want","a","new","phone","case","of","to","lot","and","york",0.0500000000001819,FALSE
"157","Everybody in the class is laughing at this part and I had no idea what was said :p",16,"had","no","idea","what","was","i","the","is","you","to",0.0299999999997453,FALSE
"158","Bestfriend just got hit on my a 30 something year old",8,"hit","on","my","a","","of","lot","and","to","the",0.0500000000001819,FALSE
"159","thanks for the follow... Your Gorgeous btw! ;)",3,NA,NA,"thanks","for","the","the","a","me","and","this",0.0199999999999818,TRUE
"160","oh boo :( and here I was promoting what I thought it would be to a friend yesterday! Let me know if the cobbler needs help ;)",20,"a","friend","yesterday","let","me","of","me","lot","to","and",0.0399999999999636,TRUE
"161","""Collaboration addresses complex problems more effectively because there are more perspectives in the room""-Gary Mangiofico",9,"more","effectively","because","there","are","are","is","a","was","of",0.0500000000001819,TRUE
"162","cinco de mayo fiesta at la carreta is packed!",3,NA,NA,"cinco","de","mayo","mayo","de","la","los","ivan",0.00999999999976353,TRUE
"163","Dallas slapped me on my red as cherries sunburn, and im still crying aftr 10 mins., i hate him.",3,NA,NA,"dallas","slapped","me","a","me","and","tonight","hospital",0.0199999999999818,TRUE
"164","is that kind of place. Like in DC. Ladybugs lurv it.",9,"place","like","in","dc","ladybugs","the","a","my","and","his",0.0300000000002001,FALSE
"165","#Well Done 2",2,NA,NA,NA,"well","done","as","the","of","and","with",0.00999999999976353,FALSE
"166","I was born 2 weeks early? Haha",2,NA,NA,NA,"i","was","have","to","was","am","know",0.0199999999999818,TRUE
"167","cant wait till",2,NA,NA,NA,"cant","wait","be","get","just","the","go",0.0100000000002183,FALSE
"168","you are gorgeous, em!",4,NA,"you","are","gorgeous","em","to","a","the","you","are",0.0399999999999636,FALSE
"169","That’s what I thought, just wanted to check before I rework it.",4,NA,"thats","what","i","thought","have","to","was","am","know",0.0300000000002001,FALSE
"170","adele gets off a standing ovation right away?",3,NA,NA,"adele","gets","off","a","and","in","you","up",0.0299999999997453,FALSE
"171","Keep moving, and get out of the way",7,"and","get","out","of","the","the","a","and","it","my",0.0399999999999636,TRUE
"172","“: yeah, l could be the bigger person, or you could just shut the fuck up.”",2,NA,NA,NA,"","yeah",NA,NA,NA,NA,NA,NA,FALSE
"173","anything intriguing going over there? Any clues on who the browns draft next?",7,"going","over","there","any","clues","are","is","a","the","to",0.0500000000001819,FALSE
"174","Being chauffeured in a brand new Range Rover w/ and Happy Derby day!",10,"new","range","rover","w","and","and","york","jersey","a","simple",0.0499999999997272,TRUE
"175","I lost 5 pounds sweating in sparring class today.",9,"sweating","in","sparring","class","today","the","a","my","his","and",0.0100000000002183,FALSE
"176","Let peace find a toe hold in this tumultuous world.",3,NA,NA,"let","peace","find","me","of","said","love","find",0.0199999999999818,TRUE
"177","Reminder: we play in Dallas tonight at the den. 10p start. See y'all there.",3,NA,NA,"reminder","we","play","have","are","to","were","can",0.0199999999999818,FALSE
"178","me, too!",2,NA,NA,NA,"me","too","and","i","to","the","my",0.0100000000002183,FALSE
"179","And thank everyone of you who has taken the time out of your day to listen to us, your all amazing, much love h2p",13,"the","time","out","of","your","the","a","and","of","my",0.0299999999997453,FALSE
"180","in MD MIAA-A Boys Lax action, St Mary's Annapolis goes into Loyola-Blakefield's house and leaves with a victory. 11-8",4,NA,"in","md","miaaa","boys","the","a","my","his","and",0.0199999999999818,FALSE
"181","#FridayThe13th is the best movie ever....and todays date.",7,"the","best","movie","everand","todays","of","and","to","is","first",0.0300000000002001,FALSE
"182","The poor needs relief, and they need it now! Somebody help!",10,"they","need","it","now","somebody","was","is","to","the","a",0.0499999999997272,FALSE
"183","Okay so apparently it's not new? Sorry for having a life and not listening to music all day long. :)",14,"a","life","and","not","listening","the","a","to","i","it",0.0300000000002001,FALSE
"184","Heard PM was in #Broncos training facility all day, even had a 2 Hour",14,"even","had","a","","hour","of","lot","to","and","few",0.0299999999997453,FALSE
"185","that is hilarious! We need to do what we can to feel young!!",10,"to","do","what","we","can","the","have","are","to","i",0.0500000000001819,FALSE
"186","I had the weirdest dreams last night.",2,NA,NA,NA,"i","had","have","to","was","am","know",0.0100000000002183,FALSE
"187","scrapbook class. Next up: hinged reattachment of enclosures w/ wheat paste and Japanese tissue! It's like I'm at nerd camp.",9,"hinged","reattachment","of","enclosures","w","the","a","and","my","it",0.0299999999997453,FALSE
"188","If your girlfriends parents pay her cell phone bill...",4,NA,"if","your","girlfriends","parents","you","to","i","and","the",0.0300000000002001,FALSE
"189","thanks... I'll definitely be using some Edmundson",3,NA,NA,"thanks","i'll","definitely","for","the","be","never","have",0.0199999999999818,FALSE
"190","This Little Girl by Cady Groves..... I <3 it! Look it up :)",8,"by","cady","groves","i","","have","to","was","am","know",0.00999999999976353,FALSE
"191","YourKoz Games+Find out who this is-$2.00+She concentrates on the calibre and quality of education for Jordanian children & global education",19,"for","jordanian","children","","global","the","a","and","me","this",0.0199999999999818,FALSE
"192","can u please RT or follow? i'm one of your biggest fans :)",9,"or","follow","i'm","one","of","of","the","day","in","is",0.0500000000001819,TRUE
"193","The tea party movement filled the gap in republican party on intolerance for overspending.",11,"gap","in","republican","party","on","the","a","and","my","his",0.0399999999999636,FALSE
"194","Flores says vocational training is ""his backyard."" Admiration for police, nurses.",9,"is","his","backyard","admiration","for","a","the","to","not","that",0.0399999999999636,FALSE
"195","In Krav Maga there are no rules, no restrictions",4,NA,"in","krav","maga","there","the","a","my","his","and",0.0300000000002001,FALSE
"196","Thank you! I'm proud of us all!",3,NA,NA,"thank","you","i'm","to","are","can","have","a",0.0299999999997453,FALSE
"197","I love you brianana",4,NA,"i","love","you","brianana","to","have","are","can","a",0.0300000000002001,FALSE
"198","""As for me and my house, we will serve the Lord."" And we will embrace our LGBT brothers and sisters.",8,"and","my","house","we","will","have","to","are","the","were",0.0299999999997453,FALSE
"199","im following u so u cant welch lol",7,"u","so","u","cant","welch","i","much","get","and","many",0.0500000000001819,FALSE
"200","Plan on being a DJ (:",4,NA,"plan","on","being","a","the","a","my","and","your",0.0299999999997453,TRUE
"201","I actually saw a police officer on horseback galloping through downtown.",8,"a","police","officer","on","horseback","the","a","my","and","of",0.0500000000001819,FALSE
"202","8th grade was so great though! & we all said we'd all stay close! We should all get together ASAP.",14,"said","we'd","all","stay","close","the","of","in","that","i",0.0399999999999636,FALSE
"203","so? It's not the same.",5,"so","it's","not","the","same","of","and","to","is","first",0.0300000000002001,FALSE
