"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"11","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was",28,"unconstitutional","like","also","im","part","call","structure","called","took","thats","high",0.0400000000008731,FALSE
"12","»Scene 2: Shays’ apartment«","�scene shays’",3,"apartment�",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"13","“It’s no costume, Pricklewood, I’m the real McCoy.” I then got down onto the carpet, grasped the feet of the armchair with my toes and lifted it off the ground. “How many humans do you know who can do that?” I asked.","“it’s no costume pricklewood i’m the real mccoy” i then got down onto the carpet grasped the feet of the armchair with my toes and lifted it off the ground “how many humans do you know who can",39,"do","see","get","say","make","take","also","imagine","just","still","tell",0.0299999999988358,FALSE
"14","And I very much doubt if it will end there. Because of all the foregoing factors, and the immediate crisis Murdoch faces, BSkyB’s movers know that he must do this deal….or wind up in very bad shape as a business. There may also come a point at which BSkyB find Murdoch himself simply too toxic to have as a buyer anyway.","and i very much doubt if it will end there because of all the foregoing factors and the immediate crisis murdoch faces bskyb’s movers know that he must do this deal�or wind up in very bad shape as a business there may also come a point at which bskyb find murdoch himself simply",54,"too","cant","beautiful","means","know","much","use","book","look","im","start",0.0199999999967986,FALSE
"15","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","almighty and everlasting god by whose spirit the whole body of your faithful people is governed and sanctified receive our supplications and prayers which we offer before you for all members of your holy church that in their vocation and ministry they may truly and devoutly serve you through our lord and savior jesus christ",56,"amen","now","great","name","lives","spirit","jesus","says","died","shall","master",0.0100000000020373,FALSE
"16","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","how many times have you heard someone say that soandso is too nice to tell the person they’re seeing that they want to call it quits too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool there certainly are people who are softspoken and decidedly nonconfrontational but that doesn’t mean they’re nicer relative to everyone else it’s just their personality you can be assertive honest",84,"and","never","even","quite","left","cover","smell","body","drop","caring","opinion",0.0400000000008731,FALSE
"17","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on piano and joe mack and bill salter on bass the band who play both loose and funky without ever sounding sloppy helped produce a more laid back vibe and chandler sounds more relaxed than he did on the earlier album he has some better songs on this one too such as the title cut warm poppy number aboutwell “lovin’ people” on which the presence of a chorus made up on the spot of people who had gathered to provide assistance to a mothers’ help organization also helps temper chandler’s unfortunate tendency towards overearnestness “the fool” is about a relationship gone bad which doesn’t have anything new to say but will have a few toes tapping “sold out no more reservations” is an interesting number about a male groupie and “bound to fly” has a nice soaring quality and chandler’s lyrics and delivery mesh well on it if anything the problem here is that chandler is sometimes eclipsed by his backing",183,"band—check","campaign","band",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"18","Whether you’re looking at investing in residential, commercial or industrial property, the Urban Redevelopment Authority’s (URA) area planning and guidelines will have a long-term impact on your property’s values.","whether you’re looking at investing in",7,"residential","live","put","instead","trench","heavily","millions",NA,NA,NA,NA,0.0299999999988358,FALSE
"19","Ah, Parga. How many times have we sat in Paxos, looking across at the mainland at night seeing twinkling lights in the far distance? How many times have we wondered just what was it like over there? Well now we know. Unfortunately the place with the twinkling lights was not Parga but some other little community. We got it wrong. Parga was on the itinerary anyway. We concluded it was not worth the detour; two resort-y bays separated by an ancient Turkish fort on a steep hill and a cluster of souvenir shops, tavernas and restaurants. The marina was unwelcoming - we moored alongside a rusting, capsized ferry - and the trudge to buy some provisions took us along a neglected rubbish strewn track. Thomas would not leave the boat for fear we were robbed. But hey! Pull up the gangplank, crack open a beer and experiment with cooking in the galley.","ah parga how many times have we sat in paxos looking across at the mainland at night seeing twinkling lights in the far distance how many times have we wondered just what was it like over there well now we know unfortunately the place with the twinkling lights was not",51,"parga","camera","far","thank","popped","parga","killed","dense","flood","chestnuts",NA,0.0299999999988358,TRUE
"20","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","i found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night cant read this one in bed id get up to get another soft drink",37,"and","find","lot","friends","made","experience","playing","clear","drive","feet","finished",0.0100000000020373,FALSE
"21","- Food and drink disliking. I’m not really sure what the correct term is for this, but I developed a dislike for almost all of the foods that I once liked, and couldn’t drink fizzy pop at all! I think I may have literally lived on pickled onion space raiders and fruit juice for the entire first trimester…and possibly a lot of the second.","food and drink disliking i’m not really sure what the",11,"correct","hell","iron","heck",NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,FALSE
"22","Sphere: V = 4/3","sphere",2,"v","v","science",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"23","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","of course it goes without saying that",8,"all","old","new","single","just","really","christ","lot","need","im","little",0.0299999999988358,FALSE
"24","“Hell is larger today than it was yesterday, because many of us have failed to pray.”–David Smithers","“ is larger",4,"today","media","even","today","society","mass","painting","bobbin","chucks","paintings","populations",0.0199999999967986,TRUE
"25","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","even if you don’t like the so called “screwball comedy” that some",13,"critic","women",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"26","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!","tomorrow only may bride bikini is offering our",9,"amazing","old","great","left","called","amazing","online","personality","various","helping","prizes",0.0200000000040745,TRUE
"27","Didn’t quite make church Sunday morning. Sleeping right up to check out causes a bit of a mad rush to get up and get out.","didn’t quite make church sunday morning sleeping right up to check out causes a bit of a",18,"mad","lot","few","little","man","person","mask","similar","child","murder","crime",0.0299999999988358,FALSE
"28","How can you start your day any other way than happy with that face wanting to cuddle with you first thing?","how can you start your day any other way than happy with that face wanting to cuddle with",19,"you","first","lots",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"29","hold, to not let go","hold to not let",5,"go","go",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"30","And that is where we changed from being social beings amongst each other to digital social addicts.","and that is where we changed from being social beings amongst each other to",15,"digital","peoples",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"31","02 - It's All Over Now 04:01","its",2,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"32","Jethro responded, “What you are doing is not good. You and these people who come to you will only wear yourselves out.” Moses was the bottleneck of a system that was broken and creating dysfunction, wasting time, and wearing everyone out.","jethro responded “what you are doing is not good you and these people who come to you will only wear yourselves",22,"out”","day","days","many","spent","running","damn","combined","pajamas","habitually","denim",0.0100000000020373,FALSE
"33","Sometimes, I just want to read a book. It’s kinda like Freud said, “sometimes a cigar is just a cigar.” Well in my case, sometimes I just need to read an actual hard or soft cover book, feel the paper against my fingers, smell the newness or musty oldness. If it’s a new book, there is something quite satisfying about being the first one to crack it open. I love to turn the pages, hear the crinkle and switch as my fingers brush against the paper.","sometimes i just want to read a book it’s kinda like freud said “sometimes a cigar is just a cigar” well in my case sometimes i just need to read an actual hard or soft cover book feel the paper against my fingers smell the newness or musty oldness if it’s a new book there is something quite satisfying about being the first one to it open i love to turn the pages hear",75,"the","get","people","think","tell","wars","read","words","reason","kids","children",0.0400000000008731,FALSE
"34","individually and as a band in the studio, along with interviews","individually and as",4,"a","soon","he","they",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"35","to do this in remembrance of Him. Luke 22:19","to",2,"do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"36","I think I did three sets of revisions in the end. The first involved clarifying the plot. I kept moving away from the main thread and rambling in different directions. Once I’d mastered that I had to switch some chapters round and cut some bits out then work a little on the dialogue. Plotting has been the most difficult part of writing so far. But through writing Shine, I studied plot hard, learned a lot and with my second book, Glitter, due out on Sept. 2nd, I had one small amount of editing to do. I kept waiting for Rachel to send the MS back with more to do when I discovered it was already with the copyeditor!","i think i did three sets of revisions in the end the first involved clarifying the plot i kept moving away from the main thread and rambling in different directions once i’d mastered that i had to switch some chapters round and cut some bits out then work a little on the dialogue plotting has been the most difficult part of writing so far but through writing shine i studied plot hard learned a lot and with my second book glitter due out on sept nd i had one small amount of editing to do i kept",98,"waiting","getting","trying","going","also","good","talking","england","mat","mind","thinking",0.0299999999988358,FALSE
"37","Caroline Saunders (Lab) 1,142","caroline",2,"saunders","saunders",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"38","Use a pan or kettle to capture the water you run while waiting for warm water to arrive at the faucet. The captured water can be used for other washing purposes.","use a pan or kettle to capture the water you run while waiting for warm water to arrive at the faucet the captured water can be used for other",30,"washing","say","now","new","many","describe","recipe","going","year","bit","make",0.0500000000029104,FALSE
"39","Her father smiled. ""They take just a tiny bit of your qi, your soul energy, when you're initiated and at various other points during your time there. I don't know how, but they make gold from it.""","her father smiled they take just a tiny bit of your qi your soul energy when youre initiated and at various other points during your time there i dont know how but",33,"they","can","think","im","like","get","much","will","everything","experience","know",0.0199999999967986,FALSE
"40","The City Council prefers to manage the council housing instead of an Arms Length Management Organisation in order to “save money by not having a separate organisation”.","the city council prefers to manage the council housing instead of an arms length management organisation in order to",20,"“save","make",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"41","This stuff is actually happening. It’s threatening our survival. And it’s not just the environment. And I’m writing it to know that, among the peaceful: you are not crazy for thinking that we are approaching a turning point in our country where the realities of decades of profit-over-all-else mentality are becoming not just undeniable, but are confronting us in our day to day lives in ways we did not think was possible in a country that now seems, in retrospect, to have been the least Western, least democratically-minded country to be considered so. And that turning point might require widespread civil disobedience, in the name of the environmental and economic survival of our country and our people (as well, of course, as the vast masses like us all around the world, in other countries).","this stuff is actually happening it’s threatening our survival and it’s not just the environment and i’m writing it to know that among the peaceful you are not crazy for thinking that we are approaching a turning point in our country where the realities of decades of profitoverallelse mentality are becoming not just undeniable but are confronting us in our day to day lives in ways we did not think was possible in a country that now seems in retrospect to",82,"have","least","kinda",NA,NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,FALSE
"42","Sunday the festivities continued. I went BACK to Shadowbox to see Back to the Garden again. (Told ya I love that place). Then after that was over, I had to work at the store. It was Survivor finale night, and we do a special Survivor crop each season, so I had to go host that.","sunday the festivities continued i went back to shadowbox to see back to",14,"the","the","work","school","my",NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"43","1 Beauty Contest","beauty",2,"contest","just","life","group","wonder","within","sky","broken","looked","heads","coffee",0.0100000000020373,FALSE
"44","Fox: DUDE ARE YOU FRIGGING KIDDING ME??? IF YOU DON’T DO THIS, THEN I WILL F*****G CASTRATE YOU! THEN YOU WONT HAVE TO WORRY ABOUT ANY LOVE LIFE.","fox dude are you frigging kidding me if you don’t do this then i will fg castrate you then you",21,"wont",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"45","To see all the PACA (Provence Alpes Côte d'Azur) Michelin rankings, go here:","to see all the paca provence alpes c�te dazur michelin rankings",12,"go","go",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"46","Craft beer pubs blog post is on the back burner - I really wanted to get the next blog out there while the fire burns bright in my heart about it","craft pubs blog post is on the back burner",10,"i","really","added","spirits",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"47","Allow to rest 2 minutes on cookie sheet before transferring cookies to a cooling rack.","allow to rest minutes on cookie sheet",8,"before","bake","paper","leaving","wrapped","washing","lined","batches","transferring",NA,NA,0,FALSE
"48","This race is a top-notch way to break into the triple digits for the first time. That’s why I keep coming back and I always bring others with me. The volunteers are wonderful. The food and support system is exceptional. And the race direction is flawlessly efficient. Joe Prusaitis certainly knows how to put on a quality event! Those of us that stuck around for the award ceremony brought home a special Texas Trinket for being one of the most interesting out-of-town groups.","this race is a topnotch way to break into the triple digits for the first time that’s why i keep coming back and i always bring others with me the volunteers are wonderful the food and",37,"support","way","new","world","black","people","good","two","book","city","beautiful",0.0199999999967986,FALSE
"49","in her hair","in her",3,"hair","life","own","room",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"50","& Kalabokisio (Corn Puree)","kalabokisio corn",3,"puree","red","kernels","puree","salsa","stalks","tamales",NA,NA,NA,NA,0.0100000000020373,TRUE
"51","3/4 C Dairy Free, Soy-Free Vegetable Shortening (we use Spectrum)","c dairy free soyfree vegetable shortening",7,"we","use","egg",NA,NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,FALSE
"52","“When one has seen one house he has seen them all, the same everlasting high stoops and gloomy brown-stone fronts, the same number of holes punched in exactly the same places,” Osman quotes a late 19th century writer as lamenting. “The new brownstone and trolley grid inspired 19th century eulogies for a real and imagined agricultural landscape,” Osman writes.","“when one has seen one house he has seen them all the same everlasting high stoops and gloomy brownstone fronts the",22,"same","number","widely",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"53","Here’s a great way to use both eggs and leftover noodles for a satisfying dish. Paula Super, of Merrimack, writes:","here’s a great way to use both",8,"eggs","old","one","something","word","school","can","another","always","white","want",0.0199999999967986,FALSE
"54","You think your school's scary?","you think your",4,"schools","im","may","people","will","one","ive","now","know","also","beer",0.0299999999988358,FALSE
"55","The message of Journey of the Universe shows how we are not just a part of this astonishing process, we are at the very edge of evolution, a primate species that has found in its language and symbols the power to take over the very evolutionary process itself. But this control that we now exercise comes with a responsibility; and viewers of Journey of the Universe will not only be imbued with a sense of astonishment at all that has taken place, they will also come to feel the excitement in learning that now we live in a time when the human species is being asked to play a central role in activating the flourishing powers of Earth’s living systems.","the message of journey of the universe shows how we are not just a part of this astonishing process we are at the very edge of evolution a primate species that has found in its language and symbols the power to take over the very evolutionary process itself but this control that we now exercise comes with a responsibility and viewers",62,"of","thing","journey",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"56","They are both chunky knits and were a complete bargain-the green was £1 and the multi colour knit was £2!! The charity shops have now started putting out their winter stocks so using these knits as inspiration, why don't you go and hunt down a stylish cosy bargain for much less than the high street or designer versions?","they are both chunky knits and were a complete bargainthe green was � and the multi colour knit was � the charity shops have now started putting out their winter stocks so using these knits as inspiration why dont you go and hunt down a stylish cosy bargain for much",51,"less","less",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"57","Freddie did spend some time in Vietnam too; I think he told us he used to make maps there. But we never pushed it because who knew if he would “Freak out” about it. And Freddie knew just about everything you know, politics, art, religion, history, philosophy, and most important, Brooklyn.","freddie did spend some time in vietnam too i think he told us he used to make maps there but we never pushed it because who knew if he would “freak out” about it and freddie knew just",39,"about","like","get","much","one","say","another","want","love","little","right",0.0200000000040745,FALSE
"58","you would think this man who is only one step above","you would think this man who is only one step",11,"above","back","take","forward","two","series","many","dad","step","foot","without",0.0299999999988358,FALSE
"59","Again, I’ve just begun working on what Mr. Licata told me and I’ll post more later but if its true, it would make a great book: corrupt lawyers, bribed judges and completely crooked bankers engaging in mortgage fraud and outright theft. Real estate slows down from about the end of May and won’t really resume until September so maybe I’ll devote some of that free time to writing this up – it’s got the ingredients for a great tale.","again i’ve just begun working on what mr licata told me and i’ll post more later but if its true it would make a great book corrupt lawyers bribed judges and completely crooked bankers engaging in mortgage fraud and outright theft real estate slows down from about the end of may and won’t really resume until september so maybe i’ll devote some of that free time",67,"to","time","like","get","year","people","go","im","now","will","really",0.0199999999967986,FALSE
"60","I was recently given the assignment to select one word that describes me and write about it. At first this sounded so simple, but in my usual fashion I spent a little too much time dwelling over it. I wear many badges. I am a wife, a mother, a daughter, a teacher, a friend....you get my point. The word that returned to me most often and a word I've never used to describe myself was pray-er, a person that prays. I questioned if it was really a word...it is...I looked it up. It is seldom used, but it is a word.","i was recently given the assignment to select one word that describes me and write about it at first this sounded so simple but in my usual fashion i spent a little too much time dwelling over it i wear many badges i am a wife a mother a daughter a teacher a friendyou get my point the word that returned to me most often and a word ive never used to describe myself was prayer a person that prays i questioned if it",85,"was","were","is","was","had","did",NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"61","I’m pretty late to the LCD Soundsystem party (a great oversight on my part), but thankfully rectified with Mr James Murphy’s third (and final?) outing of liquid crystal disco. It sounds effortlessly cool, but there’s so much going on, it’s just plain fun to listen to, dance to and do just about anything to – be it the washing up, filling out an application form or being attacked by PANDUHS!","i’m pretty late to the lcd soundsystem party a great oversight on my part but thankfully rectified with mr",20,"james","edwards","bushs","doublebarrel","mendahun","pants","requiro","children","frank","garden","brown",0.0100000000020373,FALSE
"62","Data-mining programs will provide these abusers of power with powerful tools for creating enemies lists, and for targeting them, as described in EFAD. Social media networks are already under intensive federal scrutiny. This year, it is ostensibly to track down undefined terrorist threats. But social media, so popular today, must be understood as a two-edged sword. The same social media that facilitated the Arab Spring, today brings the secret police of Syria, Egypt, Iran, Saudi Arabia and other nations to the doors of obscure bloggers hidden in tiny apartments, to drag them away to secret torture cells.","datamining programs will provide these abusers of power with powerful tools for creating enemies lists and for",18,"targeting","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"63","But wait, broadcast industry opponents say. Aren’t broadcasters the rich and powerful few disenfranchising the rest of the country from having ubiquitous wireless broadband? Only they won’t say it quite like that, but the point is worth examining. Just 10 to 15 percent of U.S. households rely exclusively on over-the-air television. There is some evidence of cord-cutting–i.e., people ditching pay service for free TV–but not to the extent to suggest that ratio will double anytime soon. And we don’t know much yet about the adoption rate of mobile over-the-air TV because where is it already?","but wait broadcast industry opponents say aren’t broadcasters the rich and powerful few disenfranchising the rest of the country",20,"from","people","work","now","like","just","country","living","report","every","full",0.0200000000040745,FALSE
"64","Now I feel that I wasted my life, how I repent","now",2,"i","know","like","get","can","im","ive","new","just","years","always",0,FALSE
"65","I was nervous about reading this passage. It's pretty emotional. That's some crazy brutality, you know? They aren't dying fast enough as they slowly suffocate on a cross where they are hanging by their hands and feet so let's break their legs so they die faster. Oh- he's already dead so let's put a gash in his side so that he bleeds.","i was nervous about reading this passage its pretty emotional thats some crazy brutality you know they arent dying fast enough as they slowly suffocate on a cross where they are hanging by",34,"their","onto","game","beginning","hands","case","washing","branches","bowls","swaying","tirion",0.0299999999988358,FALSE
"66","“I don’t think that is the best way for having these changes. I don’t know on what basis they are going to charge us. The best option is dialogue,” said Asfaw Dingamo, Ethiopia’s minister of water resources.","“i don’t think that is the best",8,"way","time",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"67","The juices today were the best yet. Breakfast was like a chilled, spiced carrot soup and lunch was like a thin salsa. Plus I had the Chocolate Nut Milk again for dinner because it was so enjoyable last night.","the juices today were the best",7,"yet","thing","time","way","beer","job","choice","option",NA,NA,NA,0.0199999999967986,FALSE
"68","My legs tight until","my legs",3,"tight","one","even","need","feeling","fast","held","die","wrapped","push","mess",0.0400000000008731,FALSE
"69","Vacuum all carpeted areas and clean all other floors. Pull the couches away from the walls and get behind there. Every second week, remove the cushions and vacuum the inside of the couch on this day.","vacuum",2,"all","inside","worries","cleaner","carpeted","extractor",NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"70","When I'm getting something off the amazon website, I select 'Download to PC' and then manually drag it onto my device to bypass their updates.","when im getting something off the amazon website i",10,"select","now","let","well","comes","filled","roll","offer","devoted","select","organic",0.0299999999988358,TRUE
"71","and is setting up shop at","and",2,"is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"72","they have cancer. It is important for these women to be","they",2,"have",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"73","Jen, who said","jen",2,"who","said","responded","campus",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"74","First, choose your background colour or paper. For my card, I chose a Robins Egg paper from Echo Park's Springtime Paper Pack No 1. Resize the paper according to the size of your project, then import your digital stamp:","first choose your background colour or paper for my card i chose a robins egg paper from echo parks springtime paper pack no resize the",26,"paper","paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"75","Similarly, the new ‘code of conduct’ says women should not travel without a male companion and they should not mingle with men in places like schools, markets or offices.","similarly the new ‘code of conduct’ says women should not travel without a male companion and they should not mingle with men in places like schools markets",28,"or","make","offices","temporary",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"76","それじゃ～～ Pardon me for the short post. I have to go back to work for now.","そ゜じゃ�� pardon me for the short",7,"post","time","post","story","list","distance","stories","film","fuse","sleeves","ago",0.0400000000008731,TRUE
"77","Pendragon: Since your birth.","pendragon since your",4,"birth","got","ive","will","im","started","early","government","now","time","days",0.0299999999988358,FALSE
