"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"11","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","april was a month for new beginnings firstly i finally finished my exams and if all is good i’ll be graduating in may it still feels weird to know that the business degree i’ve been working for four years is finally mine so now i’m in the process of looking for a new job secondly i finally began moving in with my boyfriend of four years and that’s a bit nervewrecking as for reading books the last week of april gave me an opportunity to relax and enjoy a few stories as you will see i have not finished much but i have successfully began several hefty novels i am happy with the progress i’ve made so far and the quality of books i’ve picked to read the fellowship of the ring is surprisingly easy to read considering all my fears about tolkien and his writing i am loving a clash of kings even though this season took a few liberties concerning the plot master and margarita is my first russian novel",173,"in","a",0.0200000000040745,TRUE,"in",NA,NA,NA,NA,NA,NA,NA,NA
"12","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","i was hoping howie would smash his face in the cake my sister made but it seemed like he was more scared of it than anything",27,"but","but",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","when i was four years of age i remember being at home with my mom one day when a salesman tried breaking into our home my mom was on the phone to her sister when the guy tried every door in the house her and i was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave it scarred me i have never been trusting of them since this and",78,"i","i",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","point if it’s a show that your kid wants a show about a book is always",17,"better","better",0.0100000000020373,TRUE,"yammering",NA,NA,NA,NA,NA,NA,NA,NA
"15","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","come join us next tuesday february st for discussion on chapter we will talk about personal will self control and the ability to stay true to ourselves as we travel through this life the gathering is fun free and another opportunity to meet new",45,"people","people",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted",31,"the","crime",0,TRUE,"the",NA,NA,NA,NA,NA,NA,NA,NA
"17","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.","i have it on good authority that everyone in this company particularly the strikers recieved gifts in the companyorganised secret santa i also know that the strikers attended the companyfunded xmas party where they partook in the companyfunded luncheon they also recieved vouchers to the value of",48,"k","from",0.0100000000020373,TRUE,"k",NA,NA,NA,NA,NA,NA,NA,NA
"18","It's a sickening feeling.","its",2,"a","ruling",0.0199999999967986,TRUE,"outer","page","difficult","mess","to","a","that","this","over"
"19","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","well im off to clean up my craft space since its a mess after working",16,"on","my",0.0100000000020373,TRUE,"on",NA,NA,NA,NA,NA,NA,NA,NA
"20","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","almighty and everlasting god by whose spirit the whole body of your faithful people is governed and sanctified receive our supplications and prayers which we offer before you for all members of your holy church that in their vocation and ministry they may",44,"truly","and",0,TRUE,"truly",NA,NA,NA,NA,NA,NA,NA,NA
"21","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","how many times have you heard someone say that soandso is too nice to tell",16,"the","the",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!","hmmm in terms of traditional",6,"instruments","the",0.0100000000020373,FALSE,"years","refuse","foods","good","will","orphan","gave","planning","course"
"23","could be added to the gallery wall.","could",2,"be","get",0.0200000000040745,FALSE,"two","used","an","added",NA,NA,NA,NA,NA
"24","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on piano and joe mack and bill salter on bass the band who play both",37,"loose","loose",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","other stars making the magazine’s sexiest women alive list include modelturnedactress rosie huntingtonwhiteley jazz artist",16,"esperanza","esperanza",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","M. Blakeman Ingle","m blakeman",3,"ingle","ingle",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","of course it goes without saying that all the music above would probably have been familiar to gardels audience too but its not that widely known here its not difficult or inaccessible music but its not a routine part of the popular culture in the same way that it would have been when gardel was playing el dia que mi quieras or even as it was when my grandmothers relations were making their own entertainment",76,"in","in",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","In shrouds of words,","in shrouds of",4,"words","words",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","even if you don’t like the so called “screwball comedy” that some critic also called “ comedy without sex” whose trouble in paradise gives a perfect example you could enjoy two things from this movie the typical art deco interior design in mme colet house and the beautiful gowns designed by travis banton one of the most famous",59,"costume","costume",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!","tomorrow only may",4,"bride","bride",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Never Did No Wanderin' by The Folksmen","never did no wanderin",5,"by","by",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","“yes” he said “maybe a puppet or a special toy or maybe just a stuffed animal you loved very much did you have a special",26,"friend","or",0.0299999999988358,TRUE,"friend","toy",NA,NA,NA,NA,NA,NA,NA
"33","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","when pc came out with",6,"the","the",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","hold, to not let go","hold",2,"to","not",0.0200000000040745,FALSE,"let",NA,NA,NA,NA,NA,NA,NA,NA
"35","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)","tight finish between neptune collonges grey with yellow silks and sunnyhillboy bay with green and gold hooped",18,"silks","in",0,TRUE,"silks",NA,NA,NA,NA,NA,NA,NA,NA
"36","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","origin middle",3,"english","from",0.0199999999967986,TRUE,"eastern","english",NA,NA,NA,NA,NA,NA,NA
"37","02 - It's All Over Now 04:01","its all over",4,"now","now",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","the product is a milky white liquid that applies like emulsion not too creamy and thick but not like water or jelly either after spreading it out on your face it dries within a few minutes after which the fun begins according to the sa after it dries you start rubbing it like you’re trying to rub dirt off your face until you rub off most of it if required wash off the remaining with lukewarm water so i started rubbing and it actually takes quite a bit of effort to rub it all off it",97,"comes","off",0.0199999999967986,TRUE,"comes",NA,NA,NA,NA,NA,NA,NA,NA
