"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct","prediction6","prediction7","prediction8","prediction9","prediction10","prediction11","prediction12","prediction13","prediction14","prediction15"
"15","Always gon be the best 2 me! RT : Kobe Bryant: ""It's always funny to hear the ""Kobe Sucks"" chant because why provoke me...It's fun.""","always gon be the best me",7,"rt","to","friend","of","thing","friends",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","When you have an opportunity to watch Kindergarten Cop you take it.","when you have an opportunity",6,"to","hour","old","amazing","interesting","opportunity",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","""Cocaine for breakfast yikes! Met her a coachella ....""","for breakfast yikes",4,"met","and","have","to","my","in",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Thanks for following us back. We are in Philadelphia, PA but I know the weather in the Caribbean is great today. Thanks","thanks for following us back we are in philadelphia pa but",12,"i","than","tv","dutch",NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Music on the patio with Three Chord Rodeo cancelled tonight due to cold wind. We will def have them back next season!!","music on the",4,"patio","century","birthday","at","clan","of",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Ugh. Just haven't felt right all day. Throw up or whatever already.","ugh just",3,"havent","as","to","like","have","the",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Thanks for the follow Eric!","thanks",2,"for","you","goodness","the","god","her",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","It's that or Hot Topic bondage pants with all the chains.","its that or hot topic",6,"bondage","and","dogs","air","or","enough",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","#tnla12 Information is a means to an end. People care about getting a job, not finding resume books. Link to the situation of the person.","information is a means",5,"to","few","little","lot","bit","good",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Ces Convention in Las Vegas Jan 2011 Offering discounted group rates or individual rooms Rates Book now www.myvegaspeople.com","ces convention in las vegas jan offering discounted group rates or individual rooms rates book",16,"now","of","will","that","in",NA,0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","how bout lsu:)","how bout",3,"lsu","with",NA,NA,NA,NA,0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","“: The Patriots just agreed to a one-year deal with free-agent wide receiver Donte Stallworth.” going to work in free agency","“ the patriots just agreed to a oneyear deal",10,"with","visas",NA,NA,NA,NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Are you going on the air to report?","are you going",4,"on","to","back","to","back","with",0.0499999999992724,TRUE,"on","through",NA,NA,NA,NA,NA,NA,NA,NA
"28","So uh...haven't been on Twitter for a while...","so uhhavent been",4,"on","able","the","in","on","so",0.0300000000006548,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","indeed, I'm a believer! Hope the burrito biz is good","indeed im a believer hope the",7,"burrito","you","that","to","the","they",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","COME visit us! We have #triverahappyhour and we can share a light saber!","come visit us we have",6,"and","are","have","were","had","will",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","SO LET'S SET THE WORLD ON FIRE~","so lets set",4,"the","up","the","in","of","to",0.0300000000006548,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Seriously LOVE #2BrokeGirls BEST SHOW EVER!!!","seriously love best",4,"show","to","friend","of","thing","friends",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","sometimes happens when you're dehydrated--drink lots of water and keep your feet lower than your heart!","sometimes happens when youre dehydrateddrink lots of water and keep your feet lower than",15,"your","left","the","it","and","than",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","We will pack #china with an ad attached inside billions of","we will pack with an ad attached inside",9,"billions","the","to","them","there","diagram",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","The Drake concert was definitely an amazing experience, will always remember this","the drake concert was definitely an amazing experience will",10,"always","the","of","in","with","for",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","....... wow. cute grammar britt. meant to say *1D as a*","wow cute grammar",4,"britt","truth",NA,NA,NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Ok the Gruner Veltliner pretty good with no food, ok we forgot to eat, sorry, will try again with food.","ok the gruner veltliner pretty good with no food ok we forgot to eat sorry will try again with",20,"food","and","the","for","but","to",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","There is a song, you probably know it, Spring can Really Get You Down The Most","there is a song you probably know it spring can",11,"really","and","season","the","was","has",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","The energy of a punk rock show is 1 million times more intense than any hip-hop show.","the energy of a punk rock show is million times more",12,"intense","and","that","in","but","of",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","#takeittothehead video so damn Hott can't wait to see it already know its going to be the hottest video DJ Khaled doing this sh*t","video so hott cant wait to see it already know its",12,"going","that","what","how","the","if",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","As a fellow member of , thx! RT : Adding the GLBTRT to my ALA membership, which I should have done years ago.","as a fellow member of thx rt adding the glbtrt to my ala membership which i should have done",20,"years","to","been","the","you","no",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Hey staunch Christians who say Jesus is the reason for the season. Jesus' birthday wasn't actually in December, so remember that.","hey staunch christians who say jesus is the reason for the season jesus birthday",15,"wasnt","christ","was","is","to","and",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Thin black phone with blue keyboard buttons lost at ultimate frisbee field. If found, return to Promised Land.","thin black phone",4,"with","and","man","mountain","pepper","paper",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","updated twitter to , some chick from africa had that shit when i signed up but now it's all mine muahahha","updated twitter to some chick from africa had that when i signed up",14,"but","up","her","the","to","at",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","This new blackberry has made the most unproductive person ever.","this new blackberry has",5,"made","vibrate","wielding",NA,NA,NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Transition defense anyone? C'mon Suns!","transition defense",3,"anyone",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","My man avoids the camera, but tonight the camera found him! #NASCARRaceDayon SPEED.","my man avoids the camera but tonight the camera found",11,"him","was","to","before","that","and",0.0599999999994907,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Follow our personal twitters, , , , ,","follow",2,"our","the","them","well","this","and",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","publicly-biased? what do you mean?","publiclybiased",2,"what",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Getting hair done by the wonderful people at Can't wait to hit the dance floor tonight.","getting hair done by the wonderful people at cant",10,"wait","the","least","all","this","home",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","wait what is a noogie?","wait what",3,"is","you","the","is","we","it",0.0100000000002183,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Also, had a good convo with Evo Institute 's Jerry Lieberman RE: community organization the right way (i.e., where it does good not harm!)","also had a good convo with evo institute s jerry lieberman re",13,"community",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","love you to!! <3","love you",3,"to","can","have","are","know","will",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","I wanted that kiss for a long time!! <3","i",2,"wanted","was","have","am","had","think",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Hehe got to charge my phone (:","hehe got to",4,"charge","the","the","be","do","get",0.0300000000006548,FALSE,"make",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2 old men tonight asked me if I played golf cause I looked familiar..but I had no idea who their granddaughters were lol","old men tonight asked me",6,"if","for","to","me","her","if",0.0300000000006548,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Thank you for the #FF love , , , and","thank you for the love",6,"and","same","first","most","world","time",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","yes sir and they are in postseason form","yes sir and",4,"they","the","then","it","that","we",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Just a reminder...I can now be seen in the recently released music video for ""Marry Me"" by top selling band !","just a reminderi can now be seen in the recently released",12,"music","and","an","learned","the","is",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","And that's who I'm going with!!","and thats who",4,"im","is","are","was","have","has",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","And ! RT : Happy birthday !","and",2,"rt","the","then","it","that","we",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Our sponsor Printing Partners has been named to The BCA 10: Best Companies Supporting the Arts in America for 2011. Congratulations!","our sponsor printing partners has been",7,"named","been","to","the","not","become",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","I feel yu","i",2,"feel","was","have","am","had","think",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","I mean it, if i meet justin bieber, my life is going to be made <3","i mean it if i meet justin bieber my life is going to",14,"be","be","take","have","play",NA,0.0100000000002183,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Good to hear! I'm addicted to journals, art supplies, etc. The possibilities are so delicious :)","good to hear im addicted to journals art supplies etc",11,"the","were","we","she","out","dolls",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Im so fucking done...i wanna be happy","im so",3,"donei","glad","happy","much","that","we",0.0499999999992724,FALSE,"many","they",NA,NA,NA,NA,NA,NA,NA,NA
"67","New Portland radio station... 1059thebrew.com","new portland",3,"radio","and","so","place","velvet","timbers",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Maybe 1/2 recognized it; 1/2 of those placed it; and another 1/2 connected the dots.","maybe recognized it of those placed it and another",10,"connected","the","then","it","that","we",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","it was amazing! Scary, exciting, kept you guessing. And that ending!","it was",3,"amazing","long","while","snow","today",NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","lies! Because I not goofy","lies because i not",5,"goofy","of","was","have","am","had",0.0500000000010914,FALSE,"think",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","And turned and took 2 steps. No slo mo needed. RT : He caught that pass bitch","and turned",3,"and","the","out","to","into","it",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","that ain't my style","that aint my",4,"style","roo","sources","bond",NA,NA,0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Come on Ayala get us out of this jam","come",2,"on","to","back","up","out","and",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","I don't think anyone realizes how much I want to just lay in my bed, all day.","i dont think",4,"anyone","about","of","that","it","the",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","late bc i was in an airport but shout outs to for finally beating wolfkrone in a tourney... lab time as paid off man","late bc i was in an",7,"airport","the","my","this","his","our",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Gotta love field trips that end with lunch at Portillos","gotta love field trips that end with lunch at",10,"portillos","and","at","bag","none","breaks",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Bah! New forced hero academy update and no access to wifi for at least an hour! Screw you AT&T!","bah new forced hero",5,"academy","to","his","her","us","into",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","R.I.P. GRANDPA MANUEL AND HAPPY BIRTHDAY!!! We love and miss you!!!","rip grandpa manuel and happy birthday",7,"we","to","and","if","that","they",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Doh! My overly trite point: it should have been so obvious to the devloprs that a trite tweet could point it out.","doh my overly trite point it",7,"should","of","is","and","in","that",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Most people spend their time trying to find someone to sleep with instead of finding someone worth waking up to. #Back2bed #ImOut! Ha","most people spend their time trying to find someone to sleep with instead of finding someone worth waking up",20,"to","up",NA,NA,NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Thank you for your support!","thank you for",4,"your","the","me","my","this","you",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","the credit business has turned into a rackett to a degree; thanks for the follow","the credit",3,"business","cards","card","the","you","to",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Me & the Rza connect","me the",3,"rza","century","birthday","at","clan","of",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","done, follow me (=","done follow",3,"me","the","them","well","this","and",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","asks all the right questions","asks",2,"all","for","you","me","her","what",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","""Grandma, just because that woman is wearing #yoga clothes does NOT mean we know her...""","grandma just because that",5,"woman","of","they","it","the","you",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Can u feel me reading ur tweets? It's like a touch from god but not really.","can u feel me reading ur tweets its like",10,"a","not","been","the","own","just",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","OAuth clearer, looking forward to #devexp improvements to come.","oauth clearer looking forward to improvements",7,"to","the","be","do","get","make",0.0599999999994907,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Even if not sued Brewster is setting norms for how copyright should work. When one can't change the law start with the norms.","even if not sued brewster is setting norms for how copyright should work when one cant change",18,"the","wait","find","remember","be","get",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Any specific new spas or boutiques? And events in March or April 2012?","any specific new spas or",6,"boutiques","york","year","testament","to","and",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Just finished a 7.5K run. Guess there's some life in the old corpus yet.","just finished a k run guess",7,"theres","in","by","to","into","around",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Gotta love Hayleigh & Drew from the gym with the convos we have & Jenn for being such a good sport ;) doing her leg exercises","gotta love hayleigh drew from the",7,"gym","the","my","our","his","this",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","The worst part about job hunting is when you get the ""We loved you but..."" emails/calls :-(","the worst part about job hunting is when you get",11,"the","get","can","have","are","know",0.0300000000006548,FALSE,"will",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Of course. But if I wrote the resume, I'd suspect job search strategy was the problem ;-)","of course but if i wrote the resume",9,"id","same","first","most","world","time",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","did you realize that you are trending right this moment!","did you",3,"realize","know","have","can","have","are",0.0300000000006548,FALSE,"know","will",NA,NA,NA,NA,NA,NA,NA,NA
"96","Can't miss my calling !","cant miss my",4,"calling","roo","sources","bond",NA,NA,0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Oh #swamppeople, one of them is gonna lose their hand!","oh one of",4,"them","the","my","those","our","these",0.0499999999992724,FALSE,"the","my","this","course","his",NA,NA,NA,NA,NA
"98","I've discovered that south jersey looks just as southern as south and north Carolina.","ive discovered that south jersey looks just",8,"as","like","that","at","back","of",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Travis giving Wes the blues","travis giving wes",4,"the","the","th","lounge","dor",NA,0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","What is the most important thing you look for when purchasing a class, lesson, activity or camp?","what is the most important thing you look for when purchasing a class",14,"lesson","few","little","lot","bit","good",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","THEN BOOM... BABY MOMMA BABY DADDY... NO WEDDING.. NO RING","then boom",3,"baby","of","bringing","boom",NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","6 hours and 5 minutes until pre sales for ""Rise From Zion"" begin! You guys are going to love this!!!","hours and minutes until pre sales for rise from zion",11,"begin","the","my","our","his","this",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","That is hardcore!","that",2,"is","the","is","you","he","we",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Gasol is ready","gasol is",3,"ready","was","have","am","had","think",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Realizing I am out of conditioner 30 seconds after getting in the shower was the highlight of my fucking day!","realizing i am out of conditioner seconds after getting in the shower was the highlight of my",18,"day","the","my","this","course","his",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Last tweet was an excited squeal BTW should've seen the looks I got when I screeched. #Indians are tied","last tweet was an excited squeal btw shouldve seen the looks i",13,"got","only","like","that","at","back",0.0399999999990541,FALSE,"of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","No, I try to work SMARTER, not HARDER, and show it off. ""Do you stay late at work to prove you're pulling your weight? "" ""","no i try to work smarter not harder and show it off do",14,"you","it","while","the","to","and",0.0300000000006548,FALSE,"with","my",NA,NA,NA,NA,NA,NA,NA,NA
"108","I'm single and yea that my daughter","im single and",4,"yea","the","then","it","that","we",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","I've used them many times, but as it's run by volunteers they aren't always online when you list. keep with it, worth it!","ive used them many times but as its run by volunteers they arent always online when you list keep with it worth",23,"it","was","is","and","would","to",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","I want a weird al accordion","i want a",4,"weird","few","little","lot","bit","good",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","I always gotta pick my fav driver mark Martin","i always gotta",4,"pick","have","go","look",NA,NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Workin' today, tomorrow, and Saturday MAC Cosmetics! Come see me ya'll!","workin today tomorrow and saturday mac cosmetics come see",10,"me","to","back","up","out","and",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","After last night had to drink an #energydrink before the game. Ya girl is #hype #60 more minutes","after last night had to drink an before",9,"the","hour","old","amazing","interesting","opportunity",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","The start-up pitch I vote for at #ultralight is Up-and-coming start up!","the startup pitch i vote for at is upandcoming start",11,"up","the","not","that","to","an",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","remembering concerts: saw Big Audio Dynamite, Joe Strummer, but never got to see The Clash. saw John Lydon, but never PIL, The Sex Pistols","remembering concerts saw big audio dynamite joe",8,"strummer","at","slideshow","recordings",NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","The person who gets the farthest is generally one who is willing to do and dare.The sure-thing boat never gets far from shore.~Dale...","the person",3,"who","who","you","who","is","in",0.0499999999992724,TRUE,"you","to",NA,NA,NA,NA,NA,NA,NA,NA
"117","Chiming in w #iaspm tweeters on excellence of Karl Millers's paper. Project critiques historical narrative that C20 listening is passive.","chiming in w tweeters on excellence of karl millerss paper project critiques historical narrative that c listening",18,"is","above","was","make","and","all",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","I can never handle someone who is too sensitive","i can never handle someone",6,"who","the","of","to","it","this",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","The fact I get a 68% on a yet and my grade goes up 5% . >>>>","the fact i get a on a yet and my grade",12,"goes","life","first","own","favorite","head",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",""": Good Morning World you are now rockin with the #Blessed"" happy hump day!","good morning world you",5,"are","of","war","and","to","is",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","#KSsynapse Monteggia: In several behavioral models of depression & stress, low-dose ketamine rescued depression-like phenotypes in rodents.","monteggia in several behavioral models of depression stress lowdose ketamine rescued depressionlike",13,"phenotypes","by","or",NA,NA,NA,0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","amen, girl amen ","amen",2,"girl",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","thank you for your service to are beloved steelers we will truly miss your smile every sunday","thank you for your service",6,"to","own","life","blog","body","favorite",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","But why does this girl in study think she can sing like The Band Perry.....","but why does this girl in study think she can",11,"sing","of","was","is","had","has",0.069999999999709,FALSE,"said",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","PUT A BLOCK ON LOVE....RUN WHEN ITS NEAR...JS...DONT LOVE ME!....","put a block on",5,"loverun","few","daily","little","regular","saturday",0.0400000000008731,FALSE,"of","the","to","with","out",NA,NA,NA,NA,NA
"126","Good morning #TomorrowBook followers! Thank you guys for helping to developed our amazing search engine! Remember to add logos today!","good morning followers thank you guys for",8,"helping","and","to","do","are","to",0.0499999999992724,FALSE,"know","that","did",NA,NA,NA,NA,NA,NA,NA
"127","Leaving Kalamazoo behind today after a great time and a Rykse's Cinnamon roll","leaving kalamazoo behind today after a great time and a rykses",12,"cinnamon","few","little","lot","bit","good",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","You mad ?RT : Caint never get no sleep fuckin with this nigga ","you mad rt caint never",6,"get","cispa",NA,NA,NA,NA,0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","How can Andrew Bynum have such an incredible work ethic but play like a lazy piece of crap sometimes?","how can andrew bynum have such an",8,"incredible","as","an","thing","lovely","matters",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","If you didn�t get a negative reaction, that means you�re standing neutral and you have no point of view","if",2,"you","you","the","it","they","we",0.0100000000002183,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","wanna go tomorrow?","wanna go",3,"tomorrow","to","back","with","on","through",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","no problem sweetheart((:","no problem",3,"sweetheart","of","with","is","by","the",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Or MySpace?","or",2,"myspace","the","not","even","so","two",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
