"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct","prediction9","prediction10"
"15","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","let’s say hypothetically there is a bomb threat inside an airport and there is only minutes remaining it will explode inside the building there are few whites blacks and asianmiddle eastern descents and one of them has the code to disarm the bomb so what would law enforcement do in a situation like this conduct a random check or eliminate the best possibilities by checking the middle eastern people first if there are statistics and reasons to believe that threat comes from a certain race is it unlawful to profile them if a white man goes on a killing spree then should we waste time checking black men same goes to blacks or any other race isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically",138,"right",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"16","‘Tis all.","‘tis",2,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"17","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted",31,"the","crime","plain","rails",NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"18","I am 32 weeks pregnant!","i am weeks",4,"pregnant","ago","may","know","said","later","least",NA,NA,0.0100000000020373,FALSE,NA,NA
"19","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.","ive also pondered a more permanent solution that involves",10,"several","makes",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"20","»Scene 2: Shays’ apartment«","�scene",2,"shays’",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"21","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.","prepare chicken fillets by flattening out a little on a board they need to be thin and able",19,"to","get","make","see","use","play","move","help","give",0,FALSE,"work","run"
"22","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","well im off to clean up my craft",9,"space","beer","can","us","room","ohio","check","something","stuff",0.0299999999988358,TRUE,"paint","space"
"23","1/3 cup tomato paste","cup",2,"tomato","coffee","dvd","tea","finals","sugar","tournament","butter","team",0.0100000000020373,FALSE,"series","available"
"24","3 T ketchup","t",2,"ketchup","shirt",NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE,NA,NA
"25","I was worried I wasn’t going to like this. And not because I have an unhealthy love of comic book heroes and unrealistic expectations. No, I was worried because it seems the 98% of people I know had already seen it and enjoyed it. Even the wife. Thus, wading in with an opinion of ‘pfft…shite’ would prove about as popular as punching a kitten in the face. But in the end the fears proved unfounded as I really did like it.","i was worried i wasn’t going to like this and not",12,"because","the","just","only","having",NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"26","Whether you’re looking at investing in residential, commercial or industrial property, the Urban Redevelopment Authority’s (URA) area planning and guidelines will have a long-term impact on your property’s values.","whether you’re looking at investing",6,"in","forward","back","new","around","across","ways","buy","simple",0.0400000000008731,FALSE,NA,NA
"27","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.","thus began my frantic sprint down the corridor pulling my",11,"reluctant","pulling",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"28","Outsell spoke to us about the changes going on in education specifically in the development of custom textbooks.","outsell spoke to us about the changes going on in education specifically",13,"in","issue","system","funding","one","said","country","even","department",0.0500000000029104,FALSE,"made","thursday"
"29","I’ll wear pajamas and give up pajahmas.","i’ll wear pajamas and give up",7,"pajahmas","on","the","and","his",NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"30","I recently tried a super fabulous restaurant that you MUST MUST try. I usually don't give restaurant recommendations, so trust me on this one. I decided to go down to South Norwalk and check out The SoNo Baking Company and Cafe that Martha Stewart is always yammering on about on Martha. This tiny hidden jewel was started by John Barricelli, who works for Martha and also hosts Everyday Baking on PBS. It is Fa. Bu. Lous. Seriously, that good. We had lunch and I tried a Cobb Salad that elevated the usual blah salad to a culinary masterpiece. I sat at the counter in front of a huge glass window and watched people roll out chocolate croissants with a vintage roller while I ate. (If you are a big geek, that is a huge thrill.) At one point in the meal, I actually saw John Barricelli through the glass instructing one of the bakers on how to place the chocolate chunks perfectly in the croissant. I considered banging on the glass to blow kisses and get my photo taken with him but I decided I had done that enough recently with both her and her, so I decided to play it cool and just eat my lunch quietly. I also brought home a huge selection of pastries and enjoyed every single one (in the name of research, not gluttony, mind you). John is coming out with a cookbook in early March. You can be a geek like me and pre-order your copy on Amazon today. The cafe is located right near the South Norwalk Aquarium and makes a good drive on a cold winter's day.","i recently tried a super fabulous restaurant that you must must try i usually dont give restaurant recommendations so trust me on this one i decided to go down to south norwalk and check out the sono baking company and cafe that martha stewart is always yammering on about on martha this tiny hidden jewel was started by john barricelli who works for martha and also hosts everyday baking on pbs it is fa bu lous seriously that good we had lunch and i tried a cobb salad that elevated the usual blah salad to a culinary masterpiece i sat at the counter in front of a huge glass window and watched people roll out chocolate croissants with a vintage roller while i ate if you are a big geek that is a huge thrill at one point in the meal i actually saw john barricelli through the glass instructing one of the bakers on how to place the chocolate chunks perfectly in the croissant i considered banging on the glass to kisses and get my photo taken with him but i decided i had done that enough recently with both her and her so i decided to play it cool and just eat my lunch quietly i also brought home a huge selection of pastries and enjoyed every single one in the name of research not gluttony mind you john is coming out with a cookbook in early march",241,"you","th","can",NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA
"31","I’m sad you can’t be with us but we know you’ll be watching. I don’t know if you ever got to eat at Longhorn or not but I hear they cook a really mean steak.","i’m sad you can’t be with us but we know you’ll be watching i don’t know if you ever got to eat at longhorn or not but i hear they",31,"cook","tell","song","passing","get","think","people","back","say",0.470000000001164,FALSE,"phone","difference"
"32","“Hell is larger today than it was yesterday, because many of us have failed to pray.”–David Smithers","“ is larger",4,"today",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"33","BRAAMFONTEIN: Johannesburg Theatre manager Rulov Senekal (67) murdered in his apartment by two black attackers.","braamfontein johannesburg theatre manager rulov senekal murdered",8,"in",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"34","Nicholas Ridley agreed with the Act of Supremacy, supporting Henry’s action. He became the king’s chaplain and later, in the time of Edward VI, he was Bishop of Rochester. He helped to write the Book of Common Prayer. He became Bishop of London and worked to improve the conditions of the poor.","nicholas ridley agreed with the act of supremacy supporting henry’s action he became the king’s chaplain and later in the time of edward vi he was bishop of rochester he helped to write the book of common prayer he became bishop of london and worked",46,"to","well","hard","way","closely",NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"35","A 1 inch chunk of fresh ginger, peeled and finely grated","a inch chunk",4,"of","time","change","seem","fresh","drywall","skull",NA,NA,0.0299999999988358,FALSE,NA,NA
"36","Never Did No Wanderin' by The Folksmen","never",2,"did","get","know","seen","thought","really","forget","made","heard",0.0100000000020373,FALSE,"gets","happened"
"37","In 1926, Anatol Josepho opened the first photo booth in New York City and it took Gotham by storm. Up to 7,500 people a day payed 25 cents ($3 in today's funds) to receive eight miniature images of themselves.","in anatol josepho opened the first photo booth in new york city and it took gotham by storm up to people a day payed cents in todays funds to",30,"receive","used","receive","youve","operate","mayor","pursuit","odot","demolish",0.0200000000040745,TRUE,"codirectors","dissemination"
"38","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","when pc",3,"came",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"39","How can you start your day any other way than happy with that face wanting to cuddle with you first thing?","how can you start your day any other way than happy with that face wanting to cuddle with you first",21,"thing","time","thing","two","place","four","round","half","ever",0.0299999999988358,TRUE,"book","year"
"40","Roughly a week later, my sister and her ever-expanding family drove in from Alaska and picked me up, and then we all headed on to Alvin, Texas, once a happy place where a son would be reunited with his father, but now a haunted little town where ghosts of memories reared their teeth at every turn. We pulled into the driveway at dusk, greeted by my stepmother and stepbrother, both of who appeared to be much stronger than me.","roughly a week later my sister and her everexpanding family drove in from alaska and picked me up and then we all headed on to alvin texas once a happy place where a son would be reunited with his father but now a haunted little town where ghosts of memories reared their teeth at every turn we pulled into the driveway at dusk greeted by my stepmother and",69,"stepbrother","new","son","mother","mom","brain",NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"41","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)","tight finish between neptune collonges grey with yellow silks and sunnyhillboy bay with green and",16,"gold","gold",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE,NA,NA
"42","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","origin middle english from old french joie based",9,"on","upon","old","say","two","favorite","tax","rate","part",0.0400000000008731,FALSE,"something","station"
"43","Whew, there is much talk lately about rising fares due to increased fuel surcharges.","whew there is",4,"much","no","nothing","one","an","also","something","still","not",0.0100000000020373,FALSE,"only","some"
"44","After catching a cab to dinner at Boon Tong Kee (post to come shortly), a restaurant recommended by my uncle - also a foodie! :) - we dragged ourselves back onto the HiPPO boat for one last ride, to capture the nighttime experience and views.","after catching a cab to dinner at boon tong kee post to come shortly a restaurant recommended by my uncle also a foodie we dragged ourselves back onto the hippo boat",32,"for","time","just","one","really","give","trying","every","without",0.0299999999988358,FALSE,"club","trip"
"45","C.A.T. is looking for more pictures of cute animals with their tongues sticking out. Email cuteanimaltongues at gmail dot com with yours!","cat is looking for more pictures of cute animals with their tongues sticking out email cuteanimaltongues at gmail dot",20,"com","said","points","project","sir","com",NA,NA,NA,0.0299999999988358,TRUE,NA,NA
"46","And there you have it – something which can’t be ignored","and there you",4,"have","will",NA,NA,NA,NA,NA,NA,NA,0,FALSE,NA,NA
"47","I first came across these beautiful patterns by artist Paula Vaughan in the mid-1990s. Traditional style quilts thrown over vintage chairs, vases overflowing with armfuls of wildflowers, and the loveliest dresses from a bygone age.","i first came across these beautiful patterns by artist paula vaughan in the mids traditional style quilts thrown",19,"over","lot","together",NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"48","individually and as a band in the studio, along with interviews","individually and as a band",6,"in","director","play","performed","year","now","night","like","go",0.0200000000040745,FALSE,"back","said"
"49","to do this in remembrance of Him. Luke 22:19","to do this in remembrance",6,"of",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"50","DaVinci Gourmet Vanilla Classic Syrup - Before I opened the bottle I knew I was going to like it. You see vanilla is one of my favorite flavors, as it can be used so many different ways! I chose to add some to my french toast along with some cinnamon. I only used a tad bit but the vanilla syrup gave it a much need pick me up as it danced across my palette. You can even add a tad bit to your whip cream and whip it together to make fluffy tasty whip cream that you could only dream of , well that was until now!","davinci gourmet vanilla classic syrup before i opened the bottle i knew i was going to like it you see vanilla is one of my favorite flavors as it can be used so many different ways i chose to add some to my french toast along with some cinnamon i only used a tad bit but the vanilla syrup gave it a much need pick me up as it danced across my palette you can even add a",79,"tad","chicken","ability","asparagus","flour","mushrooms","just","one","another",0.0299999999988358,FALSE,"things","fun"
"51","Spanish Omelettes are delicious enough by themselves but they are lovely with salad to accompany them to add an attractive finishing touch !!!","spanish omelettes are delicious enough by themselves but they are lovely with salad to accompany",16,"them","add","children","laptop","salvation",NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"52","Use a pan or kettle to capture the water you run while waiting for warm water to arrive at the faucet. The captured water can be used for other washing purposes.","use a pan or kettle to capture the water you run",12,"while","eli","season","four","away","jump","around","office","huge",0.0300000000061118,FALSE,NA,NA
"53","Len Woodbyrne & Joe O’Reilly development at95-97 Francis Street, Dublin8 (central Dublin) has a range of apartments on offer","len woodbyrne joe o’reilly development at",7,"francis","seen","many","corner","first","person","dave","projects","deals",0.0299999999988358,FALSE,"program","creative"
"54","Sound Designer, Electronic, Experimental, Audiovisual, and Multimedia Artist, with emphasis on Film/T.V and visual mediums. Craig Brown aka Sounda is a former Performance Artist with work featured within Compilation CDs, and tracks licensed for film and TV, just to name a few. My experience with the paranormal and connections to the cosmos, inspired a lot of my work. My goals include pushing the limit of Art through Sound and Music and establishing a strong foundation with my contribution in Film and TV. Favorite Lyric: You are just another brick in the wall by Pink Floyd Activities and Thoughts: Flying, stargazing, battling supernatural forces. There is no such thing as silence, silence has a sound. I am trying to figure out what lies within the 11th Dimension. I wonder if the beautiful ring planet is ready to take me back. Craft:","sound designer electronic experimental audiovisual and multimedia artist with emphasis on filmtv and visual mediums craig brown aka sounda is a former performance artist with work featured within compilation cds and tracks licensed for film and tv just to name a few my experience with the paranormal and connections to the cosmos inspired a lot of my work my goals include pushing the limit of art through sound and music and establishing a strong foundation with my contribution in film and tv favorite lyric you are just another brick in the wall by pink floyd activities and thoughts flying stargazing battling supernatural forces there is",106,"no","no","nothing","one","an","also","something","still","not",0.0199999999967986,TRUE,"only","some"
"55","There came a point, maybe three years into that, where I began to realise I'd have to have another go at a novel. Giant Thief didn't originate with any one story, but it did come out of not wanting to make the mistakes I'd made with my first attempt at novel writing. I was writing one or two short stories a month, and I didn't want to lose that pace. So it had to be something fast-paced, fun, not too convoluted. Something I could throw myself into and just keep moving with.","there came a point maybe three years into that where i began to realise id have to have another go at a novel giant thief didnt originate with any one story but it did come out of not wanting to make the mistakes id made with my",48,"first","family","mom","own","first","girls","legs",NA,NA,0,TRUE,NA,NA
"56","At the back of the shop there is a little cafe which is the pretence of this post- the menu is pretty simple, just fry ups (£3.50) sandwiches (around £1.50) and jacket potatoes (around £2). I had a tuna mayo salad and a latte which came to a grand total of £3.50.","at the back of the shop there is a little cafe which is the pretence of this post the menu is pretty simple just fry ups � sandwiches around � and jacket potatoes around � i had a tuna mayo salad and a latte",45,"which",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"57","anyway, i digress. we’ve got a bed, a sofa, a washing machine – all the important things, really. and the furniture for the baby room comes tomorrow morning. which is good since come next week, i could literally go into labor at any moment. though, i really hope he’ll wait for a little bit. a couple weeks at least. we’re not quite ready yet (though not sure if we will be in a few weeks, either).","anyway i digress we’ve got a bed a sofa a washing machine – all the important things really and the furniture for the baby room comes tomorrow morning which is good since come next week i could literally go into labor at any moment though i really hope he’ll wait for a little bit a couple weeks",58,"at","ago","may","know","said","later","least",NA,NA,0.0299999999988358,FALSE,NA,NA
"58","I wrote you a love haiku","i wrote you a love",6,"haiku","for",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"59","Sunday the festivities continued. I went BACK to Shadowbox to see Back to the Garden again. (Told ya I love that place). Then after that was over, I had to work at the store. It was Survivor finale night, and we do a special Survivor crop each season, so I had to go host that.","sunday the festivities continued i went back to shadowbox to see back to the garden again told ya i love that place then after that was over i had to work at the store it was survivor finale night and we do a special survivor crop",47,"each","season","photo","certain","jewish",NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"60","Just go away.","just go",3,"away","back","home","see","get","away","wrong","just","follow",0.0500000000029104,TRUE,"another","long"
"61","After the war memorial, and Northwood Station, we turned right just after St Helen's School towards Northwood Hills. My two South London colleagues were pleased that there actually was a hill. We were surprised at the number of closed-down shops in this apparently affluent area, but the William Jolle pub still seemed to be thriving. (Because it is a Wetherspoons establishment, I can tell you that he was a local 14th century resident) The former pub opposite had, however, metamorphosed into the Namaste Lounge.","after the war memorial and northwood station we turned right just after st helens school towards northwood hills my two south london colleagues",24,"were","getting","ever","key","pleased","cd","leeds","tend","joel",0.0199999999967986,FALSE,"dreamed","upset"
"62","The only not-so-fabulous part was that as I was getting the monkeys in the tub, I started to sneeze. And feel drippy and tickly. Sure signs of an end-of-summer cold. Bluck. I feel icky this morning, but have too much to do to be sick. So I am refusing to succumb to my desire to plop on the couch and sniff all day. I am hoping sheer will alone will heal me :)","the only notsofabulous part was that as i was getting the monkeys in",14,"the","world","first","past","same","middle","end","last","us",0.0299999999988358,FALSE,"morning","second"
"63","Last week, he was so worked up about some things that were not actually real. He laid down in his bed and kept going over and over them with me. I told him he just needed to relax, that he didn't need to worry so much. He is being so well cared for. He gave me the silent soul searching steel blue stare, softly grabbed my hand, and said, ""I'll always remember you.""","last week he was so worked up about some things that were not actually real",16,"he","estate","life","deal","good","story","name","answers","shit",0.0100000000020373,FALSE,"madrid",NA
"64","From Peru, we flew to Ecuador and then on to the wedding. After the celebrations, we were off to Hawaii, for a much needed relaxing beach holiday, after which we did a wonderful cruise of The Great Barrier Reef, before flying home via Singapore. What a great trip that was, and one day I’ll put some more photos up for you to see.","from peru",3,"we",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"65","I gave Nick S a call before I got there and he told me that Tim CC was on his way up to get it, so I did a quick pass 500′ over a couple of pilots on takeoff, then headed back over Aber.","i gave nick s a call before i got there and he told me that tim cc was on his way up to",24,"get","the","years","million","be","his","get","something","date",0,TRUE,"speed","to"
"66","Night by night","night",2,"by","night","last","though","much","little","well","long","sleep",0,FALSE,"show","sky"
"67","Stay tuned for some more quilting posts coming soon.","stay tuned",3,"for","for",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE,NA,NA
"68","The company are introducing an internal ‘carbon price’ to encourage their individual business arms to become more responsible for the costs of offsetting their emissions.","the company are introducing an internal ‘carbon price’ to encourage their individual business arms to",16,"become","around","legs","can","across","become","actually","decided","bring",0.0199999999967986,TRUE,"short","minor"
"69","Morgan Tsvangirai, the Zimbabwean prime minister, on the other hand has given up a presidency in order to avoid violence continuing against his constituents.","morgan",2,"tsvangirai",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"70","When it comes to making my own salsas at home, I've often limited myself to making the usual salsas that involve fresh tomatoes, fresh jalapenos, an onion, some cilantro and a bit of lime juice... or pico de gallo. And from time to time, I may make the salsa verde, guacamole, or the black bean and corn salsa.... even the quick, budget-friendly avocado sauce. They are all excellent. But recently I managed to make 2 different salsas, opening the door to a new way of making salsa for me... using various chiles to add depth and flavor.","when it comes to making my own salsas at home ive often limited myself to making the usual salsas that involve fresh tomatoes fresh jalapenos an onion some cilantro and a bit of lime juice",36,"or","juice","grove",NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"71","Anyway, Howl is the dashing wizard that Sophie fell in love with. He was self-absorbed. In the movie it was said that Howl’s heart was young and immature (something like that). At first he wasn’t capable of loving anyone. I guess to be able to understand the film, we have to understand Howl’s relationship with Calcifer.","anyway howl is the dashing wizard that sophie",9,"fell",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"72","You think your school's scary?","you",2,"think",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"73","Skully was struggling to breath at this point, shaking and pawing his head, gagging and his eyes reflected his fear. Poor little guy! He was also snapping his teeth, tryin' to dislodge the jerky.","skully was struggling to breath at this",8,"point","time","point","very",NA,NA,NA,NA,NA,0,TRUE,NA,NA
"74","“unchanged to previous positions” – if repeatedly unchanged, then psychological / biased","“unchanged to previous positions” – if repeatedly",8,"unchanged",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"75","I was recently given the assignment to select one word that describes me and write about it. At first this sounded so simple, but in my usual fashion I spent a little too much time dwelling over it. I wear many badges. I am a wife, a mother, a daughter, a teacher, a friend....you get my point. The word that returned to me most often and a word I've never used to describe myself was pray-er, a person that prays. I questioned if it was really a word...it is...I looked it up. It is seldom used, but it is a word.","i was recently given the assignment to select one word that describes me and write about it at first this sounded so simple but in my usual fashion i spent a little too much time dwelling over it i wear many badges i am a wife a mother a daughter a teacher a friendyou get my point the word that returned to me most often and a word ive never used to describe myself was prayer a person that prays i questioned if it was really a wordit isi looked it up it is seldom",96,"used",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"76","Or at least, the US does. Why don’t things like this exist? Adults like to have fun as much as kids do, although maybe the urge to play has either died down naturally or been repressed by responsibilities. Playgrounds are a great way for kids to run, jump, and get some exercise while enjoying themselves, but what like that exists for adults? If you want fun, it’s usually either expensive or relatively sedentary like walking or hiking. If you want cheap exercise … lace up those running shoes. (And I don’t deny that some people gain enjoyment from running, but I sure don’t.)","or at least the us does why don’t things like this exist adults like to have fun as much as kids do although maybe the urge to play has either died down naturally or been repressed",37,"by",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"77","And the paint. I have read every blog and article on the web that discusses painting cabinets and I tried something completely different from what I had read. Have you seen those commercials for Behr ""He is painting while he primes. She is priming while she paints?"" I went for the premium primer included stuff from Home Depot. The black color is Behr Beluga. I painted 3 coats, sanding lightly between each one. I didn't remove the doors but I easily could (and probably should) have. I decided to distress them. This my husband wasn't too thrilled about but I know how my kids and their stool had already distressed them over the years so I figured I would save myself the headache and heartache and have them start distressed. I hit it several places with the sander and then used a darker tinted glaze (some watered down acrylic craft paint) over the sanded spots to darken up the distressed areas.","and the paint i have read every blog and article on the web that discusses painting cabinets and i tried something completely different from what i had read have you seen those commercials for behr he is painting while he primes she is priming while she paints i went for the premium primer included stuff from home depot the black color is behr beluga i painted coats sanding lightly between each one i didnt remove the doors but i easily could and probably should have i decided to distress them this my husband wasnt too thrilled about but i know how my kids and their stool had already distressed them over the years so i figured i would save myself the headache and heartache and have them start distressed i hit it several places with",136,"the","like",NA,NA,NA,NA,NA,NA,NA,0.0499999999956344,FALSE,NA,NA
