"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"233","BRUSSELS — The European Union says that a recession brought on by a crippling debt crisis could give way to a modest recovery later this year — provided governments persevere on the tough austerity track.",15,"on","by","a","crippling","debt","of","the","to",0.0100000000002183,FALSE
"234","What is the license plate number, if known, of the abandoned vehicle.",2,NA,NA,NA,"what","is","the","you","to",0.0199999999999818,FALSE
"235","Sen. Kevin O’Toole (R-Essex): Yes",3,NA,NA,"sen","kevin","otoole","john","brown","hickey",0.00999999999976353,FALSE
"236","Officials said al-Qaeda intended to detonate a sophisticated underwear bomb on a U.S.-bound airplane around the one-year anniversary of Osama bin Laden's death. CIA operatives seized the bomb before the bomber had selected a target or purchased tickets.",22,"anniversary","of","osama","bin","laden's","the","a","his",0,FALSE
"237","""First-class travel is excessive,"" said William Sannwald, a professor in the School of Business at San Diego State University. ""You have to show a business case as to why it's valuable to the port and I don't know if they can do that.""",9,"said","william","sannwald","a","professor","of","to","in",0.0399999999999636,FALSE
"238","Two veterans groups said in a 2007 lawsuit that the VA had made mental health care virtually unavailable to thousands of discharged soldiers through perfunctory exams, long waits for referrals and treatment, and a prolonged medical benefits process in which vets can't hire lawyers.",34,"referrals","and","treatment","and","a","the","a","to",0.0300000000002001,TRUE
"239","“The Lamb Lies Down on Broadway,” Genesis (1974)",7,"lies","down","on","broadway","genesis","the","a","and",0.00999999999976353,FALSE
"240","Rui Machado, Portugal, def. Pedro Sousa, Portugal, 6-7 (3), 6-1, 6-2.",4,NA,"rui","machado","portugal","def",NA,NA,NA,NA,FALSE
"241","Special to Tribune Newspapers",3,NA,NA,"special","to","tribune","the","a","be",0.0199999999999818,FALSE
"242","A problem once associated with bodybuilders and pro athletes has extended to law enforcement in recent years. Other federal investigations of police and steroid use have led departments in several major cities, such as New York and Boston, to consider expanding random testing for steroids.",21,"years","other","federal","investigations","of","a","of","to",0.0300000000002001,TRUE
"243","The men are suspected gang members, according to Kice. One is a suspected member of a Buena Park gang, the other a suspected affiliate of a Mexico-based gang. The men had prior criminal convictions and were identified and located based on leads and intelligence gathered as part of the operation, Kice said.",23,"gang","the","other","a","suspected","of","to","in",0.0199999999999818,FALSE
"244","Christensen also said if a child needed to be hospitalized as a result of a teacher's actions, ""it would be a violation of all we believe in as a school district.""",18,"of","a","teacher's","actions","it","the","of","a",0.0300000000002001,FALSE
"245","A Monmouth University/Gannett New Jersey Poll found Kean, who served two terms beginning in 1982, is viewed favorably by 46 percent of the public and unfavorably by only 9 percent.",27,"the","public","and","unfavorably","by","the","a","of",0.00999999999976353,FALSE
"246","Southern Oregon detectives say they are building a case against at least four people suspected of selling pirated computer software and DVDs of TV shows.",8,"say","they","are","building","a","the","a","in",0.0300000000002001,TRUE
"247","The two companies came together in 2007 when they created UniStar to develop nuclear projects in North America, including at Calvert Cliffs, with the aim of creating a U.S. nuclear renaissance after a 30-year hiatus.",3,NA,NA,"the","two","companies","of","and","to",0,FALSE
"248","“The law is clear. The township can’t force BPG to continue to satisfy the conditions of the development approvals if the approved development isn’t constructed,” said John Stapleton, an attorney for the company.",12,"force","bpg","to","continue","to","the","a","be",0.00999999999976353,FALSE
"249","Mark Elberger of West Chestnut Street, whose backyard is behind Shersick's yard, said he was in his house about 9 a.m. when he heard a police officer's radio outside. That's when he learned that the bear was up in his tree.",2,NA,NA,NA,"mark","elberger","of","cagley","elberger",0.0199999999999818,TRUE
"250","The judge, Joan Humphrey Lefkow, ruled against Ross four times last year and ultimately dismissed his case. In one of his filings, Ross compared attorneys and state and federal judges to ""Nazi-style criminals"" and wrote that they ""are to me terrorists as much as Osama bin Laden and al-Qaeda are terrorists to the United States.""",27,"ross","compared","attorneys","and","state","the","a","to",0.0199999999999818,FALSE
"251","Whitman, though, has handled every challenge that's been tossed her way with aplomb.",2,NA,NA,NA,"whitman","though","though","has",NA,0.0100000000002183,TRUE
"252","In the market for a secondhand runabout? An Oriental rug? How about a conversation piece for that dead space over the sofa?",13,"oriental","rug","how","about","a","the","a","his",0.0199999999999818,TRUE
"253","“I would like, for once, to see politicians keep their word,” he said, including himself. However, “I can understand, or rationalize anyway, and maybe that’s what I’m doing, that would be reason enough to keep the toll -- if we can build that ramp,” he said.",13,"keep","their","word","he","said","said","was","the",0.00999999999976353,TRUE
"254","Cherepinsky's own mock draft projects Upshaw being picked by the Chargers, but the author was leaning toward a late adjustment Thursday afternoon. Because he suspects the New York Jets may have plans for Upshaw with the No. 16 selection, Cherepinsky is weighing moving Mercilus into the Chargers' slot. Or, perhaps, Chandler Jones, the defensive end from Syracuse.",54,"perhaps","chandler","jones","the","defensive","of","and","to",0.0100000000002183,FALSE
"255","Hickey hospitalized: Sox batting practice pitcher and former major leaguer Kevin Hickey remains in a Dallas hospital for further tests.",16,"hickey","remains","in","a","dallas","the","of","a",0.0399999999999636,FALSE
"256","The council has not yet officially discussed how to boost revenue to keep from having to delve deep into the city's fund balance, currently about $13 million. McGinnis said the council explored all avenues to cut costs while thinking about how to maintain an appropriate level of service.",47,"maintain","an","appropriate","level","of","of","the","slim",0.0100000000002183,TRUE
"257","It was her single to left in the third that broke up Bailey's attempt at a perfect game. But the more important hit came in the fourth when the Panthers sent nine batters to the plate and scored four times.",19,"at","a","perfect","game","but","of","the","to",0.0199999999999818,FALSE
"258","“The Whigham Funeral Home is not responsible and had no role in this shameful betrayal,” he said.",5,"the","whigham","funeral","home","is","of","in","and",0.00999999999976353,FALSE
"259","But that wedge is growing less and less sharp each day, as Republicans like us stand up and say what's true: Support for this issue is wholly in line with traditional conservative values.",22,"and","say","what's","true","support","the","a","to",0.0300000000002001,FALSE
"260","The artwork comes in several sizes; some of it is commandingly large, while other pieces are smaller and more manageable. Pawlowska paints on wood, using paint that is thickly layered and spread in intense, vivid shades: rich blue, ""the color of the sky - the mystery of divine life""; deep red, ""the symbol of life""; and gold, which, she says in her written notes, is ""not regarded as a color,"" but as ""the divine light.""",22,"and","more","manageable","pawlowska","paints","the","than","a",0,FALSE
"261","Sheridan 003 000 0 — 3 1 5",2,NA,NA,NA,"sheridan","",NA,NA,NA,NA,FALSE
"262","The fire company extinguished the fire, and the house was deemed inhabitable after the firefighters completed their work on scene, police said.",20,"completed","their","work","on","scene","the","a","and",0.00999999999976353,FALSE
"263","The proposal died after running into opposition from neighbors, preservationists and, the main deal-killer, the hotel workers' union, Local 2.",13,"neighbors","preservationists","and","the","main","of","and","the",0.0399999999999636,FALSE
"264","But with strong bipartisan support — the measure cleared the Intelligence Committee on Thursday by a 17-1 vote — more than a year of consultation with the White House and the backing of several key Internet service providers and trade organizations, it might have the best chance of becoming law.",29,"consultation","with","the","white","house","of","and","to",0.0300000000002001,FALSE
"265","Civil penalties for carrying a firearm into the secured area of an airport can range from $3,000 to $7,500 for a loaded weapon and $1,500 to $3,000 for an unloaded weapon.",17,"airport","can","range","from","","the","a","to",0.00999999999976353,FALSE
"266","After cruising through the first four innings, Greinke gave up three consecutive hits to start the fifth. Joaquin Arias' single, the third in the sequence, scored Angel Pagan.",21,"fifth","joaquin","arias'","single","the","to","the","off",0,TRUE
"267","""Ideas don’t know boundaries,"" he said. ""I don’t see how ELEC gets its arms around that.""",4,NA,"ideas","dont","know","boundaries","if","where","how",0.0100000000002183,FALSE
"268","""To hold a team to one touchdown in a half in arena football is just unbelievable,"" Gladiators coach Steve Thonn said. ""Our defense played fantastic.""",21,"gladiators","coach","steve","thonn","said","said","coach","steve",0.0399999999999636,TRUE
"269","We need to be careful to distinguish how people respond to fear mongering and who is spreading the fears. If we ask why so many of us are losing sleep over dangers that are very small or unlikely, it's almost always because someone or some group is profiting or trying to profit by either selling us a product, scaring us into voting for them or against their opponent or enticing us to watch their TV program.",60,"us","a","product","scaring","us","of","to","in",0.0100000000002183,FALSE
"270","16) L’Arpège, France",3,NA,NA,"","larpge","france","france",NA,NA,0.0199999999999818,TRUE
"271","Two boys on the local high school football team write in their English assignment that they want to butcher their teacher and defecate down her neck, among other things.",21,"want","to","butcher","their","teacher","the","a","be",0.00999999999976353,FALSE
"272","It's on a dorm at Missouri State and the cardiac wing at a hospital. It graces the architecture school at Drury University and Springfield's tallest building. The AA Springfield Cardinals play at Hammons Field, and the Missouri State Bears host their basketball games at JQH Arena. The two gleaming new stadiums sit a few blocks apart, on John Q. Hammons Parkway.",33,"springfield","cardinals","play","at","hammons","the","a","home",0.0199999999999818,FALSE
"273","'GOLD RUSH'",2,NA,NA,NA,"'gold","rush'",NA,NA,NA,NA,FALSE
"274","Joshua Spivak is a senior fellow at the Hugh L. Carey Institute for Government Reform at Wagner College. He writes for the Recall Elections blog.",3,NA,NA,"joshua","spivak","is","is","spivak","a",0.0100000000002183,TRUE
"275","400 W. Spain St.; (707) 933-3663 or estate-sonoma.com. Dinner nightly, brunch Sunday. Dinner main courses, $21-$24.",4,NA,"","w","spain","st","st","has","peoria",0.0199999999999818,TRUE
"276","Nearly two dozen people, including some of Christie’s top political advisers and party leaders, met with the former Massachusetts governor at Drumthwacket, said the sources, who requested anonymity because they were not authorized to discuss the meeting. They described the dinner as an informal discussion without any specific talk of endorsements in New Jersey’s GOP presidential primary, to be held in February 2012.",51,"any","specific","talk","of","endorsements","the","a","his",0.00999999999976353,FALSE
"277","Rubio has reportedly issued -- through people in his camp -- a declaration telling Memphis and Oklahoma City to not bother drafting him, because he's not interested in playing for the Grizzlies or Thunder. The Grizzlies and Thunder have the second and third picks, respectively, behind the Los Angeles Clippers, who are expected to select Oklahoma's Blake Griffin with the first overall pick.",23,"to","not","bother","drafting","him","the","a","be",0.0199999999999818,FALSE
"278","In Monroe Township, Board President Michael Hamilton said the board had not made a decision for or against moving the election at this time.",11,"hamilton","said","the","board","had","of","and","to",0.0300000000002001,FALSE
"279","Flood has been the Knights' offensive line coach since joining the staff seven years ago, adding the title of assistant head coach in 2008. He was co-offensive coordinator in 2009 and 2010 before shedding that responsibility last season.",21,"the","title","of","assistant","head","the","a","of",0.00999999999976353,FALSE
"280","In the family office, which was created by combining two small bedrooms, the lime-green walls are highlighted by a series of 12 graphic Buddha heads in green, orange, purple and pink.",30,"in","green","orange","purple","and","the","a","county",0.0199999999999818,FALSE
"281","Anyone with information on Rashkov is asked to call the Area North special victims unit at (312) 744-8266.",15,"area","north","special","victims","unit","of","unit","that",0.0100000000002183,TRUE
"282","""It's almost like a preforeclosure,"" Andreas added.",5,"it's","almost","like","a","preforeclosure","of","to","in",0.0399999999999636,FALSE
"283","No doubt the play was spectacular. The problem: Illinois lost that game, 27-20. So why did Jenkins think the catch was so special?",10,"spectacular","the","problem","illinois","lost","of","and","to",0.0300000000002001,FALSE
"284","Principal: Todd Phillips, CEO and president.",3,NA,NA,"principal","todd","phillips",NA,NA,NA,NA,FALSE
"285","Xmas! Bah humbug! Man, I hate this time of year! And most of all, I hate shopping. Oh well, might as well get on with it.",19,"i","hate","shopping","oh","well","my","god","well",0.0299999999997453,TRUE
"286","Rather than enter camp intent on imposing his will, Matheny solicited input from veterans about their individual programs, when they preferred down time and what they believed warranted particular emphasis.",30,"they","believed","warranted","particular","emphasis","emphasis","will","the",0.0300000000002001,TRUE
"287","Azeez B. Powell, 31, of Bayside Place, was charged with lewdness and two counts of bail jumping, according to Port Authority Police spokesman Al Della Fave. Powell had failed to appear on “the same exact charges” out of Jersey City, Della Fave said.",41,"out","of","jersey","city","della","the","a","of",0.0299999999997453,FALSE
"288","Monday's earnings call was the last with a member of the Ratner family at the company's helm. At Forest City's annual meeting Friday, longtime CEO Charles Ratner will become chairman of the board. He will be succeeded by David LaRue, the company's chief operating officer.",26,"meeting","friday","longtime","ceo","charles","with","was","they",0.0199999999999818,FALSE
"289","He said that many people have the mistaken impression that Habitat for Humanity gives people houses. It doesn't. It uses mortgage payments to build more homes. It's a partnership, and the partners know the rules, he said. Denson was well aware of what would happen if she fell 90 days behind, Weeks said.",19,"people","houses","it","doesn't","it","is","was","a",0.0100000000002183,FALSE
"290","Holmgren's two stabs at quarterback during his time here -- Jake Delhomme in free agency and Colt McCoy in the 2010 draft -- don't exactly ratchet the anticipation for a third foray by him. But as team president charged with turning the fortunes of this franchise, he absolutely should exercise his authority on the most important position on the field.",23,"in","the","","draft","","of","the","and",0.0199999999999818,FALSE
"291","He said Digg ultimately ordered him to stop, saying uSocial was breaching the site's policies. He halted the Digg service a few months later, saying he had too many clients to keep up with demand. He said he will eventually relaunch it with better software for automated voting. Digg declined comment.",16,"breaching","the","site's","policies","he","of","and","to",0,FALSE
"292","Guest soloists will include Sue McLaughlin and Amy Thach-McArtor in Antonio Vivaldi’s “Concerto for Two Piccolos” and band; cornetists Lu Ann Gresh, Mary Phillips and Marcia Nelson-Kline in Herbert L. Clarke’s cornet trio “Flirtations;” and Vicki Smith (clarinet), Nelson-Kline (trumpet), Lee Harper (trombone), Kyle Snyder (tuba) and Bruce Nist (drums) in Jared Spears’s “At A Dixieland Jazz Funeral.”",50,"tuba","and","bruce","nist","drums","the","a","to",0.0299999999997453,FALSE
"293","""I believed everything I touched I made garbage,"" said Adrianna's mother, Tausha Cram.",2,NA,NA,NA,"i","believed","have","think","don't",0,FALSE
"294","""I noticed it a few weeks ago,"" my wife said.",9,"few","weeks","ago","my","wife","god","it","oh",0.0300000000002001,FALSE
"295","At 11 a.m. on a Saturday, the market's parking lot is a logjam. Drivers are circling, ignoring the arrows painted on the pavement to direct traffic. As one car stops to wait for a space, a line of vehicles stretches out behind it.",42,"of","vehicles","stretches","out","behind","the","of","and",0.0300000000002001,FALSE
"296","The schedule also features a Family Day Practice in Cleveland Browns Stadium on Aug. 6 beginning at 2 p.m.",5,"the","schedule","also","features","a","of","and","to",0.0199999999999818,FALSE
"297","And, the Supreme Court upheld the appellate’s decision, ruling Jeannette Mauti is protected under spousal testimonial privilege.",10,"the","appellates","decision","ruling","jeannette","of","and","to",0.0299999999997453,FALSE
"298","But let's take another look at those ""regular fees.""",8,"another","look","at","those","regular","the","a","home",0.0100000000002183,FALSE
"299","Who knows whether it lasts the weekend, but it fed a lot of memories for those on both sides of the ropes. And not once did anyone mention that troublesome Achilles' tendon.",27,"and","not","once","did","anyone","the","a","not",0.0199999999999818,FALSE
"300","He did not show a weapon or imply having one, police said. The suspect drove off in a white sport utility vehicle.",2,NA,NA,NA,"he","did","said","was","the",0.00999999999976353,FALSE
"301","One of the vehicles swerved in front of James' car and blocked his way. Six police officers in street clothes came out of the two vehicles and surrounded James' car with guns drawn.",19,"six","police","officers","in","street","the","a","for",0.0399999999999636,FALSE
"302","Ocean View manager Jeff Pratto said while it wasn’t Danner’s best pitching night, he was proud of his starter.",8,"jeff","pratto","said","while","it","the","he","a",0.0300000000002001,FALSE
"303","The story is fairly straightforward. A young woman (Keller) accepts a post as a governess. Over the next seven days, she becomes convinced that the children in her charge are being stalked by demons. On the seventh day, all hell breaks loose (so to speak) as her fierce attempts to protect young Flora and Miles turn tragic.",26,"becomes","convinced","that","the","children","of","and","to",0.00999999999976353,FALSE
"304","Decker said the training was a key component.",6,"said","the","training","was","a","of","a","the",0.0300000000002001,TRUE
"305","Though there is no immediate effect until the hearing is concluded, spokesman Peter Aseltine said, just about all the Alcotests use the Control Company thermometer, he said.",10,"effect","until","the","hearing","is","of","and","to",0.0399999999999636,FALSE
"306","“After March, we’ll heading down the home stretch,” Komarek said. “""It'll become a case of trying to stay just ahead of the lake elevation and continuing to work for as long as we can work until the water chases the contractors out.""",26,"the","lake","elevation","and","continuing","the","a","to",0.0100000000002183,FALSE
"307","Speedy forward Andy McDonald provided the boost as the Blues soared to the top of the Western Conference standings.",3,NA,NA,"speedy","forward","andy","andy","amare","logan",0.0199999999999818,TRUE
"308","The concert ends with traditional tunes: ""Deck the Halls,"" ""O Come, All Ye Faithful"" and ""O Holy Night.""",16,"all","ye","faithful","and","o","the","a","to",0.0299999999997453,FALSE
"309","Q: A story about you a few years ago said you were thinking about running for mayor of your hometown, Paterson, N.J., someday. Do you still think about doing that?",10,"a","few","years","ago","said","of","to","the",0.0100000000002183,FALSE
"310","PITTSBURGH - Walking a careful line, Republican presidential candidate Mitt Romney said Friday he had wanted an openly gay spokesman who resigned from his campaign this week to stay on. Hours later, he worked to court the party's conservative wing by meeting with former rival Rick Santorum.",16,"said","friday","he","had","wanted","said","to","the",0.0199999999999818,FALSE
"311","Detectives with the Multnomah County Major Crimes Team shared the landscaper's account with Kyron's father, Kaine Horman, last weekend, prompting him to leave the house June 26 with the couple's 19-month-old daughter.",7,"the","multnomah","county","major","crimes","of","and","to",0.00999999999976353,FALSE
"312","But few firms can do the payroll work the county requires. The proposed Vital Resources contract also calls for an administrator to maintain and troubleshoot two database management systems, to fill a void created last month when a senior database analyst retired with three weeks notice.",25,"administrator","to","maintain","and","troubleshoot","the","a","to",0.0199999999999818,FALSE
"313","""You go to his shop to eat and you see the fire chief, the police chief, a couple of council people,"" Webb said. ""Paul's in there holding court.""",17,"chief","the","police","chief","a","of","and","to",0.0100000000002183,FALSE
"314","It concluded that Zidell's plan is not likely to jeopardize threatened wild fish or adversely modify their habitat.",9,"plan","is","not","likely","to","to","a","the",0.0299999999997453,TRUE
"315","However, I question the very public banging of heads against the Establishment Clause over a dubious thesis: that Christian thought has been booted from the public square. God knows that with the advent of the Internet, Twitter and other avenues, the freedom to preach and proselytize hasn't been constrained — only the use of government venues to showcase those focused ideals in America's pluralistic society.",60,"venues","to","showcase","those","focused","the","a","be",0.0199999999999818,FALSE
"316","An eviction notice from the 36th District Court fluttered in the breeze on the front window of the modest colonial on Detroit's west side Tuesday.",23,"modest","colonial","on","detroit's","west","the","a","and",0.0100000000002183,FALSE
"317","The Chiasso catalog features several new coir doormat designs with modern graphics, including botanicals and bicycles. They're made with fade-resistant dyes on sustainable coconut fiber to trap dirt.",4,NA,"the","chiasso","catalog","features","of","and","to",0.0199999999999818,FALSE
"318","""I doubt you're ever going to see me kicking dirt, throwing bases, that kind of stuff,"" Matheny said after the Cardinals' 2-1 loss to Washington. ""I don't think it's going to happen, but I don't know. I've lost it a couple times (as a player). ... Mostly, in spring training you don't see that.""",14,"dirt","throwing","bases","that","kind","the","he","will",0.0199999999999818,FALSE
"319","Gee walked two to start the sixth but induced a groundout and struck out two to quash that threat. Gee gave up four hits — only a single after the second. He walked three and struck out six.",32,"single","after","the","second","he","of","and","to",0.0300000000002001,FALSE
"320","The Callahans are from Worden, a village in Madison County.",10,"a","village","in","madison","county","the","a","of",0.0299999999997453,FALSE
"321","Coach of the year: Andrew Hasz, Faith Christian",6,"of","the","year","andrew","hasz","of","the","and",0.0100000000002183,FALSE
"322","""You live with the contract you've got and those are the terms, so we've got to live with them,"" Jones said. ""Ultimately, at the end of the day, everything will see the light of day.""",29,"end","of","the","day","everything","of","the","and",0.0299999999997453,FALSE
"323","The U.S. Rafting Association head judge signaled to four boats that the start was near in the National Championship Down River Race.",5,"the","us","rafting","association","head","of","and","to",0.0500000000001819,FALSE
"324","The one-time senior NSA manager was indicted last year on charges of taking classified information for the purposes of leaking it to then-Sun reporter Siobhan Gorman, who wrote a series of articles detailing problems with some of the agency's counterterrorism programs. Gorman, who was not named in the indictment, now works at The Wall Street Journal.",45,"programs","gorman","who","was","not","a","the","in",0.0199999999999818,FALSE
"325","So, you've made it. First, let me offer my congratulations and applaud you for your perseverance.",10,"let","me","offer","my","congratulations","god","it","oh",0.00999999999976353,FALSE
"326","""It's so beautiful, like a black-and-white calligraphy,"" Masaki Yokokawa, owner of Guest House Pongyi, a small hostel that opened in 2009, said of the garden in winter. And when the icy chill eventually gives way to springtime, the awakening branches will bloom with feathery pink and white cherry blossoms.",19,"a","small","hostel","that","opened","the","he","will",0.0300000000002001,FALSE
"327","""To say we're not bargaining in good faith is simply wrong,"" Sievers said. ""We've been talking with these guys a lot.""",17,"said","we've","been","talking","with","a","the","to",0.0199999999999818,FALSE
"328","��Support and defend Senate Bill 1070.",4,NA,"support","and","defend","senate","the","a","to",0,FALSE
"329","The roadway's use by vendors during the makeover period means market customers will also see another change — more vendors each Saturday in May.",22,"","more","vendors","each","saturday","than","other","they",0.0300000000002001,FALSE
"330","CVC President Kathleen ""Kitty"" Ratcliffe would not discuss the proposal or the process under way to develop it.",11,"not","discuss","the","proposal","or","of","and","to",0.0199999999999818,FALSE
"331","Finally, although some private plans are expensive, there may be a high-deductible private policy that would at least cover the large insurance bills that might be incurred through an extended medical situation, even if you had to pay for routine care out-of-pocket, Nord said.",42,"pay","for","routine","care","outofpocket","the","a","but",0.0299999999997453,FALSE
"332","Workhaus Collective",2,NA,NA,NA,"workhaus","collective","collective",NA,NA,0,TRUE
"333","Kato Ito! (They met at the trial!)",2,NA,NA,NA,"kato","ito","ito","they",NA,0.0100000000002183,TRUE
"334","Jeremy Castro: 6-foot-1, 240 pound defensive end from Murrieta (Vista Murrieta), Calif.. Ranked as the No. 18 defensive end in the country, Castro originally committed to Washington but switched his pledge after his official visit to Oregon in October. Castro plans to take official visits to LSU and Oklahoma but indicated he will not switch his pledge from the Ducks.",32,"but","switched","his","pledge","after","the","wife","first",0.0199999999999818,FALSE
"335","What was call girl Ashley Dupre's penance for helping Spitzer devastate his wife and daughters? She is now a New York Post ""advice"" columnist and has been a featured panelist on ""The View,"" where she tried to portray herself as a victim. In late 2009, ""Extra!"" even sought her marital advice for Tiger Woods and his wife.",22,"now","a","new","york","post","of","york","jersey",0.00999999999976353,FALSE
"336","Last year, the national conference of the National Beer Wholesalers Association was ""more angst-fest than beer-fest,"" in the words of one Wall Street analyst. That made sense: Beer middlemen were preoccupied with their evaporating wealth and nervously trying to figure out what big brewers intended for them.",28,"analyst","that","made","sense","beer","the","he","a",0.0399999999999636,FALSE
"337","Sprint and Verizon are in a hotly competitive race. Each one is afraid to tighten policies or raise prices too much, lest subscribers jump to a competitor.",4,NA,"sprint","and","verizon","are","the","a","to",0.0100000000002183,FALSE
"338","But despite Taylor and C.J. being accomplished players in their own rights, their younger brothers eventually zoomed past them.",19,"brothers","eventually","zoomed","past","them","the","them","year",0.0199999999999818,TRUE
"339","ø""One win won't turn our season around, but it's definitely something we'd welcome. I know we're on the brink of (Hendrick's 200th win). Any (Hendrick driver) could get it done. Everyone wants it for Rick, and we'll all be relieved.""",3,NA,NA,"one","win","won't","of","in","the",0.00999999999976353,FALSE
"340","""The rate of adoption of our mobile apps has been even faster than the take-up rate of our Internet site when we first rolled that out,"" Clifford said. The bank plans to eventually make the mobile apps available to its clients based outside the U.S.",37,"eventually","make","the","mobile","apps","of","and","to",0.0300000000002001,FALSE
"341","WASHINGTON - Phoenix Mayor Phil Gordon told an audience in Washington on Friday that his goal is to get Arizona's new law cracking down on illegal immigration ""revoked as soon as possible."" Appearing during a panel discussion held at the liberal think tank Center for American Progress, Gordon called the new law ""criminal,"" ""wrong"" and ""racist.""",41,"discussion","held","at","the","liberal","of","and","to",0.0399999999999636,FALSE
"342","""I am personally renting the space from the school,"" she explained. Once she contacted the Red Cross to assist her with staff and equipment, ""we set a date and ran with it.""",3,NA,NA,"i","am","personally","have","think","don't",0,FALSE
"343","So the Blazers return home, their psyches hurting, their bodies bumped and bruised and swollen. Matthews had a knot over his eye from a first-half collision with Jason Terry. Marcus Camby has a badly swollen right hand that team doctors were examining afterward, to which Camby replied ""There's no way I'm not playing.""",4,NA,"so","the","blazers","return","of","and","to",0.0300000000002001,FALSE
"344","Police say the Honda Pilot bounced off the median, crossed three southbound lanes, flew off the Bronx River Parkway, fell more than 50 feet and landed upside down. A spokesman said it crashed onto a part of zoo property that's closed to the public and not near exhibits.",29,"and","landed","upside","down","a","the","a","on",0.00999999999976353,TRUE
"345","Cinco de Mayo Fest y Chihuahua Races & Beauty Pageant: 10 a.m.-5 p.m. May 5. The popular chihuahua race begins at 2 p.m., followed by the coronation of the festival's king, queen and the Chandler Centennial Chihuahua at 3:30 p.m. Judge's award trophies, capes and prizes from $25 to $500 for categories of best-dressed, best temperament and most fashionable. Call Alberto Esparza at 480-206-2292 to enter your chihuahua. Visit website for official race and pageant rules. Local bands, dance groups and mariachis perform and a grand parade of low-rider vehicles is featured. Food and beverages are available and a health fair sponsored by United Healthcare is held from 10 a.m. to 2 p.m. Historic Downtown Chandler, Arizona Avenue and Chandler Boulevard, Chandler. $10-$25 for race and pageant fees, free for spectators, free Chandler Centennial Chihuahua registration with king and queen pageant. 480-855-3539. chandleraz.gov/cinco.",51,"from","","to","","for","the","a","be",0.0199999999999818,FALSE
"346","Dawson's firm says Baltimore Racing Development owes Baltimore $1.9 million. Other debts include $3.1 million to vendors, $2.5 million to the Maryland Stadium Authority and $1.7 million in contractual payments to different firms.",17,"include","","million","to","vendors","the","a","be",0.0100000000002183,FALSE
"347","The challenge, at least among the Democrats, is that the candidates agree on most issues. Once in Washington, ""we'd probably vote the same way,"" said candidate Susan Adams, a Marin County supervisor and longtime nurse.",3,NA,NA,"the","challenge","at","of","and","to",0.0199999999999818,FALSE
"348","Atlanta had the most schools flagged in any system -- 58 -- more than two-thirds of its public elementary and middle schools. It is the last of the 34 systems to complete its investigation, which is being overseen by a 15-member panel of city business and community leaders.",45,"member","panel","of","city","business","the","a","his",0.0299999999997453,FALSE
"349","Rachael Perrotta, a spokeswoman for Occupy Chicago, said that before the G-8 meeting was moved, Occupy groups from 25 cities said they would be in Chicago. Now she expects people on the East Coast will head toward Camp David instead.",39,"will","head","toward","camp","david","the","be","a",0.0300000000002001,FALSE
"350","And on the non-buying front, Baltimore neighborhoods can enter the city's ""Clean Community Competition"" for a chance at winning prizes of $1,000 or $5,000. You've got to apply by April 9, either by calling 311 or downloading the application here. The contest itself begins later that month and runs through October.",31,"to","apply","by","april","","the","a","be",0.0199999999999818,FALSE
"351","Kelley was part of Dimora's ""A team,"" along with Russo, plumber's union official Rob Rybak, Dimora's other driver and co-defendant Michael Gabor, contractor Steven Pumper, county worker Jerry Skuhrovec and sausage company owner Joey Vinciguerra.",30,"county","worker","jerry","skuhrovec","and","and","skuhrovec","office",0.0299999999997453,TRUE
"352","Armstead, after setting a school record with 89 steals in 2010-11, broke the news Saturday via Twitter:",8,"a","school","record","with","","the","a","his",0.0100000000002183,FALSE
"353"," Second baseman Freddy Sanchez (right shoulder) threw for the first time since his rehab was temporarily shut down last week.",9,"sanchez","right","shoulder","threw","for","for","to","at",0.0399999999999636,TRUE
"354","It had to be the water.",2,NA,NA,NA,"it","had","is","was","a",0,FALSE
"355","Because of the San Andreas Fault, the West Coast will experience extraordinary damage when the next major earthquake occurs. Therefore, it is absolutely crucial that Californians are prepared to deal with this emergency situation – both from a safety and a financial standpoint. Though the impact of earthquakes is beyond our control, we do have full control over our own preparations for them.",56,"control","we","do","have","full","been","to","a",0.0300000000002001,FALSE
"356","DeCesare’s mission, though, continues.",3,NA,NA,"decesares","mission","though","though","isom","mission",0.00999999999976353,TRUE
"357","Round out the top five are Valley (16.5) and three teams tied for fifth place with 16 points — Bennett, Highland and Mead.",10,"are","valley","","and","three","the","a","to",0.0199999999999818,FALSE
"358","Protests against the Arizona law erupted overnight, and the political battle lines were quickly drawn.",2,NA,NA,NA,"protests","against","and","against","the",0.0100000000002183,TRUE
"359","A: I think it was absolutely right. What happened with King Crimson is that Ian McDonald and Mike Giles decided that they didn't want to go touring anymore. They decided they just wanted to make records in the studio. And so, they left King Crimson. That was it. The band was over. Now, we could have replaced two people, but I just didn't feel it was right. Ian and Mike were so important in that band. I said to Robert (Fripp) at the time, ""I'll form a new band if you like. But I just don't feel right about carrying on the name King Crimson.",60,"have","replaced","two","people","but","to","of","in",0.0199999999999818,FALSE
