"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct"
"74","I don't think anyone realizes how much I want to just lay in my bed, all day.","i dont think",4,"anyone","about",0.0299999999988358,FALSE
"75","late bc i was in an airport but shout outs to for finally beating wolfkrone in a tourney... lab time as paid off man","late bc i was in an",7,"airport","the",0.0200000000004366,FALSE
"76","Gotta love field trips that end with lunch at Portillos","gotta love field trips that end with lunch at",10,"portillos","and",0.0100000000002183,FALSE
"77","Bah! New forced hero academy update and no access to wifi for at least an hour! Screw you AT&T!","bah new forced hero",5,"academy","to",0.0299999999988358,FALSE
"78","R.I.P. GRANDPA MANUEL AND HAPPY BIRTHDAY!!! We love and miss you!!!","rip grandpa manuel and happy birthday",7,"we","to",0.0200000000004366,FALSE
"79","Doh! My overly trite point: it should have been so obvious to the devloprs that a trite tweet could point it out.","doh my overly trite point it",7,"should","of",0.0300000000006548,FALSE
"80","Most people spend their time trying to find someone to sleep with instead of finding someone worth waking up to. #Back2bed #ImOut! Ha","most people spend their time trying to find someone to sleep with instead of finding someone worth waking up",20,"to","up",0.0200000000004366,FALSE
"81","Thank you for your support!","thank you for",4,"your","the",0.0199999999986176,FALSE
"82","the credit business has turned into a rackett to a degree; thanks for the follow","the credit",3,"business","cards",0.0100000000002183,FALSE
"83","Me & the Rza connect","me the",3,"rza","way",0.0200000000004366,FALSE
"84","done, follow me (=","done follow",3,"me","the",0.0300000000006548,FALSE
"85","asks all the right questions","asks",2,"all","me",0.0199999999986176,FALSE
"86","""Grandma, just because that woman is wearing #yoga clothes does NOT mean we know her...""","grandma just because that",5,"woman","of",0.0100000000002183,FALSE
"87","Can u feel me reading ur tweets? It's like a touch from god but not really.","can u feel me reading ur tweets its like",10,"a","not",0.0200000000004366,FALSE
"88","OAuth clearer, looking forward to #devexp improvements to come.","oauth clearer looking forward to improvements",7,"to","the",0.0300000000006548,FALSE
"89","Even if not sued Brewster is setting norms for how copyright should work. When one can't change the law start with the norms.","even if not sued brewster is setting norms for how copyright should work when one cant change",18,"the","wait",0.00999999999839929,FALSE
"90","Any specific new spas or boutiques? And events in March or April 2012?","any specific new spas or",6,"boutiques","york",0.0400000000008731,FALSE
"91","Just finished a 7.5K run. Guess there's some life in the old corpus yet.","just finished a k run guess",7,"theres","in",0.0100000000002183,FALSE
"92","Gotta love Hayleigh & Drew from the gym with the convos we have & Jenn for being such a good sport ;) doing her leg exercises","gotta love hayleigh drew from the",7,"gym","the",0.0200000000004366,FALSE
"93","The worst part about job hunting is when you get the ""We loved you but..."" emails/calls :-(","the worst part about job hunting is when you get",11,"the","get",0.069999999999709,FALSE
"94","Of course. But if I wrote the resume, I'd suspect job search strategy was the problem ;-)","of course but if i wrote the resume",9,"id","same",0.0399999999990541,FALSE
"95","did you realize that you are trending right this moment!","did you",3,"realize","know",0.0100000000002183,FALSE
"96","Can't miss my calling !","cant miss my",4,"calling","life",0.0200000000004366,FALSE
"97","Oh #swamppeople, one of them is gonna lose their hand!","oh one of",4,"them","the",0.0300000000006548,FALSE
"98","I've discovered that south jersey looks just as southern as south and north Carolina.","ive discovered that south jersey looks just",8,"as","like",0.00999999999839929,FALSE
"99","Travis giving Wes the blues","travis giving wes",4,"the","me",0.0400000000008731,FALSE
"100","What is the most important thing you look for when purchasing a class, lesson, activity or camp?","what is the most important thing you look for when purchasing a class",14,"lesson","few",0.0100000000002183,FALSE
"101","THEN BOOM... BABY MOMMA BABY DADDY... NO WEDDING.. NO RING","then boom",3,"baby","of",0.0200000000004366,FALSE
"102","6 hours and 5 minutes until pre sales for ""Rise From Zion"" begin! You guys are going to love this!!!","hours and minutes until pre sales for rise from zion",11,"begin","the",0.0299999999988358,FALSE
"103","That is hardcore!","that",2,"is","the",0.0100000000002183,FALSE
"104","Gasol is ready","gasol is",3,"ready","the",0.0200000000004366,FALSE
"105","Realizing I am out of conditioner 30 seconds after getting in the shower was the highlight of my fucking day!","realizing i am out of conditioner seconds after getting in the shower was the highlight of my",18,"day","the",0.0300000000006548,FALSE
"106","Last tweet was an excited squeal BTW should've seen the looks I got when I screeched. #Indians are tied","last tweet was an excited squeal btw shouldve seen the looks i",13,"got","only",0.0299999999988358,FALSE
"107","No, I try to work SMARTER, not HARDER, and show it off. ""Do you stay late at work to prove you're pulling your weight? "" ""","no i try to work smarter not harder and show it off do",14,"you","it",0.0300000000006548,FALSE
"108","I'm single and yea that my daughter","im single and",4,"yea","the",0.0200000000004366,FALSE
"109","I've used them many times, but as it's run by volunteers they aren't always online when you list. keep with it, worth it!","ive used them many times but as its run by volunteers they arent always online when you list keep with it worth",23,"it","was",0.0299999999988358,FALSE
"110","I want a weird al accordion","i want a",4,"weird","few",0.0200000000004366,FALSE
"111","I always gotta pick my fav driver mark Martin","i always gotta",4,"pick","have",0.0300000000006548,FALSE
"112","Workin' today, tomorrow, and Saturday MAC Cosmetics! Come see me ya'll!","workin today tomorrow and saturday mac cosmetics come see",10,"me","to",0.0100000000002183,FALSE
"113","After last night had to drink an #energydrink before the game. Ya girl is #hype #60 more minutes","after last night had to drink an before",9,"the","hour",0.0299999999988358,FALSE
"114","The start-up pitch I vote for at #ultralight is Up-and-coming start up!","the startup pitch i vote for at is upandcoming start",11,"up","the",0.0300000000006548,FALSE
"115","remembering concerts: saw Big Audio Dynamite, Joe Strummer, but never got to see The Clash. saw John Lydon, but never PIL, The Sex Pistols","remembering concerts saw big audio dynamite joe",8,"strummer","at",0.0200000000004366,FALSE
"116","The person who gets the farthest is generally one who is willing to do and dare.The sure-thing boat never gets far from shore.~Dale...","the person",3,"who","who",0.0199999999986176,TRUE
"117","Chiming in w #iaspm tweeters on excellence of Karl Millers's paper. Project critiques historical narrative that C20 listening is passive.","chiming in w tweeters on excellence of karl millerss paper project critiques historical narrative that c listening",18,"is","above",0.0200000000004366,FALSE
"118","I can never handle someone who is too sensitive","i can never handle someone",6,"who","the",0.0300000000006548,FALSE
"119","The fact I get a 68% on a yet and my grade goes up 5% . >>>>","the fact i get a on a yet and my grade",12,"goes","life",0.00999999999839929,FALSE
"120",""": Good Morning World you are now rockin with the #Blessed"" happy hump day!","good morning world you",5,"are","of",0.0400000000008731,FALSE
"121","#KSsynapse Monteggia: In several behavioral models of depression & stress, low-dose ketamine rescued depression-like phenotypes in rodents.","monteggia in several behavioral models of depression stress lowdose ketamine rescued depressionlike",13,"phenotypes","by",0.0300000000006548,FALSE
"122","amen, girl amen ","amen",2,"girl",NA,NA,FALSE
"123","thank you for your service to are beloved steelers we will truly miss your smile every sunday","thank you for your service",6,"to","own",0.0599999999994907,FALSE
"124","But why does this girl in study think she can sing like The Band Perry.....","but why does this girl in study think she can",11,"sing","of",0.0300000000006548,FALSE
"125","PUT A BLOCK ON LOVE....RUN WHEN ITS NEAR...JS...DONT LOVE ME!....","put a block on",5,"loverun","few",0.0100000000002183,FALSE
"126","Good morning #TomorrowBook followers! Thank you guys for helping to developed our amazing search engine! Remember to add logos today!","good morning followers thank you guys for",8,"helping","and",0.0500000000010914,FALSE
"127","Leaving Kalamazoo behind today after a great time and a Rykse's Cinnamon roll","leaving kalamazoo behind today after a great time and a rykses",12,"cinnamon","few",0.00999999999839929,FALSE
"128","You mad ?RT : Caint never get no sleep fuckin with this nigga ","you mad rt caint never",6,"get","cispa",0.0200000000004366,FALSE
"129","How can Andrew Bynum have such an incredible work ethic but play like a lazy piece of crap sometimes?","how can andrew bynum have such an",8,"incredible","as",0.0200000000004366,FALSE
"130","If you didn�t get a negative reaction, that means you�re standing neutral and you have no point of view","if",2,"you","you",0.0200000000004366,TRUE
"131","wanna go tomorrow?","wanna go",3,"tomorrow","to",0.0100000000002183,FALSE
"132","no problem sweetheart((:","no problem",3,"sweetheart","of",0.0199999999986176,FALSE
"133","Or MySpace?","or",2,"myspace","the",0.0100000000002183,FALSE
"134","@ school. teacher's like bitching at all of us -_-","school teachers like bitching at all",7,"of","the",0.0300000000006548,FALSE
"135","Maybe it's a condition of getting older: we forget about the bears' defenseless inner ears.","maybe its a condition of getting older we forget about",11,"the","to",0.0200000000004366,FALSE
"136","So I'm performing a musical this weekend. It's at Lakeside High School in Atlanta, GA. Wanna come? I'll buy your ticket! :)","so im performing a musical this weekend its at lakeside high school in",14,"atlanta","school",0.0299999999988358,FALSE
"137","What is the case for not bunting there? There must be one......","what is the case for",6,"not","first",0.0500000000010914,FALSE
"138","Waiting for #oomf to tell me how i changed.","waiting",2,"for","for",0.00999999999839929,TRUE
"139","Can we get some free ones for suffering thru the Matt Killcullen and Ken McDonald eras?","can we get some free ones for suffering thru the matt",12,"killcullen","same",0,FALSE
"140","phone dropped one too many times. On the plus side it's an indirect upgrade since my crap's too old!","phone dropped one too",5,"many","of",0.0400000000008731,FALSE
"141","Shut up. I hate you. I had toast and instant coffee.","shut up i hate you i had toast and",10,"instant","to",0.0400000000008731,FALSE
"142","the weather is crazy if your hot and we're cold. freaky!","the weather is crazy if your hot and were",10,"cold","the",0.0199999999986176,FALSE
"143","I remember kindergarten where you actually got to do things, not like today. Now that's graduate school. - Alan Kay","i remember kindergarten where you actually got to",9,"do","to",0.0300000000006548,FALSE
"144","How was your day. :)","how",2,"was","to",0.0100000000002183,FALSE
"145","Thanks! You guys rock!","thanks",2,"you","to",0.0200000000004366,FALSE
"146","Not as good as me!","not",2,"as","to",0.0199999999986176,FALSE
"147","Yes. Put it over the trailer hitch and make that the clit.","yes put it over the trailer hitch and",9,"make","he",0.0300000000006548,FALSE
"148","20 min on hold is still a tremendous fail though!","min on hold is still a tremendous",8,"fail","few",0.0300000000006548,FALSE
"149","Early Saturday morning, my favorite time to create new burgers, anyone got a showstopper? Ooh, also don't miss corndogs 4 Easter tomorrow","early saturday morning my favorite time to create new burgers anyone got a showstopper ooh also dont",18,"miss","be",0,FALSE
"150","I realize that I am beginning to make a lot of people uncomfortable when I bring ""race"" and ""oppression"" into ""our"" perfect world of yoga","i realize that i am beginning to make a lot of people uncomfortable when i bring race and oppression into",21,"our","of",0.0599999999994907,FALSE
"151","My friend Zach Fleury says if you're a hipster in Seattle you tweet, instagram, and wear skinny jeans...interesting formula","my friend zach",4,"fleury","cuddled",0.0300000000006548,FALSE
"152","Certainly, one can have morals without law or religion. Or can they? (Part 2/2)","certainly one can",4,"have","be",0,FALSE
"153","so glad I don't have to work tonight. I'd be a #zombielibrarian. Instead I'll be a","so glad i dont have to work tonight id be a instead",13,"ill","few",0.0299999999988358,FALSE
"154","when a girl tells you about her problems, it doesn't mean she's complaining, it means she trusts you.","when a girl tells you about her problems it doesnt mean shes",13,"complaining","that",0,FALSE
"155","That's awfully convenient of them. :) Thank you again!","thats awfully",3,"convenient",NA,NA,FALSE
"156","According to a “Time Magazine Survey”, 59% of Americans would rather sit in a Dentist’s chair than sit next to someone on a cell phone.","according to a “time magazine survey” of americans would rather sit in a dentist’s chair than sit next to",20,"someone","on",0.0499999999992724,FALSE
"157","I CANT STOP LISTENING TO 11:11 ITS AN AMAZING SONG!","i cant stop",4,"listening","to",0.0100000000002183,FALSE
"158","Silent stats class, this girl come in blasting Chris Brown. No one can think straight.","silent stats class this girl come in",8,"blasting","to",0.0200000000004366,FALSE
"159","so pumped for tonight at w/ ""rockin' with our city like a sold-out show.""","so pumped for tonight at",6,"w","the",0.0100000000002183,FALSE
"160","Yes Kobe Kobe Kobe","yes",2,"kobe","we",0.0200000000004366,FALSE
"161","This sucks","this",2,"sucks","is",0.00999999999839929,FALSE
"162","True That!","true",2,"that","to",0.0200000000004366,FALSE
"163","How so? I talked to u yesterday :)-- RT : so i missed talking to fans :( how sad","how so",3,"i","much",0.0200000000004366,FALSE
"164","Any ideas for DiY weapons that we can make?","any ideas for diy weapons that",7,"we","on",0.0100000000002183,FALSE
"165","who doesnt eat there cake with a fork...? I sure do!(:","who doesnt eat there cake with",7,"a","not",0.0300000000006548,FALSE
"166","Stop by the Greater Madison Chamber of Commerce Business Expo Hospitality booth next week Tuesday and tell me about your business.","stop",2,"by","to",0.0199999999986176,FALSE
"167","What little I have goes toward my commute. $4 gasoline.","what little i have goes toward my",8,"commute","the",0.0300000000006548,FALSE
"168","get some pork belly and you'll feel 1000% better.","get some",3,"pork","of",0.0100000000002183,FALSE
"169","lucky Hope your having a fantastic time !","lucky hope your having a",6,"fantastic","to",0.0399999999990541,FALSE
"170","I'm in your next session!","im in",3,"your","the",0.0100000000002183,FALSE
"171","a lot is two words babe.","a lot is two",5,"words","the",0.0200000000004366,FALSE
"172","That's sad.","thats",2,"sad","what",0.0300000000006548,FALSE
"173","it's not even worth it!!","its",2,"not","not",0.00999999999839929,TRUE
"174","Sounds like you're getting caught up in your lies.","sounds like youre getting caught up in",8,"your","to",0.0200000000004366,FALSE
"175","Girl, just keep working... lol","girl",2,"just","who",0.0200000000004366,FALSE
"176","Just got off the phone with a few partners I have made my decision","just got off the phone with",7,"a","same",0.0300000000006548,FALSE
"177","Tks for #FF - Have a great weekend everybody!","tks for have",4,"a","to",0.0100000000002183,FALSE
"178","Knowin' nothing in life but to be legit.","knowin nothing in life but to",7,"be","the",0.0299999999988358,FALSE
"179","Rick Perry's ad ""Strong"" has 181,606 more dislikes on Youtube than Rebecca Black's Friday video, making it the most hated video on Youtube.","rick perrys ad",4,"strong","campaign",0,FALSE
"180","Nah...did two years there in undergrad then transferred to NYU. Had some decent troublemaking there though.","nahdid two",3,"years","of",0.0200000000004366,FALSE
"181","I wish DVD manufacturers would always use the same cases, so we wouldn't have to have a dozen kinds of security measures.","i",2,"wish","was",0.0300000000006548,FALSE
"182","Many of the people whom I follow have started complaining about Twitter and pondering its purpose. Is this the beginning of the end?","many of the people whom i follow have started complaining about twitter and pondering its purpose is this the beginning of the",23,"end","of",0.0799999999999272,FALSE
"183","Paddycake, Paddycake, baker’s man, Bake me a cake as fast as you can! In addtion to cakes, we've got brownies and blondies for only $1 each!","paddycake paddycake baker’s man bake me a cake as fast as you can in addtion to cakes",18,"weve","the",0.00999999999839929,FALSE
"184","love your songss!!! and please follow back","love your songss",4,"and","own",0.0400000000008731,FALSE
"185","Beards before hoes. Or did I get that saying wrong?","beards before hoes or did",6,"i","the",0.0300000000006548,FALSE
"186","I'm in love with Kerry Washington.","im in love with kerry",6,"washington","the",0,FALSE
"187","What's that RT I learned a BIG lesson today","whats that rt i learned a",7,"big","to",0.0299999999988358,FALSE
"188","Apartment fire. All residents safe. This includes my mother. Red Cross called. Fire Dept investigating. Bldg standing but totaled.","apartment fire all residents safe",6,"this","of",0.0300000000006548,FALSE
"189","THAT MOVIE WAS SO GOOD!","that movie",3,"was","is",0.0100000000002183,FALSE
"190","well i said it would be chippy just had no idea it'd be in my neck of the woods and not just on the court...","well i said it would",6,"be","be",0.0200000000004366,TRUE
"191","#FF new followers thanks for the follow-much appreciated","new",2,"followers","york",0.0199999999986176,FALSE
"192","can't wait to meet you!","cant wait to meet",5,"you","the",0.0300000000006548,FALSE
"193","so ive got an 80% for my presentation not what i expected but hm not bad....","so ive got an for my presentation not what i expected but hm not",15,"bad","shirt",0.0300000000006548,FALSE
"194","Are you coming out to your alma mater for a game this year? Better see you out here for OU game next yr","are you coming out to",6,"your","of",0.00999999999839929,FALSE
"195","Getting a LOT of callers asking about the circumference of the hot tamale bowl :( sorry, guys and gals.","getting a lot of callers asking about the circumference of the hot tamale bowl sorry guys",17,"and","for",0.0400000000008731,FALSE
"196","LOVE Dresden Files, counting days to Cold Days hits the shelves. I've read many TP over the years, so... thank you for ideas!","love dresden files counting days",6,"to","and",0.0100000000002183,FALSE
"197","Tomorrow is the start of the wake and bake/self flagellation/ Dorito binge ritual that makes every 4/20 so special to me.","tomorrow is the start of the wake and bakeself flagellation dorito binge ritual that",15,"makes","that",0.0200000000004366,FALSE
"198","digging this whole ""mamalicious"" week on Dirty Dancing on right now, Stepmom & Time Traveler's Wife coming up!","digging this whole mamalicious week on",7,"dirty","and",0.0100000000002183,FALSE
"199","expect a birthday shoutout Monday :D","expect",2,"a","to",0,FALSE
"200","I love this song","i",2,"love","was",0.0199999999986176,FALSE
"201","spontaneous inspiration. also want to have a modern work of art on my earlobes. #dashesanddots or maybe","spontaneous inspiration also want to have a modern work of art on my earlobes or",16,"maybe","life",0.0100000000002183,FALSE
"202","Six Feet Under the Volcano","six feet",3,"under","were",0.0200000000004366,FALSE
"203","Cute profile pic(:","cute profile",3,"pic","this",0.0100000000002183,FALSE
"204","Hated him, but Steve Young. Not even close...","hated him but steve",5,"young","the",0.0399999999990541,FALSE
"205","That's nasty, hopefully Napoli doesn't leave the game....","thats nasty hopefully napoli",5,"doesnt","the",0.0300000000006548,FALSE
"206","Sitting behind the sun....watching the sunres¿ ~ con ~ kcs™","sitting behind the sunwatching",5,"the","same",0.0100000000002183,FALSE
"207","Have a great day!!","have a great",4,"day","weekend",0.0299999999988358,FALSE
"208","Looks awesome Nikki!! I so wish I could be there for you guys :( Love ya none the less<3","looks awesome nikki i so wish i could be there for",12,"you","is",0.0200000000004366,FALSE
"209","#Santorum: People don't want to send someone to manage Washington, they want someone who can give the power back to the people","people dont want to send someone to manage washington they want someone who can give the power back",19,"to","of",0.0300000000006548,FALSE
"210","Transitions are one of the most challenging situations that our families face. Wishing you smooth transitions as the kids go back to school!","transitions are one of the most challenging situations that our families face wishing you smooth transitions as the kids go",21,"back","are",0.0200000000004366,FALSE
"211","MANCHESTER: Public hearing covers proposed anti-bullying, Internet policies for Manchester Community Schools","manchester public hearing",4,"covers","the",0.0399999999990541,FALSE
"212","3 hours later and #gephi is still trying to execute Force Atlas. #NeedSmallerData or","hours later and is still trying",7,"to","have",0.0300000000006548,FALSE
"213","no thank you :)","no",2,"thank","one",0,FALSE
"214","Wassup to all the homies and OGs and the whole twitter","wassup to all the homies and ogs and the",10,"whole","the",0.0399999999990541,FALSE
"215","#ThatOnePersonInSchool #ThatIReallyCantStand because she has everything I don't.","because she has everything i",6,"dont","that",0.0100000000002183,FALSE
"216","Distance learning provides every facility given in physical classrooms. Log-ins, necessary links etc. are all given to the students...","distance learning provides every facility",6,"given","day",0.0200000000004366,FALSE
"217","haha well there's more again(;","haha well theres more",5,"again","no",0.0100000000002183,FALSE
"218","Fully aware. So was Tim Couch's.","fully aware so was tim",6,"couchs","the",0.0200000000004366,FALSE
"219","Oh my - YES! We have our Altered Landscape exhibition / collection up now...see here for future shows:...","oh my yes we have our altered landscape exhibition collection up",12,"nowsee","of",0.0299999999988358,FALSE
