"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"24","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","other stars making",4,"the","the",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","I napped after studio class tonight. Andrew and I were up really late last night, despite going to bed at a somewhat decent time. We ended up talking to each other for about an hour and a half to two hours just about our lives and what was going on and stuff like that. It was a very nice talk, but it made me tired for today, which explains why I’m still awake now. But don’t worry…I’ll be getting to bed shortly, right after I shower.","i napped after studio class tonight andrew and i were up really",13,"late","late",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Outsell spoke to us about the changes going on in education specifically in the development of custom textbooks.","outsell spoke to",4,"us","us",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Actually, this April 15, 1912, headline was based on preliminary news and was in error. The final tally shows that 1,513 lives were lost in the sinking of the Titanic, and there were only 711 survivors.","actually this april headline was based on preliminary news and was in error the final",16,"tally","and",0.0299999999988358,TRUE,"say","tally",NA,NA,NA,NA,NA,NA,NA
"28","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","i found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night cant read this one in bed id get up to get",34,"another","so",0.0200000000040745,TRUE,"another","it",NA,NA,NA,NA,NA,NA,NA
"29","Oh yeah! Last year I was really Spicin' Things Up in the Kitchen! It was Hot Hot! Nope, the hubs and I weren't getting all romantical, we were installing tin into our cabinet for our spices! Get your heads out of the gutter!!","oh yeah last year i was really spicin things up in the kitchen it was hot hot nope the hubs and i werent getting all romantical we were installing tin into our cabinet for our spices get",38,"your","your",0.0500000000029104,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","So …","so",2,"�","come",0.0299999999988358,FALSE,"will","get","going","can","last","well","just","people","around"
"31","“Hell is larger today than it was yesterday, because many of us have failed to pray.”–David Smithers","“ is larger today than it was yesterday because many of us have failed to",16,"pray”–david","sure",0.00999999999476131,FALSE,"seen","ways","able","nature","summit","revealed","been","like","week"
"32","Never Did No Wanderin' by The Folksmen","never did no wanderin by the",7,"folksmen","day",0.0300000000133878,FALSE,"every","hands","odd","of","the","that","from","groom","way"
"33","Didn’t quite make church Sunday morning. Sleeping right up to check out causes a bit of a mad rush to get up and get out.","didn’t quite make church",5,"sunday","sunday",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","when pc came out with the love you a latte",11,"lite","lite",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","hold, to not let go","hold to not let",5,"go","go",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","And that is where we changed from being social beings amongst each other to digital social addicts.","and that is where",5,"we","we",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","02 - It's All Over Now 04:01","its",2,"all","like",0.0299999999988358,FALSE,"will","just","work","seems","good","separate","page","star","required"
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","the product is a milky white liquid that applies like emulsion not too creamy and thick but not like water or jelly either after spreading it out on your face it dries within a few minutes after which the fun begins according to the sa after it dries you start rubbing it like you’re trying to rub dirt off your face until you rub off most of it if required wash off the remaining with lukewarm water so i started rubbing and it actually takes quite a bit of effort",91,"to","rub",0.0200000000040745,TRUE,"to",NA,NA,NA,NA,NA,NA,NA,NA
"39","I have mixed emotions about the start to this book. As I’ve already mentioned I very much enjoyed the characters and the voice of the protagonist. But as much as I was enjoying it, it took me a little while to get into the story. We’re presented with a huge case of insta-love right from the start. Lucas, the mysterious and hot new neighbor, comes on strong. I’m pretty sure they start making out on their second or third meeting! I’m warning you now. There’s not a lot of rationalization for the insta-love…you won’t really understand the reasons until the end of the book. Which is why, in retrospect, I kinda like that I had to wait for all of the info to be revealed.","i have mixed emotions about the start to this book",11,"as","as",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","""If I could keep you little,","if i could keep you",6,"little","little",0.0300000000133878,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Jethro responded, “What you are doing is not good. You and these people who come to you will only wear yourselves out.” Moses was the bottleneck of a system that was broken and creating dysfunction, wasting time, and wearing everyone out.","jethro responded “what you are doing is not good you and these people who come to you will only wear yourselves out” moses was the bottleneck of a system that was broken and creating dysfunction",36,"wasting","wasting",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","I attended more funerals before age 20 than most people, other than a pastor will attend in their lifetime. Why I was not one of them, only God can tell. He has the final say and fortunately, He now holds the pen.","i attended more funerals before age than most people other than a pastor will attend in their lifetime why i was not one of them only god can tell",30,"he","has",0.0199999999895226,TRUE,"he",NA,NA,NA,NA,NA,NA,NA,NA
"43","I first came across these beautiful patterns by artist Paula Vaughan in the mid-1990s. Traditional style quilts thrown over vintage chairs, vases overflowing with armfuls of wildflowers, and the loveliest dresses from a bygone age.","i first came across these beautiful patterns by artist paula vaughan in the mids traditional style quilts thrown over vintage chairs",22,"vases","vases",0.0599999999976717,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","to do this in remembrance of Him. Luke 22:19","to do",3,"this","this",0.0200000000040745,TRUE,"just","im","easy","kept","tomorrow","actual","step","damn","be"
"45","Spanish Omelettes are delicious enough by themselves but they are lovely with salad to accompany them to add an attractive finishing touch !!!","spanish omelettes are delicious enough by themselves but they are lovely with salad to accompany them",17,"to","to",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Caroline Saunders (Lab) 1,142","caroline saunders",3,"lab","lab",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Len Woodbyrne & Joe O’Reilly development at95-97 Francis Street, Dublin8 (central Dublin) has a range of apartments on offer","len woodbyrne joe o’reilly development at",7,"francis","age",0,FALSE,"end","day","time","corner","times","home","just","writing","point"
"48","I decided to get creative with the leftovers of the rainbow cake... instead of doing the mini cupcake rainbow I had planned. It worked out SO well and I don't think it turned out too bad.","i decided to get creative with the leftovers of the rainbow cake instead of doing the mini cupcake rainbow",20,"i","i",0.0399999999935972,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Sunday the festivities continued. I went BACK to Shadowbox to see Back to the Garden again. (Told ya I love that place). Then after that was over, I had to work at the store. It was Survivor finale night, and we do a special Survivor crop each season, so I had to go host that.","sunday the festivities continued i went back to shadowbox to see back to the garden again told ya i love that place then after",25,"that","was",0.00999999999476131,TRUE,"that",NA,NA,NA,NA,NA,NA,NA,NA
"50","1 Beauty Contest","beauty",2,"contest","broken",0,TRUE,"contest",NA,NA,NA,NA,NA,NA,NA,NA
"51","Fox: DUDE ARE YOU FRIGGING KIDDING ME??? IF YOU DON’T DO THIS, THEN I WILL F*****G CASTRATE YOU! THEN YOU WONT HAVE TO WORRY ABOUT ANY LOVE LIFE.","fox dude are you frigging kidding me if you don’t do this then i will fg",17,"castrate","castrate",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Just go away.","just go",3,"away","away",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","To see all the PACA (Provence Alpes Côte d'Azur) Michelin rankings, go here:","to see all the paca provence alpes c�te dazur",10,"michelin","michelin",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alyssa is now 10 and has been busy with Volleyball, Girlscouts, and Sunday School. It seems like we are always running with her somewhere. She was struggling in reading in school a few months back, and was put into special reading help class; which was in turn taking time away from her math time and causing her to struggle in math; but she has now caught up with her reading, and has turned her math skills around as well. Conferences are just around the corner, and we have high hopes for her. We repainted her room for her last Birthday and gave her all new bedding and furniture. She has more things in her room, than time to play with the stuff...but what kid doesn't I guess.We don't get to see her as much as we would like to, but we cherish the time we do get with her. We have a lot of fun things planned to do with her on the weekends we have with her, let's hope we don't wear her out!","alyssa is now and has been busy with volleyball girlscouts and sunday school it seems like we are always running with her somewhere she was struggling in reading in school a few months back and was put into special reading help class which was in turn taking time away from her math time and causing her to struggle in math but she has",64,"now","now",0.0300000000133878,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","The black sports coat, white button-up shirt, khaki slacks, and leather loafers he wore were all tailored and very expensive giving the impression of him being some sort of major player in the world trying to lay low and relax. It was a thought that Peter was beginning to believe more and more about himself as his sales numbers rocketed into orbit.","the black sports coat white buttonup shirt khaki slacks and leather loafers he wore were all tailored and very expensive giving",22,"the","the",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","The only not-so-fabulous part was that as I was getting the monkeys in the tub, I started to sneeze. And feel drippy and tickly. Sure signs of an end-of-summer cold. Bluck. I feel icky this morning, but have too much to do to be sick. So I am refusing to succumb to my desire to plop on the couch and sniff all day. I am hoping sheer will alone will heal me :)","the only notsofabulous part was that as i was getting the monkeys in the tub i started to sneeze and feel drippy and tickly sure signs of an endofsummer cold bluck i feel icky this morning but have too much to do to be sick so i am refusing to succumb to my desire",55,"to","plop",0.0500000000029104,TRUE,"to",NA,NA,NA,NA,NA,NA,NA,NA
"57","Dear Heavenly Father, I thank You for teaching me to prayer earnest, heartfelt and continued prayers. As I spend time to pray like this today, Your divine power is manifested, changes are effected, and circumstances in my life are changed, in Jesus Christ Name I pray! Amen!","dear heavenly father i thank you for teaching me to prayer earnest heartfelt and continued prayers as i spend time to pray like this",25,"today","today",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Last week, he was so worked up about some things that were not actually real. He laid down in his bed and kept going over and over them with me. I told him he just needed to relax, that he didn't need to worry so much. He is being so well cared for. He gave me the silent soul searching steel blue stare, softly grabbed my hand, and said, ""I'll always remember you.""","last week he was so worked up about some things that were not actually real he laid down in his bed and kept going over and over them with me i told him he just needed to relax that he didnt need to worry so much he is being so well cared for he gave me the silent soul searching steel blue stare",64,"softly","softly",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","From Peru, we flew to Ecuador and then on to the wedding. After the celebrations, we were off to Hawaii, for a much needed relaxing beach holiday, after which we did a wonderful cruise of The Great Barrier Reef, before flying home via Singapore. What a great trip that was, and one day I’ll put some more photos up for you to see.","from peru we flew to ecuador and then on to the wedding after the celebrations we were off to hawaii for a much needed relaxing beach holiday after which we did a wonderful cruise of the great barrier reef before flying home via singapore what a great trip",49,"that","that",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Here’s a great way to use both eggs and leftover noodles for a satisfying dish. Paula Super, of Merrimack, writes:","here’s a great way to use both eggs and leftover noodles for a satisfying dish paula super of merrimack",20,"writes","writes",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","You think your school's scary?","you think your schools",5,"scary","scary",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Skully was struggling to breath at this point, shaking and pawing his head, gagging and his eyes reflected his fear. Poor little guy! He was also snapping his teeth, tryin' to dislodge the jerky.","skully was struggling to breath at this point shaking and pawing his head gagging and his eyes reflected his fear poor little guy he was also snapping his",29,"teeth","teeth",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","It's official, I made the 2012 Spellbinders team. It's been an amazing year and I am so glad that it doesn't have to end. I love this company, their products, their values, and the people who make Spellbinders what it is.","its official i made the spellbinders team its been an amazing",12,"year","year",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","And the paint. I have read every blog and article on the web that discusses painting cabinets and I tried something completely different from what I had read. Have you seen those commercials for Behr ""He is painting while he primes. She is priming while she paints?"" I went for the premium primer included stuff from Home Depot. The black color is Behr Beluga. I painted 3 coats, sanding lightly between each one. I didn't remove the doors but I easily could (and probably should) have. I decided to distress them. This my husband wasn't too thrilled about but I know how my kids and their stool had already distressed them over the years so I figured I would save myself the headache and heartache and have them start distressed. I hit it several places with the sander and then used a darker tinted glaze (some watered down acrylic craft paint) over the sanded spots to darken up the distressed areas.","and the paint i have read every blog and article on the web that discusses painting cabinets and i tried something completely different from what i had read",29,"have","you",0.00999999999476131,TRUE,"have",NA,NA,NA,NA,NA,NA,NA,NA
"65","I’m pretty late to the LCD Soundsystem party (a great oversight on my part), but thankfully rectified with Mr James Murphy’s third (and final?) outing of liquid crystal disco. It sounds effortlessly cool, but there’s so much going on, it’s just plain fun to listen to, dance to and do just about anything to – be it the washing up, filling out an application form or being attacked by PANDUHS!","i’m pretty late to the lcd soundsystem party a great oversight on my part",15,"but","but",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Furioso dreadnought","furioso",2,"dreadnought","dreadnought",0.0100000000093132,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","6. Meyerman - Who Do You Think You Are?","meyerman",2,"who","do",0.0199999999895226,FALSE,"think",NA,NA,NA,NA,NA,NA,NA,NA
"68","I'm in the process of building out an entire enchanted forest in one inch scale as part of my set for the Myrtle short film. Trees complete with faces and jelly jars hanging from the branches filled with fireflies / will o' the wisps. It's starting to look pretty good and I'm pleased with how the glass jars light up. They're all hand-blown glass and less than 1 cm in height. So like me, this project is pretty teeny.","im in the process of building out an entire enchanted forest in one inch scale as part of my set for the myrtle short film trees complete with faces and jelly jars hanging from the branches filled with fireflies will o",42,"the","the",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Adapted from Laurie and Sharon's book Mom...And Loving It!","adapted from",3,"laurie","laurie",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Simon Field / five from Gordon Belgrave / 57-61","simon",2,"field","along",0.0400000000081491,TRUE,"five","field","schuster",NA,NA,NA,NA,NA,NA
"71","Our system is broken. Government serves the interest of big business and big business only serves the interest of a very few, wealthy elites. It’s time to make our economy and our politics work for working people.","our system is broken government serves the interest of big business and big business only serves the interest of a very few",23,"wealthy","wealthy",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","This time FVK provides brilliant material soundwise and musicwise. This is still weird narcotic hard core punk delivered with conviction and energy, probably their best recording so far.","this",2,"time","week",0.0199999999895226,FALSE,"post","done","husband","can","just","im","man","adults","take"
"73","“I don’t think that is the best way for having these changes. I don’t know on what basis they are going to charge us. The best option is dialogue,” said Asfaw Dingamo, Ethiopia’s minister of water resources.","“i don’t think that is the best way for having these changes i",14,"don’t","much",0.0299999999988358,FALSE,"wait","something","now","never","worried","do","like","time","tell"
"74","The juices today were the best yet. Breakfast was like a chilled, spiced carrot soup and lunch was like a thin salsa. Plus I had the Chocolate Nut Milk again for dinner because it was so enjoyable last night.","the juices today were the",6,"best","best",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","My legs tight until","my",2,"legs","done",0.00999999999476131,FALSE,"so","new","books","one","husband","stroller","year","south","trek"
"76","When I'm getting something off the amazon website, I select 'Download to PC' and then manually drag it onto my device to bypass their updates.","when im getting something off",6,"the","the",0.0300000000133878,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","they have cancer. It is important for these women to be","they have cancer it is important for",8,"these","these",0.0199999999895226,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","The wisdom of the world is still foolish today. One of the great discussion topics of our age is how we get to heaven. The pervasive world view is that everybody will get there some day depending on what you’re looking for. The world’s view claims it doesn’t matter which path you follow to get there. Many in the world’s intellectual and scientific communities believe heaven and hell don’t even exist. We who are being saved, however, know that Jesus would not have gone to the cross if He did not know there was something beyond this world. Those of us who are being saved also know human wisdom costs a person everything, but Godly wisdom affords us everything.","the wisdom of the world is still foolish today one of the great discussion topics of our age is how we get to heaven the pervasive world view is that everybody will get there some day depending on what you’re looking for the world’s view claims it doesn’t matter which path you follow to get there many in the world’s intellectual and scientific communities believe heaven and don’t even exist we who are being saved however know that jesus would not have gone to the cross if he did not know there was something beyond this world those of us who are being saved also know human wisdom costs a person",112,"everything","prays",0.0299999999988358,TRUE,"everything","that",NA,NA,NA,NA,NA,NA,NA
"79","i really liked this outfit because it was comfortable and good for running errands but still had that touch of style and fashion with it.","i really liked this outfit because it was comfortable",10,"and","and",0.0200000000040745,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2010.08.27 Iraq Shurqat 3 3 A suspected al-Qaeda attack leaves three dead.","iraq shurqat a suspected alqaeda attack leaves",8,"three","three",0.00999999999476131,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","For an additional chance(s) to win:","for",2,"an","second",0.0200000000040745,FALSE,"first","entire","years","much","way","new","books","water","tv"
"82","entered her room with bouquet","entered her room with",5,"bouquet","bouquet",0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","This blog, prior to any changes","this blog",3,"prior","iheart",0.0800000000017462,TRUE,"will","to","post","prior","and","because",NA,NA,NA
"84","So although I didn’t have much technology at home I was getting pushed into it at school..","so although i",4,"didn’t","much",0.00999999999476131,FALSE,"wait","something","now","never","worried","do","like","time","tell"
