"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"16","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","how many times have you heard someone say that soandso is too nice to tell the person they’re seeing that they want to call it quits too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool there certainly are people who are softspoken and decidedly nonconfrontational but that doesn’t mean they’re nicer relative to everyone else it’s just their personality you can be assertive honest",84,"and","and","3","honest","31B","geek","42F","and","21","assertive","42F","a","42F","even","2","confident","2","myself","2","your","2",0.200000000011642,TRUE
"17","could be added to the gallery wall.","could be added to the gallery",7,"wall","wall","4","edges","51D","wall","3","gallery","41C","wall","2","wall","31A","edges","42C","the","42F","gallery","32B","gallery","32C",0.389999999999418,TRUE
"18","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","other stars making the magazine’s sexiest",7,"women","alive","2","women","2","ground","32C","shopping","32C","air","32C","usual","32C","pintsize","32C",NA,NA,NA,NA,NA,NA,0.139999999999418,TRUE
"19","Ah, Parga. How many times have we sat in Paxos, looking across at the mainland at night seeing twinkling lights in the far distance? How many times have we wondered just what was it like over there? Well now we know. Unfortunately the place with the twinkling lights was not Parga but some other little community. We got it wrong. Parga was on the itinerary anyway. We concluded it was not worth the detour; two resort-y bays separated by an ancient Turkish fort on a steep hill and a cluster of souvenir shops, tavernas and restaurants. The marina was unwelcoming - we moored alongside a rusting, capsized ferry - and the trudge to buy some provisions took us along a neglected rubbish strewn track. Thomas would not leave the boat for fear we were robbed. But hey! Pull up the gangplank, crack open a beer and experiment with cooking in the galley.","ah parga how many times have we sat in paxos looking across at the mainland at night seeing twinkling lights in the far distance how many times have we wondered just what was it like over there well now we know unfortunately the place with the twinkling lights was not",51,"parga","parga","4","parga","31A","parga","31B","not","31B","was","32C","in","32C","though","3","spend","3","funny","3","sweet","3",0.269999999989523,TRUE
"20","Outsell spoke to us about the changes going on in education specifically in the development of custom textbooks.","outsell spoke to us about the changes going on in education specifically in the",15,"development","the","31B","right","42A","cool","42A","upstairs","3","end","3","house","3","year","3","morning","3","first","3","face","3",0.220000000001164,FALSE
"21","Actually, this April 15, 1912, headline was based on preliminary news and was in error. The final tally shows that 1,513 lives were lost in the sinking of the Titanic, and there were only 711 survivors.","actually this april headline was",6,"based","based","3","was","31B","month","31A","based","21","headline","32C","a","31A","quite","32A","major","32A","amazing","32A","the","32A",0.220000000001164,TRUE
"22","the autumn rains in righteousness.","the",2,"autumn","catholic","2","york","2","sheet","2","marathon","2","woman","2","store","2","tooth","2","upstairs","2","states","2","during","2",0.0299999999988358,FALSE
"23","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","i found myself chuckling out loud enough",8,"that","that","4","the","3","that","31A","that","31B","loud","32C","that","3","that","21","enough","31B","enough","21","water","2",0.279999999998836,TRUE
"24","I recently tried a super fabulous restaurant that you MUST MUST try. I usually don't give restaurant recommendations, so trust me on this one. I decided to go down to South Norwalk and check out The SoNo Baking Company and Cafe that Martha Stewart is always yammering on about on Martha. This tiny hidden jewel was started by John Barricelli, who works for Martha and also hosts Everyday Baking on PBS. It is Fa. Bu. Lous. Seriously, that good. We had lunch and I tried a Cobb Salad that elevated the usual blah salad to a culinary masterpiece. I sat at the counter in front of a huge glass window and watched people roll out chocolate croissants with a vintage roller while I ate. (If you are a big geek, that is a huge thrill.) At one point in the meal, I actually saw John Barricelli through the glass instructing one of the bakers on how to place the chocolate chunks perfectly in the croissant. I considered banging on the glass to blow kisses and get my photo taken with him but I decided I had done that enough recently with both her and her, so I decided to play it cool and just eat my lunch quietly. I also brought home a huge selection of pastries and enjoyed every single one (in the name of research, not gluttony, mind you). John is coming out with a cookbook in early March. You can be a geek like me and pre-order your copy on Amazon today. The cafe is located right near the South Norwalk Aquarium and makes a good drive on a cold winter's day.","i recently tried a super fabulous restaurant that you must must try i usually dont give restaurant recommendations so trust me on this one i decided to go down to south norwalk and check out the sono baking company and cafe that martha stewart is always yammering",48,"on","on","3","about","2","always","32C","martha","2","doable","31B","very","31B","better","31B","yammering","31B","a","31B","so","31B",0.220000000001164,TRUE
"25","Sphere: V = 4/3","sphere",2,"v","science","2","v","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"26","I’m sad you can’t be with us but we know you’ll be watching. I don’t know if you ever got to eat at Longhorn or not but I hear they cook a really mean steak.","i’m sad you can’t be with us but we know you’ll be watching i don’t know if",18,"you","ever","3","you","3","the","32A","that","32A","it","32A","you","32A","could","2","have","2","god","32B","seen","32B",0.200000000011642,TRUE
"27","Oh yeah! Last year I was really Spicin' Things Up in the Kitchen! It was Hot Hot! Nope, the hubs and I weren't getting all romantical, we were installing tin into our cabinet for our spices! Get your heads out of the gutter!!","oh yeah last year i was really spicin things up in the kitchen it was hot hot nope the hubs and i werent getting all romantical we were installing tin",31,"into","into","3","tin","31B","our","2","cabinet","2","into","21","tin","21","taken","32C","stuffed","32C","to","32C","at","32C",0.239999999990687,TRUE
"28","So …","so",2,"�","am","2","can","2","all","2","now","2","time","2","made","2","will","2","going","2","need","2","think","2",0.0100000000093132,FALSE
"29","We talked for a few minutes, and I thanked the secretaries for taking care of my son, and I suggested we go home. My son aggreed and said thank you to the secretaries and placed a death grip on my hand and didn't let go all the way to the parking lot.","we talked for a few minutes and i thanked the secretaries for taking care of my son and i suggested we go home my son aggreed and said thank you to the secretaries and placed a death grip on my hand and didnt let go",46,"all","all","5","the","4","all","41A","all","41B","all","41C","the","3","all","31A","let","42F","all","31B","the","32A",0.409999999988941,TRUE
"30","In shrouds of words,","in shrouds of",4,"words","words","4","words","3","words","31B","words","21","of","31B","last","31A","white","31A","words","31A","food","31A","swelling","31A",0.0900000000110595,TRUE
"31","BRAAMFONTEIN: Johannesburg Theatre manager Rulov Senekal (67) murdered in his apartment by two black attackers.","braamfontein johannesburg theatre manager rulov senekal murdered in his apartment by two",13,"black","black","3","two","41C","two","31B","the","42E","by","42F","two","32C","by","32C","two","32B","mistake","32B","the","32B",0.269999999989523,TRUE
"32","Valentines Day falls on February 14th each year. It is a holiday in which lovers express said love for each other, traditionally with flowers, candle lit dinners, heart shaped things, chocolate and greeting cards. The first Valentines cards were hand written but over time have made way for more mass produced greetings. These cards, for the most part, depict images of hearts, cupids and love struck victims.","valentines day falls on february th each year it is a",12,"holiday","holiday","5","a","51D","holiday","41A","holiday","41B","a","52D","a","52G","a","52I","holiday","41C","cup","42A","a","42C",0.580000000001746,TRUE
"33","Nicholas Ridley agreed with the Act of Supremacy, supporting Henry’s action. He became the king’s chaplain and later, in the time of Edward VI, he was Bishop of Rochester. He helped to write the Book of Common Prayer. He became Bishop of London and worked to improve the conditions of the poor.","nicholas ridley agreed with the act of supremacy supporting henry’s action he became the king’s chaplain and later in the time of edward vi he was bishop",28,"of","of","5","of","4","of","3","of","41A","of","41B","was","52J","of","41C","of","31A","was","42F","london","2",0.400000000008731,TRUE
"34","A 1 inch chunk of fresh ginger, peeled and finely grated","a inch chunk of fresh ginger peeled and",9,"finely","finely","3","and","31B","finely","21","simple","32A","peeled","32C","half","2","am","2","suk","2","bit","2","think","2",0.219999999986612,TRUE
"35","In 1926, Anatol Josepho opened the first photo booth in New York City and it took Gotham by storm. Up to 7,500 people a day payed 25 cents ($3 in today's funds) to receive eight miniature images of themselves.","in anatol josepho opened the first photo booth",9,"in","in","4","new","3","new","2","in","31A","in","31B","in","3","booth","31B","with","21","in","21","both","21",0.270000000004075,TRUE
"36","You die?","you",2,"die","going","2","borrow","2","be","2","been","2","i","2","like","2","see","2","now","2","want","2","know","2",0.0299999999988358,FALSE
"37","Didn’t quite make church Sunday morning. Sleeping right up to check out causes a bit of a mad rush to get up and get out.","didn’t quite make",4,"church","church","3","bit","21","that","2","lot","21","home","2","time","21","nice","21","yet","21","church","21","despite","21",0.0899999999965075,TRUE
"38","How can you start your day any other way than happy with that face wanting to cuddle with you first thing?","how can you start your day any other way than happy with that face wanting to cuddle",18,"with","you","3","to","42F","you","2","to","32C","with","3","first","2","the","31B","on","31B","out","31B","what","31B",0.25,TRUE
"39","hold, to not let go","hold",2,"to","tight","2","the","2","be","2","not","2","it","2","card","2","let","2","left","2","arches","2","sacred","2",0.0200000000040745,FALSE
"40","Roughly a week later, my sister and her ever-expanding family drove in from Alaska and picked me up, and then we all headed on to Alvin, Texas, once a happy place where a son would be reunited with his father, but now a haunted little town where ghosts of memories reared their teeth at every turn. We pulled into the driveway at dusk, greeted by my stepmother and stepbrother, both of who appeared to be much stronger than me.","roughly a week later my sister and her everexpanding family drove in from alaska and picked me up and then we all headed on to alvin texas once a happy place where a son would be reunited with his father but now a haunted little town where ghosts of memories reared their teeth at every turn we pulled into the driveway at dusk greeted by my stepmother and stepbrother both of who appeared to be",76,"much","much","4","born","41A","be","41C","much","31A","to","42F","much","31B","be","32C","be","31B","to","32C","know","32B",0.309999999997672,TRUE
"41","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)","tight finish between neptune collonges grey with yellow silks and sunnyhillboy bay with green and gold hooped silks",19,"in","in","4","the","3","in","31A","in","31B","hooped","32C","the","2","in","3","in","21","national","2","sunnyhillboy","2",0.25,TRUE
"42","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","origin middle english from old french joie based on latin",11,"gaudium","gaudium","3","latin","41C","on","42F","from","2","latin","31B","preliminary","31B","latin","32B","gaudium","2","latin","32C","on","32C",0.25,TRUE
"43","And that is where we changed from being social beings amongst each other to digital social addicts.","and that is where we changed from being social beings",11,"amongst","beings","31B","each","2","social","32C","amongst","2","media","21","can","21","that","21","so","21","issue","21","addicts","21",0.190000000002328,TRUE
"44","02 - It's All Over Now 04:01","its",2,"all","worse","2","cool","2","like","2","days","2","will","2","good","2","store","2","just","2","work","2","seems","2",0.0100000000093132,FALSE
"45","Humans have strong muscles in the legs and would need swim fins (like a frog) to bring all their power into the water and stand with the sole of the feet on the water. Rather the leg grabs almost as much water as the foot and a small amount of water is accelerated to high kinetic energy, but not much impulse is transferred. The toes are bent, the feet point 45° outwards, the sole points backwards, to mimic a hydrofoil. While closing in a V shape to the rear a small “lifting” force can be felt. Unlike in the other kicks, the joints are moved into extrema. Before the kick the knee is maximally bent and the upper leg is rotating along its axis to its extreme outer position and the lower leg is twisted to extreme, at the end of the kick the ankles are maximally turned to the inside so that the soles clap together to achieve a nozzle effect like in a jelly fish. Therefore training involves getting flexible in addition to fitness and precision.","humans have strong muscles in the legs and would need swim fins like a frog to bring all their power into the water and stand with the sole of the feet on the water rather the leg grabs almost as much water as the foot and a small amount of water is accelerated to high kinetic energy but not much impulse is transferred the toes are bent the feet point � outwards the sole points backwards to mimic a hydrofoil while closing in a v shape to the rear a small “lifting” force can be felt unlike in the other kicks the joints are moved into extrema before the kick the knee is maximally bent and the upper leg is rotating along its axis to its extreme outer position and the",132,"lower","the","31B","and","32C","world","3","way","3","media","3","cause","3","little","3","well","3","person","3","first","3",0.239999999990687,FALSE
"46","I have mixed emotions about the start to this book. As I’ve already mentioned I very much enjoyed the characters and the voice of the protagonist. But as much as I was enjoying it, it took me a little while to get into the story. We’re presented with a huge case of insta-love right from the start. Lucas, the mysterious and hot new neighbor, comes on strong. I’m pretty sure they start making out on their second or third meeting! I’m warning you now. There’s not a lot of rationalization for the insta-love…you won’t really understand the reasons until the end of the book. Which is why, in retrospect, I kinda like that I had to wait for all of the info to be revealed.","i have mixed emotions about the start to this book as i’ve already mentioned i very much enjoyed the characters and the voice of the protagonist but as much as i was enjoying it it took me a little while to get into the story we’re presented with a huge case of instalove right from the start lucas the mysterious and hot new neighbor comes on strong i’m pretty sure they start making out on their second or third meeting i’m warning you now there’s not a lot of rationalization for the instalove�you won’t really understand the reasons until the end of the book which is why in retrospect i kinda like",113,"that","i","4","i","3","that","31B","kinda","32C","that","4","freud","3","that","3","like","31B","like","21","im","31A",0.25,TRUE
"47","After catching a cab to dinner at Boon Tong Kee (post to come shortly), a restaurant recommended by my uncle - also a foodie! :) - we dragged ourselves back onto the HiPPO boat for one last ride, to capture the nighttime experience and views.","after catching a cab to dinner at boon tong kee post to come",14,"shortly","shortly","4","come","41C","shortly","31A","to","42F","shortly","31B","come","32B","come","32C","come","31B","with","3","to","32C",0.330000000001746,TRUE
"48","Sometimes, I just want to read a book. It’s kinda like Freud said, “sometimes a cigar is just a cigar.” Well in my case, sometimes I just need to read an actual hard or soft cover book, feel the paper against my fingers, smell the newness or musty oldness. If it’s a new book, there is something quite satisfying about being the first one to crack it open. I love to turn the pages, hear the crinkle and switch as my fingers brush against the paper.","sometimes i just want to read a book it’s kinda like freud said “sometimes a cigar is just a cigar” well in my case sometimes i just need to read an actual hard or soft cover book feel the paper against my fingers smell",45,"the","the","4","the","3","the","31A","the","31B","fingers","32C","newness","2","in","2","sealed","2","the","21","brush","31B",0.229999999995925,TRUE
"49","C.A.T. is looking for more pictures of cute animals with their tongues sticking out. Email cuteanimaltongues at gmail dot com with yours!","cat is looking for more pictures of cute animals with",11,"their","their","3","with","41C","with","31B","with","32B","with","32C","money","32A","goat","32A","emp","32A","animals","32C","figure","21",0.270000000004075,TRUE
"50","It was not as though she had never sliced bread before, but I remembered only too well what happened the last time. Certain women should not be allowed near sharpened blades, especially those with a well-developed feeling of disgruntlement towards their nearest and – formerly – dearest.","it was not as though she had never sliced bread before but i remembered only too well what happened the last time certain women should not be",28,"allowed","so","4","be","41C","be","32B","be","32C","had","31B","so","31B","not","32C","be","31B","near","3","pissed","3",0.290000000008149,FALSE
"51","I first came across these beautiful patterns by artist Paula Vaughan in the mid-1990s. Traditional style quilts thrown over vintage chairs, vases overflowing with armfuls of wildflowers, and the loveliest dresses from a bygone age.","i first came across these beautiful patterns by artist paula vaughan in the mids traditional style quilts thrown over vintage chairs vases overflowing with armfuls of",27,"wildflowers","of","31B","wildflowers","21","the","31A","this","31A","these","31A","your","31A","roman","2","year","2","world","2","night","2",0.219999999986612,TRUE
"52","individually and as a band in the studio, along with interviews","individually and as a band in the",8,"studio","studio","5","studio","4","the","51D","studio","41B","the","52D","the","52G","the","52I","studio","41C","the","42C","the","42E",0.5,TRUE
"53","to do this in remembrance of Him. Luke 22:19","to do this",4,"in","just","4","as","4","im","4","in","4","and","4","just","3","weekend","3","as","3","i","3","my","3",0.139999999999418,TRUE
"54","Spanish Omelettes are delicious enough by themselves but they are lovely with salad to accompany them to add an attractive finishing touch !!!","spanish omelettes are delicious enough by themselves but",9,"they","the","31A","but","31B","they","3","what","3","themselves","32C","fidget","21","it","21","those","21","they","21","our","21",0.240000000005239,TRUE
"55","Sound Designer, Electronic, Experimental, Audiovisual, and Multimedia Artist, with emphasis on Film/T.V and visual mediums. Craig Brown aka Sounda is a former Performance Artist with work featured within Compilation CDs, and tracks licensed for film and TV, just to name a few. My experience with the paranormal and connections to the cosmos, inspired a lot of my work. My goals include pushing the limit of Art through Sound and Music and establishing a strong foundation with my contribution in Film and TV. Favorite Lyric: You are just another brick in the wall by Pink Floyd Activities and Thoughts: Flying, stargazing, battling supernatural forces. There is no such thing as silence, silence has a sound. I am trying to figure out what lies within the 11th Dimension. I wonder if the beautiful ring planet is ready to take me back. Craft:","sound designer electronic experimental audiovisual and multimedia artist with emphasis on filmtv and visual mediums craig brown aka sounda is a former performance artist with work featured within compilation cds and tracks licensed for film and tv just to name a few my experience with the paranormal and connections to the cosmos inspired a lot of my work my goals include pushing the limit of art through sound and music and establishing a strong foundation with my contribution in film and tv favorite lyric you are just another brick in the wall by pink floyd activities and thoughts flying stargazing battling supernatural forces there is",106,"no","no","4","no","31A","no","31B","is","31B","no","3","one","3","little","3","hiding","3","big","3","male","3",0.279999999998836,TRUE
"56","I decided to get creative with the leftovers of the rainbow cake... instead of doing the mini cupcake rainbow I had planned. It worked out SO well and I don't think it turned out too bad.","i decided to get creative with the leftovers of the rainbow cake instead of doing the mini cupcake",19,"rainbow","rainbow","3","cupcake","31B","mini","42F","i","2","rainbow","2","mommy","32C","with","32C","she","32C","rainbow","21","of","21",0.19999999999709,TRUE
"57","At the back of the shop there is a little cafe which is the pretence of this post- the menu is pretty simple, just fry ups (£3.50) sandwiches (around £1.50) and jacket potatoes (around £2). I had a tuna mayo salad and a latte which came to a grand total of £3.50.","at the back of the shop there is a little cafe which is the pretence of this post the menu is pretty simple just fry ups � sandwiches around � and jacket potatoes around � i had a tuna mayo salad and a latte",45,"which","which","4","latte","41C","which","31A","a","42F","came","3","came","2","cartridge","2","lite","3","which","3","lite","2",0.310000000012224,TRUE
"58","anyway, i digress. we’ve got a bed, a sofa, a washing machine – all the important things, really. and the furniture for the baby room comes tomorrow morning. which is good since come next week, i could literally go into labor at any moment. though, i really hope he’ll wait for a little bit. a couple weeks at least. we’re not quite ready yet (though not sure if we will be in a few weeks, either).","anyway i digress we’ve got a bed a sofa a washing machine – all the important things really and the furniture for the baby room comes tomorrow morning which is good since come next week i could literally go into labor at any moment though i really hope he’ll wait for a little bit a couple weeks",58,"at","at","4","weeks","41C","ago","3","couple","42F","either","31A","at","31A","weeks","32B","at","3","of","31B","good","31B",0.289999999993597,TRUE
"59","Just go away.","just go",3,"away","away","3","way","2","home","2","back","2","see","2","weeks","2","one","2","get","2","store","2","im","2",0.0399999999935972,TRUE
"60","bunny drop Complete Series Premium Edition","bunny drop complete series premium",6,"edition","series","32C","features","2","be","2","may","2","edition","2","primer","2","suv","2","gets","21","financial","21","the","21",0.160000000003492,TRUE
"61","Southern Tier Brewing Company Choklat (Imperial Stout)","southern tier brewing company choklat imperial",7,"stout","stout","2","imperial","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150000000008731,TRUE
"62","In reporting on activities to Chloe, I invented the chick-flick scale, my very own movie rating system. Instead of stars, chick flicks get 1 to 4 hearts (of course). Here are mini reviews of the movies I've watched this past week or so.","in reporting on activities to chloe i invented the chickflick scale",12,"my","my","3","of","31A","scale","31B","my","21","part","2","risk","2","very","2","scale","21","movie","2",NA,NA,0.209999999991851,TRUE
"63","To see all the PACA (Provence Alpes Côte d'Azur) Michelin rankings, go here:","to see all",4,"the","paca","4","paca","3","same","3","the","4","the","3","parent","31A","of","31A","the","31A","and","31A","my","31A",0.119999999995343,TRUE
"64","The concept of the King's Peace first appeared during the reign of Richard I in 1195. Peace was henceforth to be seen as the responsibility of the king, and its breach required that the culpable parties be answerable to him. During the reign of Edward III in 1361, Justices of the Peace were appointed for the first time. The Crown, in effect, was claiming a monopoly on violence in the realm, and appointing officials to enforce it.","the concept of the kings peace first appeared during the reign of richard i in",16,"peace","peace","4","in","41C","peace","31A","i","42F","peace","31B","in","32C","in","31B","denver","3","shock","3","bettys","3",0.360000000000582,TRUE
"65","The only not-so-fabulous part was that as I was getting the monkeys in the tub, I started to sneeze. And feel drippy and tickly. Sure signs of an end-of-summer cold. Bluck. I feel icky this morning, but have too much to do to be sick. So I am refusing to succumb to my desire to plop on the couch and sniff all day. I am hoping sheer will alone will heal me :)","the only",3,"notsofabulous","keeping","3","ethnic","3","term","3","i","3","being","3","which","3","one","3","way","3","thing","3","two","3",0.0500000000029104,FALSE
"66","Dear Heavenly Father, I thank You for teaching me to prayer earnest, heartfelt and continued prayers. As I spend time to pray like this today, Your divine power is manifested, changes are effected, and circumstances in my life are changed, in Jesus Christ Name I pray! Amen!","dear heavenly father i thank you for teaching me to prayer earnest heartfelt and continued prayers as i spend time to pray like this today",26,"your","your","4","not","51D","your","3","today","41C","your","31A","this","42F","not","42C","today","32B","and","51D","today","32C",0.360000000000582,TRUE
"67","Allow to rest 2 minutes on cookie sheet before transferring cookies to a cooling rack.","allow to rest",4,"minutes","rest","31B","day","3","full","3","on","3","full","2","equal","2","the","2","on","2","minutes","3","clients","3",0.110000000000582,TRUE
"68","From Peru, we flew to Ecuador and then on to the wedding. After the celebrations, we were off to Hawaii, for a much needed relaxing beach holiday, after which we did a wonderful cruise of The Great Barrier Reef, before flying home via Singapore. What a great trip that was, and one day I’ll put some more photos up for you to see.","from peru we flew to ecuador and then on to",11,"the","the","5","the","4","the","41A","the","41B","the","41C","the","31A","on","42F","the","31B","to","41C","to","31B",0.389999999999418,TRUE
"69","Stay tuned for some more quilting posts coming soon.","stay tuned for some more",6,"quilting","more","41C","some","42F","more","32B","more","32C","of","31A","water","3","space","3","dvds","3","my","3","up","3",0.229999999995925,FALSE
"70","The company are introducing an internal ‘carbon price’ to encourage their individual business arms to become more responsible for the costs of offsetting their emissions.","the",2,"company","catholic","2","york","2","sheet","2","marathon","2","woman","2","store","2","tooth","2","upstairs","2","states","2","during","2",0.0300000000133878,FALSE
"71","3/4 C Dairy Free, Soy-Free Vegetable Shortening (we use Spectrum)","c dairy free",4,"soyfree","soyfree","4","soyfree","3","soyfree","31A","soyfree","31B","soyfree","21","free","31B","free","21","year","2","another","2","home","2",0.159999999988941,TRUE
"72","It's official, I made the 2012 Spellbinders team. It's been an amazing year and I am so glad that it doesn't have to end. I love this company, their products, their values, and the people who make Spellbinders what it is.","its official i made the spellbinders",7,"team","the","42F","leftover","41C","rash","41C","it","2","team","2","across","31B","girls","31B","in","31B","move","31B","right","31B",0.230000000010477,TRUE
