"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","timeToPredict","Correct"
"11","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.","april was a month for new beginnings firstly i finally finished my exams and if all is good i’ll be graduating in may it still feels weird to know that the business degree i’ve been working for four years is finally mine so now i’m in the process of looking for a new job secondly i finally began moving in with my boyfriend of four years and that’s a bit nervewrecking as for reading books the last week of april gave me an opportunity to relax and enjoy a few stories as you will see i have not finished much but i have successfully began several hefty novels i am happy with the progress i’ve made so far and the quality of books i’ve picked to read the fellowship of the ring is surprisingly easy to read considering all my fears about tolkien and his writing i am loving a clash of kings even though this season took a few liberties concerning the plot master and margarita is my first russian novel",173,"in","a","3","novel","31B","russian","42F","a","2","russian","32C","in","3","long","2","in","21",0.0599999999976717,TRUE
"12","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!","i was hoping howie would smash his face in the cake my sister made but it seemed like he was more scared of it than anything",27,"but","but","4","but","3","anything","41C","than","42F","but","31B","the","31A","but","31A","anything","32B",0.0899999999965075,TRUE
"13","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","when i was four years of age i remember being at home with my mom one day when a salesman tried breaking into our home my mom was on the phone to her sister when the guy tried every door in the house her and i was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave it scarred me i have never been trusting of them since this and",78,"i","i","4","and","41C","i","31A","this","42F","i","31B","and","32B","a","3","because","3",0.0800000000017462,TRUE
"14","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.","point if it’s a show that your kid wants a show about a book is always",17,"better","always","41C","is","52J","always","31B","is","42F","better","3","yammering","3","always","32B","always","32C",0.100000000005821,TRUE
"15","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","come join us next tuesday february st for discussion on chapter we will talk about personal will self control and the ability to stay true to ourselves as we travel through this life the gathering is fun free and another opportunity to meet new",45,"people","people","4","people","3","people","31A","people","31B","people","21","new","31B","meet","32C","relax","32C",0.069999999992433,TRUE
"16","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted",31,"the","crime","3","crime","2","the","3","like","21","brought","21","hosts","21","will","21","upper","21",0.0299999999988358,TRUE
"17","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.","i have it on good authority that everyone in this company particularly the strikers recieved gifts in the companyorganised secret santa i also know that the strikers attended the companyfunded xmas party where they partook in the companyfunded luncheon they also recieved vouchers to the value of",48,"k","k","5","from","4","k","41A","k","41C","from","3","k","41B","the","41B","k","31B",0.0899999999965075,TRUE
"18","It's a sickening feeling.","its",2,"a","ruling","2","outer","2","page","2","difficult","2","mess","2","to","2","a","2","that","2",0.0200000000040745,TRUE
"19","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","well im off to clean up my craft space since its a mess after working",16,"on","working","41C","my","3","working","31B","after","42F","working","32B","on","3","working","32C","four","2",0.0599999999976717,TRUE
"20","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","almighty and everlasting god by whose spirit the whole body of your faithful people is governed and sanctified receive our supplications and prayers which we offer before you for all members of your holy church that in their vocation and ministry they may",44,"truly","and","3","may","31B","they","32C","truly","3","claim","32B","come","2","bikini","2","literally","2",0.0599999999976717,TRUE
"21","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","how many times have you heard someone say that soandso is too nice to tell",16,"the","the","5","the","4","tell","51D","the","41A","the","41B","the","31A","tell","42C","tell","42E",0.160000000003492,TRUE
"22","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!","hmmm in terms of traditional",6,"instruments","traditional","31B","of","42F","of","32C","last","32B","words","32B","a","32B","the","21","years","21",0.0299999999988358,FALSE
"23","could be added to the gallery wall.","could",2,"be","get","2","two","2","used","2","an","2","added","2",NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"24","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on piano and joe mack and bill salter on bass the band who play both",37,"loose","loose","4","both","41C","and","3","loose","31A","play","42F","loose","31B","and","2","who","2",0.0700000000069849,TRUE
"25","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","other stars making the magazine’s sexiest women alive list include modelturnedactress rosie huntingtonwhiteley jazz artist",16,"esperanza","esperanza","2","artist","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999895226,TRUE
"26","M. Blakeman Ingle","m blakeman",3,"ingle","ingle","3","ingle","2","ingle","21","blakeman","21",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"27","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","of course it goes without saying that all the music above would probably have been familiar to gardels audience too but its not that widely known here its not difficult or inaccessible music but its not a routine part of the popular culture in the same way that it would have been when gardel was playing el dia que mi quieras or even as it was when my grandmothers relations were making their own entertainment",76,"in","in","3","own","32C","in","21","by","21","being","21",NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"28","In shrouds of words,","in shrouds of",4,"words","words","4","words","3","words","31B","words","21","last","31A","words","31A","a","31A","of","31B",0.0400000000081491,TRUE
"29","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","even if you don’t like the so called “screwball comedy” that some critic also called “ comedy without sex” whose trouble in paradise gives a perfect example you could enjoy two things from this movie the typical art deco interior design in mme colet house and the beautiful gowns designed by travis banton one of the most famous",59,"costume","costume","3","famous","41C","costume","2","on","42F","depict","31B","famous","32B","part","31B","famous","31B",0.069999999992433,TRUE
"30","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!","tomorrow only may",4,"bride","bride","3","may","31B","come","2","bikini","2","literally","2","still","2","and","2","graduation","21",0.0299999999988358,TRUE
"31","Never Did No Wanderin' by The Folksmen","never did no wanderin",5,"by","by","4","the","3","by","31A","by","31B","the","2","no","32C","by","3","folksmen","2",0.0400000000081491,TRUE
"32","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","“yes” he said “maybe a puppet or a special toy or maybe just a stuffed animal you loved very much did you have a special",26,"friend","special","41C","a","52J","a","42F","or","3","friend","3","toy","3","like","2","or","2",0.0799999999871943,TRUE
"33","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","when pc came out with",6,"the","the","5","the","4","the","41A","the","41B","the","41C","the","31A","out","42F","the","31B",0.0800000000017462,TRUE
"34","hold, to not let go","hold",2,"to","not","2","let","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"35","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)","tight finish between neptune collonges grey with yellow silks and sunnyhillboy bay with green and gold hooped",18,"silks","in","3","hooped","31B","gold","42F","in","2","gold","32C","silks","3","silks","2","silks","21",0.0299999999988358,TRUE
"36","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","origin middle",3,"english","middle","21","from","2","eastern","2","english","2",NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999476131,TRUE
"37","02 - It's All Over Now 04:01","its all over",4,"now","now","4","now","3","now","31A","now","31B","over","31B","months","2","well","2","ringgit","2",0.0500000000029104,TRUE
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","the product is a milky white liquid that applies like emulsion not too creamy and thick but not like water or jelly either after spreading it out on your face it dries within a few minutes after which the fun begins according to the sa after it dries you start rubbing it like you’re trying to rub dirt off your face until you rub off most of it if required wash off the remaining with lukewarm water so i started rubbing and it actually takes quite a bit of effort to rub it all off it",97,"comes","comes","5","it","51D","off","4","comes","41A","comes","41B","it","52D","it","52G","it","52I",0.0900000000110595,TRUE
