"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"20","Fallout by Ellen Hopkins (p.1-140)",5,"fallout","by","ellen","hopkins","p","the","a","time",0.0199999999999818,FALSE
"21","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)",10,"or","more","likely","refuse","the","than","to","the",0.00999999999976353,TRUE
"22","April was a month for new beginnings. Firstly, I finally finished my exams, and if all is good, I’ll be graduating in May. It still feels weird to know that the business degree I’ve been working for four years is finally mine. So now I’m in the process of looking for a new job. Secondly, I finally began moving in with my boyfriend of four years, and that’s a bit nerve-wrecking. As for reading books, the last week of April gave me an opportunity to relax and enjoy a few stories. As you will see, I have not finished much, but I have successfully began several hefty novels. I am happy with the progress I’ve made so far and the quality of books I’ve picked to read. The Fellowship of the Ring is surprisingly easy to read, considering all my fears about Tolkien and his writing. I am loving A Clash of Kings even though this season took a few liberties concerning the plot. Master and Margarita is my first Russian novel in a long time, and I have to say it’s surprisingly refreshing. I had to postpone my Virginia Woolf experience for later, as I find that I am just not in the mood for it. I should be returning to it a bit later.",19,"if","all","is","good","ill","a","the","to",0.0199999999999818,FALSE
"23","I was hoping Howie would smash his face in the cake my sister made, but it seemed like he was more scared of it than anything, but after staring at it for a while and all of us cheering he started to dig in!",7,"hoping","howie","would","smash","his","be","like","have",0.0199999999999818,FALSE
"24","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance",10,"and","toning","benefits","enhances","facial","the","i","a",0.0199999999999818,FALSE
"25","for I did not come to condemn the world but to save the world.",8,"not","come","to","condemn","the","the","be","a",0.0299999999997453,TRUE
"26","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.",61,"with","the","phone","hoping","the","of","and","the",0.0100000000002183,TRUE
"27","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.",18,"a","book","is","always","better","a","the","to",0.0199999999999818,FALSE
"28","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?",123,"it","simple","and","smart","to","i","the","a",0.0300000000002001,FALSE
"29","‘Tis all.",2,NA,NA,NA,"tis","all","all",NA,NA,0,TRUE
"30","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.",41,"gathering","is","fun","free","and","a","to","the",0.00999999999976353,FALSE
"31","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.",7,"had","earlier","approached","the","south","of","and","to",0.0300000000002001,FALSE
"32","I am 32 weeks pregnant!",4,NA,"i","am","","weeks","have","to","was",0.0199999999999818,FALSE
"33","I have it on good authority that everyone in this company, particularly the strikers, recieved gifts in the company-organised Secret Santa. I also know that the strikers attended the company-funded Xmas Party, where they partook in the company-funded luncheon. They also recieved vouchers to the value of K100, from the company as Xmas gifts.",48,"to","the","value","of","k","the","a","of",0.00999999999976353,FALSE
"34","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.",11,"solution","that","involves","several","smaller","the","i","was",0.0399999999999636,FALSE
"35","»Scene 2: Shays’ apartment«",2,NA,NA,NA,"scene","","i","an","could",0,FALSE
"36","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.",20,"thin","and","able","to","'roll","the","be","a",0.0399999999999636,FALSE
"37","Her fiction and non-fiction has appeared in many magazines and reviews including Oprah Magazine. She has been featured in the New York Times, Newsweek, Time, USA Today and on the Today Show, and NPR radio.",4,NA,"her","fiction","and","nonfiction","i","the","a",0.0199999999999818,FALSE
"38","It's a sickening feeling.",4,NA,"it's","a","sickening","feeling","of","lot","and",0.0100000000002183,FALSE
"39","“It’s no costume, Pricklewood, I’m the real McCoy.” I then got down onto the carpet, grasped the feet of the armchair with my toes and lifted it off the ground. “How many humans do you know who can do that?” I asked.",37,"humans","do","you","know","who","the","that","i",0.0399999999999636,FALSE
"40","Ed Switenky, manager of traffic engineering and operations, couldn't comment on any short-term improvements the city might be able to make to Governor's Road - in light of last week's accident.",23,"able","to","make","to","governor's","the","be","a",0.0300000000002001,FALSE
"41","And I very much doubt if it will end there. Because of all the foregoing factors, and the immediate crisis Murdoch faces, BSkyB’s movers know that he must do this deal….or wind up in very bad shape as a business. There may also come a point at which BSkyB find Murdoch himself simply too toxic to have as a buyer anyway.",38,"in","very","bad","shape","as","the","a","as",0.0299999999997453,TRUE
"42","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!",11,"my","craft","space","since","it's","the","and","i",0.0300000000002001,FALSE
"43","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.",42,"their","vocation","and","ministry","they","i","the","a",0,FALSE
"44","Complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting in the streets at night.",36,"daughters","to","go","gallivanting","in","the","be","a",0.0299999999997453,FALSE
"45","1/3 cup tomato paste",2,NA,NA,NA,"","cup",NA,NA,NA,NA,FALSE
"46","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.",49,"using","that","seat","on","the","the","my","i",0.0199999999999818,TRUE
"47","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!",27,"a","nose","flute","made","it","of","the","a",0.0100000000002183,FALSE
"48","could be added to the gallery wall.",5,"could","be","added","to","the","the","be","a",0.0299999999997453,TRUE
"49","3 T ketchup",3,NA,NA,"","t","ketchup","ketchup",NA,NA,0,TRUE
"50","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.",144,"tapping","sold","out","no","more","matter","of","the",0.0100000000002183,FALSE
"51","I was worried I wasn’t going to like this. And not because I have an unhealthy love of comic book heroes and unrealistic expectations. No, I was worried because it seems the 98% of people I know had already seen it and enjoyed it. Even the wife. Thus, wading in with an opinion of ‘pfft…shite’ would prove about as popular as punching a kitten in the face. But in the end the fears proved unfounded as I really did like it.",30,"i","was","worried","because","it","i","to","it",0.0399999999999636,TRUE
"52","Whether you’re looking at investing in residential, commercial or industrial property, the Urban Redevelopment Authority’s (URA) area planning and guidelines will have a long-term impact on your property’s values.",11,"residential","commercial","or","industrial","property","the","it","a",0.0300000000002001,FALSE
"53","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.",16,"suitcase","as","it","bobbed","off","was","is","a",0.00999999999976353,FALSE
"54","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.",17,"rosie","huntingtonwhiteley","jazz","artist","esperanza","as","the",NA,0.0199999999999818,FALSE
"55","Ah, Parga. How many times have we sat in Paxos, looking across at the mainland at night seeing twinkling lights in the far distance? How many times have we wondered just what was it like over there? Well now we know. Unfortunately the place with the twinkling lights was not Parga but some other little community. We got it wrong. Parga was on the itinerary anyway. We concluded it was not worth the detour; two resort-y bays separated by an ancient Turkish fort on a steep hill and a cluster of souvenir shops, tavernas and restaurants. The marina was unwelcoming - we moored alongside a rusting, capsized ferry - and the trudge to buy some provisions took us along a neglected rubbish strewn track. Thomas would not leave the boat for fear we were robbed. But hey! Pull up the gangplank, crack open a beer and experiment with cooking in the galley.",132,"leave","the","boat","for","fear","the","of","a",0.0300000000002001,FALSE
"56","M. Blakeman Ingle",3,NA,NA,"m","blakeman","ingle","ingle","that","with",0.0299999999997453,TRUE
"57","I napped after studio class tonight. Andrew and I were up really late last night, despite going to bed at a somewhat decent time. We ended up talking to each other for about an hour and a half to two hours just about our lives and what was going on and stuff like that. It was a very nice talk, but it made me tired for today, which explains why I’m still awake now. But don’t worry…I’ll be getting to bed shortly, right after I shower.",83,"getting","to","bed","shortly","right","the","be","a",0.0199999999999818,FALSE
"58","Outsell spoke to us about the changes going on in education specifically in the development of custom textbooks.",16,"specifically","in","the","development","of","of","the","and",0.0300000000002001,TRUE
"59","Actually, this April 15, 1912, headline was based on preliminary news and was in error. The final tally shows that 1,513 lives were lost in the sinking of the Titanic, and there were only 711 survivors.",31,"sinking","of","the","titanic","and","of","the","and",0.0299999999997453,TRUE
"60","the autumn rains in righteousness.",3,NA,NA,"the","autumn","rains","of","and","to",0,FALSE
"61","Smokers I have little sympathy for – you made that decision, in the face of all the evidence that it’s not just seriously harmful to you, but to everyone around you, so I’m sorry, but you get to live with the consequences. And had I not lived, worked and socialised among smokers for most of my life, until the ban, I wouldn’t be anywhere near as ill as I am now, so sympathy is in very short supply.",15,"decision","in","the","face","of","of","the","and",0.0300000000002001,TRUE
"62","I’ll wear pajamas and give up pajahmas.",3,NA,NA,"ill","wear","pajamas","out","her","many",0.0199999999999818,FALSE
"63","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.",2,NA,NA,NA,"i","found","have","to","was",0,FALSE
"64","- Food and drink disliking. I’m not really sure what the correct term is for this, but I developed a dislike for almost all of the foods that I once liked, and couldn’t drink fizzy pop at all! I think I may have literally lived on pickled onion space raiders and fruit juice for the entire first trimester…and possibly a lot of the second.",35,"liked","and","couldnt","drink","fizzy","i","the","a",0.0100000000002183,FALSE
"65","I recently tried a super fabulous restaurant that you MUST MUST try. I usually don't give restaurant recommendations, so trust me on this one. I decided to go down to South Norwalk and check out The SoNo Baking Company and Cafe that Martha Stewart is always yammering on about on Martha. This tiny hidden jewel was started by John Barricelli, who works for Martha and also hosts Everyday Baking on PBS. It is Fa. Bu. Lous. Seriously, that good. We had lunch and I tried a Cobb Salad that elevated the usual blah salad to a culinary masterpiece. I sat at the counter in front of a huge glass window and watched people roll out chocolate croissants with a vintage roller while I ate. (If you are a big geek, that is a huge thrill.) At one point in the meal, I actually saw John Barricelli through the glass instructing one of the bakers on how to place the chocolate chunks perfectly in the croissant. I considered banging on the glass to blow kisses and get my photo taken with him but I decided I had done that enough recently with both her and her, so I decided to play it cool and just eat my lunch quietly. I also brought home a huge selection of pastries and enjoyed every single one (in the name of research, not gluttony, mind you). John is coming out with a cookbook in early March. You can be a geek like me and pre-order your copy on Amazon today. The cafe is located right near the South Norwalk Aquarium and makes a good drive on a cold winter's day.",51,"yammering","on","about","on","martha","the","my","and",0.0299999999997453,FALSE
"66","Sphere: V = 4/3",2,NA,NA,NA,"sphere","v","from","science",NA,0.0199999999999818,FALSE
"67","I’m sad you can’t be with us but we know you’ll be watching. I don’t know if you ever got to eat at Longhorn or not but I hear they cook a really mean steak.",22,"you","ever","got","to","eat","the","be","a",0.0100000000002183,FALSE
"68","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.",2,NA,NA,NA,"of","course","the","a","my",0.0199999999999818,FALSE
"69","Oh yeah! Last year I was really Spicin' Things Up in the Kitchen! It was Hot Hot! Nope, the hubs and I weren't getting all romantical, we were installing tin into our cabinet for our spices! Get your heads out of the gutter!!",17,"kitchen","it","was","hot","hot","a","was","is",0.00999999999976353,FALSE
"70","We talked for a few minutes, and I thanked the secretaries for taking care of my son, and I suggested we go home. My son aggreed and said thank you to the secretaries and placed a death grip on my hand and didn't let go all the way to the parking lot.",8,"a","few","minutes","and","i","i","the","a",0.0399999999999636,TRUE
"71","In shrouds of words,",2,NA,NA,NA,"in","shrouds","the","a","my",0,FALSE
"72","“Hell is larger today than it was yesterday, because many of us have failed to pray.”–David Smithers",5,"hell","is","larger","today","than","a","the","to",0.0300000000002001,FALSE
"73","BRAAMFONTEIN: Johannesburg Theatre manager Rulov Senekal (67) murdered in his apartment by two black attackers.",11,"","murdered","in","his","apartment","the","a","my",0.00999999999976353,FALSE
"74","Valentines Day falls on February 14th each year. It is a holiday in which lovers express said love for each other, traditionally with flowers, candle lit dinners, heart shaped things, chocolate and greeting cards. The first Valentines cards were hand written but over time have made way for more mass produced greetings. These cards, for the most part, depict images of hearts, cupids and love struck victims.",64,"images","of","hearts","cupids","and","the","a","my",0.0199999999999818,FALSE
"75","Nicholas Ridley agreed with the Act of Supremacy, supporting Henry’s action. He became the king’s chaplain and later, in the time of Edward VI, he was Bishop of Rochester. He helped to write the Book of Common Prayer. He became Bishop of London and worked to improve the conditions of the poor.",19,"kings","chaplain","and","later","in","i","the","a",0.0199999999999818,FALSE
"76","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.",59,"of","the","most","famous","","of","the","and",0.0300000000002001,FALSE
"77","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!",4,NA,"tomorrow","only","may","","be","have","a",0.0299999999997453,FALSE
"78","A 1 inch chunk of fresh ginger, peeled and finely grated",10,"fresh","ginger","peeled","and","finely","i","the","a",0.0199999999999818,FALSE
"79","Never Did No Wanderin' by The Folksmen",3,NA,NA,"never","did","no","a","not","i",0.0100000000002183,FALSE
"80","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”",5,"yes","he","said","maybe","a","was","they","a",0.0299999999997453,TRUE
"81","In 1926, Anatol Josepho opened the first photo booth in New York City and it took Gotham by storm. Up to 7,500 people a day payed 25 cents ($3 in today's funds) to receive eight miniature images of themselves.",25,"to","","people","a","day","of","lot","and",0.0199999999999818,FALSE
"82","You die?",2,NA,NA,NA,"you","die","are","can","have",0.0199999999999818,FALSE
"83","Didn’t quite make church Sunday morning. Sleeping right up to check out causes a bit of a mad rush to get up and get out.",5,"didnt","quite","make","church","sunday","a","the","sure",0.0300000000002001,FALSE
"84","Outfit Specs: Click piccy to be taken to it's flickr page for more information.",2,NA,NA,NA,"outfit","specs","damn","specs","there",0,TRUE
"85","Economists said the cut was an admission by the RBA that it had misread the economy over recent months, failing to recognize that despite a record mining-investment boom the vast bulk of the economy is experiencing near-recessionary conditions.",32,"boom","the","vast","bulk","of","of","and","to",0.0299999999997453,TRUE
"86","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!",19,"i","had","to","have","it","the","a","to",0.0100000000002183,FALSE
"87","How can you start your day any other way than happy with that face wanting to cuddle with you first thing?",13,"way","than","happy","with","that","the","a","my",0.0399999999999636,FALSE
"88","hold, to not let go",3,NA,NA,"hold","to","not","the","be","a",0.0100000000002183,FALSE
"89","So our prayer for today goes like this:",3,NA,NA,"so","our","prayer","i","and","much",0.0199999999999818,FALSE
"90","Roughly a week later, my sister and her ever-expanding family drove in from Alaska and picked me up, and then we all headed on to Alvin, Texas, once a happy place where a son would be reunited with his father, but now a haunted little town where ghosts of memories reared their teeth at every turn. We pulled into the driveway at dusk, greeted by my stepmother and stepbrother, both of who appeared to be much stronger than me.",44,"father","but","now","a","haunted","of","lot","and",0.0299999999997453,FALSE
"91","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)",13,"silks","and","sunnyhillboy","bay","with","i","the","a",0,FALSE
"92","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’",4,NA,"origin","middle","english","from",NA,NA,NA,NA,FALSE
"93","And that is where we changed from being social beings amongst each other to digital social addicts.",6,"that","is","where","we","changed","have","the","are",0.0299999999997453,FALSE
"94","Whew, there is much talk lately about rising fares due to increased fuel surcharges.",6,"there","is","much","talk","lately","a","to","the",0.0199999999999818,FALSE
"95","02 - It's All Over Now 04:01",2,NA,NA,NA,"","",NA,NA,NA,NA,FALSE
"96","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.",23,"like","water","or","jelly","either","the","a","it",0.0300000000002001,FALSE
"97","(2 Corinthians 10:5).",2,NA,NA,NA,"","corinthians",NA,NA,NA,NA,FALSE
"98","Humans have strong muscles in the legs and would need swim fins (like a frog) to bring all their power into the water and stand with the sole of the feet on the water. Rather the leg grabs almost as much water as the foot and a small amount of water is accelerated to high kinetic energy, but not much impulse is transferred. The toes are bent, the feet point 45° outwards, the sole points backwards, to mimic a hydrofoil. While closing in a V shape to the rear a small “lifting” force can be felt. Unlike in the other kicks, the joints are moved into extrema. Before the kick the knee is maximally bent and the upper leg is rotating along its axis to its extreme outer position and the lower leg is twisted to extreme, at the end of the kick the ankles are maximally turned to the inside so that the soles clap together to achieve a nozzle effect like in a jelly fish. Therefore training involves getting flexible in addition to fitness and precision.",82,"mimic","a","hydrofoil","while","closing","of","lot","and",0.0199999999999818,FALSE
"99","I have mixed emotions about the start to this book. As I’ve already mentioned I very much enjoyed the characters and the voice of the protagonist. But as much as I was enjoying it, it took me a little while to get into the story. We’re presented with a huge case of insta-love right from the start. Lucas, the mysterious and hot new neighbor, comes on strong. I’m pretty sure they start making out on their second or third meeting! I’m warning you now. There’s not a lot of rationalization for the insta-love…you won’t really understand the reasons until the end of the book. Which is why, in retrospect, I kinda like that I had to wait for all of the info to be revealed.",6,"have","mixed","emotions","about","the","the","it","a",0.0299999999997453,TRUE
"100","""If I could keep you little,",6,"i","could","keep","you","little","have","are","can",0.0100000000002183,FALSE
"101","Jethro responded, “What you are doing is not good. You and these people who come to you will only wear yourselves out.” Moses was the bottleneck of a system that was broken and creating dysfunction, wasting time, and wearing everyone out.",32,"a","system","that","was","broken","a","the","to",0.0399999999999636,FALSE
"102","After catching a cab to dinner at Boon Tong Kee (post to come shortly), a restaurant recommended by my uncle - also a foodie! :) - we dragged ourselves back onto the HiPPO boat for one last ride, to capture the nighttime experience and views.",6,"catching","a","cab","to","dinner","the","be","a",0.0100000000002183,FALSE
"103","Sometimes, I just want to read a book. It’s kinda like Freud said, “sometimes a cigar is just a cigar.” Well in my case, sometimes I just need to read an actual hard or soft cover book, feel the paper against my fingers, smell the newness or musty oldness. If it’s a new book, there is something quite satisfying about being the first one to crack it open. I love to turn the pages, hear the crinkle and switch as my fingers brush against the paper.",35,"an","actual","hard","or","soft","the","it","a",0.0299999999997453,FALSE
"104","I attended more funerals before age 20 than most people, other than a pastor will attend in their lifetime. Why I was not one of them, only God can tell. He has the final say and fortunately, He now holds the pen.",3,NA,NA,"i","attended","more","to","have","was",0.0199999999999818,FALSE
"105","C.A.T. is looking for more pictures of cute animals with their tongues sticking out. Email cuteanimaltongues at gmail dot com with yours!",15,"their","tongues","sticking","out","email","of","the","with",0.0100000000002183,FALSE
"106","And there you have it – something which can’t be ignored",5,"and","there","you","have","it","a","to","been",0.0199999999999818,FALSE
"107","It was not as though she had never sliced bread before, but I remembered only too well what happened the last time. Certain women should not be allowed near sharpened blades, especially those with a well-developed feeling of disgruntlement towards their nearest and – formerly – dearest.",10,"she","had","never","sliced","bread","to","a","been",0.0399999999999636,FALSE
"108","I first came across these beautiful patterns by artist Paula Vaughan in the mid-1990s. Traditional style quilts thrown over vintage chairs, vases overflowing with armfuls of wildflowers, and the loveliest dresses from a bygone age.",23,"over","vintage","chairs","vases","overflowing","the","and","a",0,FALSE
"109","individually and as a band in the studio, along with interviews",7,"as","a","band","in","the","the","a","of",0.0300000000002001,TRUE
"110","to do this in remembrance of Him. Luke 22:19",8,"in","remembrance","of","him","luke","the","a","my",0.00999999999976353,FALSE
