"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct"
"23","It half price mondays at Salon Prodigys","it half price mondays",5,"at",NA,NA,FALSE
"24","Freedom has a different meaning to everybody","freedom has",3,"a",NA,NA,FALSE
"25","You betcha! :) RT Alright West Coast: 2-hours of #glee starts now! Are you watching?","you betcha",3,"rt",NA,NA,FALSE
"26","#GrandpaFred Any way they indicated the parents are supposed to learn...You're not tying any knots r u? What is Zakary doing?","any way they indicated the parents are supposed to learnyoure not tying",13,"any",NA,NA,FALSE
"27","Elway: We don't feel as bad about our DT's as everyone else.","elway",2,"we",NA,NA,FALSE
"28","Great to meet you, too!","great to",3,"meet",NA,NA,FALSE
"29","Of all the stories out there, the one that's least interesting to me is Yahoo's Thompson lying on his resume. Who...cares?","of all the",4,"stories",NA,NA,FALSE
"30","So many ppl Tweet nice things about our beer. We're humbled, and since I can't keep up: Thanks! I love you all! MWAH!","so",2,"many",NA,NA,FALSE
"31","RT : To have God in our life, doesn't mean sailing on a boat with no storms, it means having a boat that no storm can sink!","rt to have god in",6,"our",NA,NA,FALSE
"32","all 11 msu d's did too","all msu ds",4,"did",NA,NA,FALSE
"33","Smoothie: water, spinach, pear, apple, banana, jalepenos, garlic, ginger.","smoothie water spinach pear apple banana jalepenos garlic",9,"ginger",NA,NA,FALSE
"34","Perfect for Diapers, Dogs & Daddies.","perfect for",3,"diapers",NA,NA,FALSE
"35","Your clubs drama!!! Plus your clubs burns every brige in this city thats maybe why yall anit hot!!!","your clubs drama plus your clubs burns every brige in this city thats maybe why",16,"yall",NA,NA,FALSE
"36","But I won't be gone for to long.","but",2,"i",NA,NA,FALSE
"37","Okay. Just checking.","okay just",3,"checking",NA,NA,FALSE
"38","I got pulled over twice in the last two days :(","i got",3,"pulled",NA,NA,FALSE
"39","Heck yes! 9 minute party!!?(:","heck",2,"yes",NA,NA,FALSE
"40","If you are afraid, you cannot take reasonable risks and do not have the benefits.","if you are afraid you cannot take reasonable risks",10,"and",NA,NA,FALSE
"41","The creation of a homeless ""safe ground"" has stymied Johnson more than any other issue he has supported since taking office three years ago. Johnson regularly expresses frustration over the lack of progress, and until recently he was the only elected official at City Hall who supported the idea.","the creation of a homeless safe ground has stymied johnson more than any other issue he has supported since taking office three years ago johnson regularly expresses frustration over the lack of progress and until recently he was the",40,"only",NA,NA,FALSE
"42","Playing against thousands of opponents on two of America’s busiest toll roads, he drives north on the Garden State Parkway and New Jersey Turnpike to reach the finish line at his workplace in Newark.","playing against thousands of opponents on two of america’s busiest toll roads he drives north on the garden state parkway and new jersey turnpike to",26,"reach",NA,NA,FALSE
"43","The Torah tells us that upon purging the bayit menuga of tum’ah, the kohen would do a special ritual in it. The kohen would take two birds. One would be sacrificed, and the other would be set free.","the torah tells us that upon purging the bayit menuga of tum’ah the kohen would do a special ritual in it the kohen would take two birds one would be",31,"sacrificed",NA,NA,FALSE
"44","It's Bob, one of the Good People of Cheesetown, and he's calling round to check out this blog. Because Things Have Gone Quiet Again. Hell, Macy might be a manic Glaswegian drama queen, but she's still Cheesetown's manic Glaswegian drama queen. And Cheesetown cares.","its bob one of the good people of cheesetown and hes calling round to check out this blog because things have gone quiet again macy might be a manic glaswegian drama queen",33,"but",NA,NA,FALSE
"45","Karthi and family are leaving Singapore, giving up “home, PR, infrastructure and terrific jobs” and relocating to Hyderabad, India for the sake of a system of education which is not “lopsided”, which believes that a natural joy for and in learning is a pre-requisite for education and which most of all, favours the individuality of the child over logic, structure and analysis. (For the interested, the school is Sloka, mentioned in my earlier post Head, Hands, Heart).","karthi and family are leaving singapore giving up “home pr infrastructure and terrific jobs” and relocating to hyderabad india for the sake of a system of education which is not",31,"“lopsided”",NA,NA,FALSE
"46","A personal favourite (and round the corner from my flat) is the restaurant Tushita (translation: place of contentment). The coffee is good, the food mediocre; but its traditional Brahmastanam architectural structure is uplifting and spacious, with plenty of cool corners to hide in, and free wi-fi. The real heart of Tushita is ""Dai,"" a senior Newar gentleman unfailingly atted in flawless topi-daura-surwal, who performs Buddhist pujas daily in the lower courtyard. Tushita also has an unadvertised, small guest house with a loyal following in the garden behind the restaurant.","a personal favourite and round the corner from my flat is the restaurant tushita translation place of contentment the coffee is good the food mediocre but its traditional brahmastanam architectural structure",32,"is",NA,NA,FALSE
"47","Earlier this week, Santos finally came out supporting the legalization of soft drugs, such as marijuana. In an interview published by Metro World News, Santos said that he favors legalization “provided everyone does it at the same time.” However, Santos balked at the idea of being the first sitting president to propose this in an international forum, citing mostly political reasons: “I would be crucified if I took the first step,” he said.","earlier this week santos finally came out supporting the legalization of soft drugs such as marijuana in an interview published by metro world news santos said that",28,"he",NA,NA,FALSE
"48","As Jon phrased it, how many other grandmothers were at the tryouts we went to? Well, none.","as jon phrased it",5,"how",NA,NA,FALSE
"49","In the bowl of a stand mixer fitted with the dough hook, combine all ingredients for the dough. Make sure you are using rapid rise yeast, or you will need to proof your yeast before mixing. Mix on low speed until combined and then knead about 5-7 minutes on low speed until the dough is smooth and elastic. Prepare a separate bowl by coating with olive oil, transfer dough to bowl, turning to coat evenly. Cover the bowl with plastic wrap and set in a warm place to rise for about one hour or until doubled in size. Punch dough down, recover and let rise approximately 30 minutes more.","in the bowl of a stand mixer fitted with the dough hook combine all ingredients for the dough make sure you are using rapid rise yeast or you will need to proof your yeast before mixing mix on low speed until combined and then knead about minutes on low speed until the dough is smooth and elastic",58,"prepare",NA,NA,FALSE
"50","Changes to the program:","changes",2,"to",NA,NA,FALSE
"51","attitude about learning is a must. Every bit the child learns will","attitude about learning is a must every bit the child learns",12,"will",NA,NA,FALSE
"52","The project also includes an art gallery, pharmacy and coffee shop, to be ready when the newly-restored pedestrian street is completed.","the project also includes",5,"an",NA,NA,FALSE
"53","¨ J. Marie Croft","� j marie",4,"croft",NA,NA,FALSE
"54","Tell your loved ones how much they mean to you. You never know when they'll be gone.","tell your loved ones how much they mean to you",11,"you",NA,NA,FALSE
"55","Heather Trimlett put out a 40 bead challenge where you choose two colors and make 40 beads only using dots. At first I it wouldn't be that hard, I love doing dot beads but after the first 20 it got tough. My beads are strung onto the leather in the order I completed them starting in the center. I started with some of the basics and moved on quickly to masking dot techniques that I had never tried but had seen others do an loved the look. As time went on I had to wrack my brain for ideas because it turns out that 40 beads are a lot to do with the same technique being limited to only two colors, I used CIM Phoenix and Moretti Dark Red Purple. I loved the fact that the Phoenix turned different shades depending on how long it spent in the torch but in the end I think it may have been cheating a bit :).","heather trimlett put out a bead challenge where you choose two colors and make beads only using dots at first i it wouldnt be that hard i love doing dot beads but after the first it got tough my beads are strung onto the leather in the order i completed them starting in the center i started with some of the basics and moved on quickly to masking dot techniques that i had never tried but had seen others do an loved the look as time went on i had to wrack my brain for ideas because it turns out that beads are a lot to do with the same technique being limited to only two colors i used cim phoenix and moretti dark red purple i loved the fact that the phoenix turned different shades depending on how long it spent in",144,"the",NA,NA,FALSE
"56","to get out of the wind;","to get out of the",6,"wind",NA,NA,FALSE
"57","You are probably like me, Carlos. I mean, sometimes I read the blurb on-line when I go to the bookstore, I am convinced that I am going to buy a particular book...but then I get there and the book doesn't live up to what I thought it would be and meanwhile, I have fallen completely in love with another book. I am the kind of reader that has to read the first couple of pages to know if it is right for me. (I watched you do the same thing as you made your decision--thumbing through several books before choosing A Good Knight's Rest).","you are probably like me carlos i mean sometimes i read the blurb online when i go to the bookstore i am convinced that i am going to buy a particular bookbut then i get there and the book doesnt live up to what i thought it would be and meanwhile i have fallen completely in love with another book i am the kind of reader that has to read the first couple of pages to know if it is right for me i watched you do the same thing as you made your decisionthumbing through several books before choosing a good knights",104,"rest",NA,NA,FALSE
"58","I was blown away by The Dark Knight, it took me completely off guard. I was not expecting as great of a film as it turned out to be. So The Dark Knight Rises has a difficult task of beating out that incredible sequel. The problem I have is that they aren’t giving me enough to get excited off of other than it is a sequel to The Dark Knight. The trailers didn’t impress me and the pictures released had the same effect. I am really worried by what is taking place here. Primarily because Catwoman is in this movie and I despise Catwoman. I hate her character. I find her annoying and bothersome. Also that shot in the trailer with the exploding football field was so stupid. That guy really didn’t feel the explosion. It just didn’t fit in this world Christopher Nolan has created because the scene played as a joke by having the man run for a touchdown and after succeeding notice the stadium was destroyed. I do however, love the look of Bane. Tom Hardy is a fine actor so I know he will perform with this role. There is no way he will be able to beat out Heath Ledger’s terrific take on The Joker but he will still be good. I am placing my trust in Nolan’s hands to pull this off. It won’t be as great as The Dark Knight but it will still be a good movie.","i was blown away by the dark knight it took me completely off guard i was not expecting as great of a film as it turned out to be so the dark knight rises has a difficult task of beating out that incredible sequel the problem i have is that they aren’t giving me enough to get excited off of other than it is a sequel to the dark knight the trailers didn’t impress me and the pictures released had the same effect i am really worried by what is taking place here primarily because catwoman is in this movie and i despise catwoman i hate her character i find her annoying and bothersome also that shot in the trailer with the exploding football field was so that guy really didn’t feel the explosion it just didn’t fit in this world christopher nolan has created because the scene played as a joke by having the man run for a touchdown and after succeeding notice the stadium was destroyed i do however love the look of bane tom hardy is a fine actor so i know he will perform with this role there is no way he will be able to beat out heath ledger’s terrific take on the joker but he will still be good i am placing",219,"my",NA,NA,FALSE
"59","Says Mr. Brown: “We bailed out Wall Street to avoid Depression, but three years later, millions of Americans are in a living hell. This is why they’re enraged, this why they’re assembling, this is why they hate you. Why for the first time in 50 years, the people are coming out in the streets and they’re saying, “Enough.”","says mr brown “we bailed out wall street to avoid depression but three years later millions of americans are in a living this is why they’re enraged this why they’re assembling this is why they hate you why for the first time in years the people are coming out",50,"in",NA,NA,FALSE
"60","Our lives are shaken over the years, because this is not Heaven, but I can't allow my faith to be shaken.","our lives are shaken",5,"over",NA,NA,FALSE
"61","which means there's only one left.... and who could it be except the incomparable hotness known as...","which means theres only one left",7,"and",NA,NA,FALSE
"62","“Actually,” Kesta interjects from directly behind Mesdan’s left ear. “That’s not true. I’ll be watching over Eliss.”","“actually” kesta interjects from directly behind mesdan’s left ear “that’s not true i’ll",14,"be",NA,NA,FALSE
"63","As we forgot to see the Hasekannon, we definitely have to go back to Kamakura to see it sometime.","as we forgot",4,"to",NA,NA,FALSE
"64","¼ cup plain soy creamer","�",2,"cup",NA,NA,FALSE
"65","This weekend, Mighty Mo is embarking phase two of his newest job. He heads out Sunday morning, and we won't see him again till Friday. (Unless you count Skype.) This, of course, means a big change for all of us. He asked me before he took this job what I thought of him traveling 75%-80% of the time. The fact is, I have mixed feelings. Very mixed feelings.","this weekend mighty mo is embarking phase two of",10,"his",NA,NA,FALSE
"66","Pictures of my visit to Jack and Kernel are coming next week.","pictures of",3,"my",NA,NA,FALSE
"67","My parents do not go to church or ever talk about God.","my parents do not go to",7,"church",NA,NA,FALSE
"68","Cena said okay, let’s wait until Sunday, but if you want a match to truly get the fans wanting tonight. Let’s put Alberto Del Rio Vs Bret “The Hitman” Hart. The WWE Title is on the line.","cena said okay let’s wait until sunday but if you want a match to truly get the fans wanting tonight let’s put alberto del rio vs",27,"bret",NA,NA,FALSE
"69","Macdonald, Ross. “The Writer as Detective Hero.” In Crime Writing. Santa Barbara, CA: Capra Press, 1973, 9-24.","macdonald ross “the writer as detective hero” in crime writing santa barbara ca",14,"capra",NA,NA,FALSE
"70","Dan hopped in after me. The moose made a few more angry hoof-scuffing motions and then trotted off back to the golf course. I finally regained enough wits to realize the driver of the van was the same guy who’d been at the front desk of the time-share’s enclosed swimming pool/rec center. I was so glad to see a familiar face that I almost threw my arms around him.","dan hopped in after me the moose made a few more angry hoofscuffing motions and then trotted off back to the golf course i finally regained enough wits to realize the driver of the van was the same guy who’d been at the front desk of the timeshare’s enclosed swimming poolrec center i was so glad to see a familiar",61,"face",NA,NA,FALSE
"71","Who is involved in the company with you?","who is involved in the company",7,"with",NA,NA,FALSE
"72","A supporter of Beunka Adams said; “criminals are punished in the name of justice. This sense of justice seems to have abandoned the scene of capital punishment. Even in the USA people who committed murder as a minor are put on death row, those without money cannot afford decent legal aid which almost immediately condemns them, and prisoners spend years and years on death row sometimes getting their execution postponed several times.","a supporter of beunka adams said “criminals are punished in the name",13,"of",NA,NA,FALSE
"73","I already buy pastured, locally raised meat at the Food Co-Op. What do I need a butcher shop for?","i already buy pastured locally raised meat at the food",11,"coop",NA,NA,FALSE
"74","A win scores 3 points and a draw 1 point. Record Enemy AP destroyed; ties are broken by the player who has killed the most enemy AP.","a win scores points and a draw point record enemy ap destroyed ties are broken by the player who has killed",22,"the",NA,NA,FALSE
"75","15. Peanuts Quote","peanuts",2,"quote",NA,NA,FALSE
"76","That we will enter in this rest with wonders anew","that we will",4,"enter",NA,NA,FALSE
"77","McKenna would see our present earth-battering by solar flares (M-class flares yesterday, X-class flares today, see NOAA index, sidebar right) as yet another sign of the approaching Eschaton. I think he would again offer his previous advice: to take responsibility for how we think and what we do.","mckenna would see our present earthbattering",7,"by",NA,NA,FALSE
"78","Alright, so maybe ‘hair mask’ is a little deceiving. Perhaps I should just say ‘treatment’ although you do use the coconut as a mask… Okay, editor decision – Coconut Hair Mask Treatment! Ta da!","alright so maybe ‘hair mask’ is a little deceiving perhaps i should just say ‘treatment’ although you do use the coconut as a mask� okay editor decision –",29,"coconut",NA,NA,FALSE
"79","A statement issued Wednesday by Canton, Mass.-based Dunkin' Brands Inc., however, said the scarf had a paisley design, and was selected by a stylist for the advertising shoot.","a statement issued",4,"wednesday",NA,NA,FALSE
