"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"11","Fallout by Ellen Hopkins (p.1-140)","fallout by ellen hopkins",5,"p","p","4","p","3","p","2","p","31A",0.44999999999709,TRUE
"12","Either Obama/Congress, etc. give in or, more likely, refuse. The group announces that the next device will be detonated in a populated area, with no warning. Again, “Obama,” et al., refuse to submit. This time the device is detonated in a mid-sized to major city. Tens of thousands die. (Think the atomic bombs that ended WWII.)","either obamacongress etc give in or more likely refuse the group announces that the next device will be detonated in a populated area with no warning again “obama” et al refuse to submit",34,"this","submit","41C","to","42F","foot","31B","time","3",0.580000000001746,FALSE
"13","for I did not come to condemn the world but to save the world.","for i did not come to condemn the world but to save",13,"the","the","4","save","41C","the","31A","to","42F",0.720000000001164,TRUE
"14","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","come join us next tuesday february st for discussion on chapter we will talk about personal will self control and the ability to stay true to ourselves as we travel through this life the gathering is fun free and",40,"another","another","4","and","41C","another","31B","of","3",0.639999999999418,TRUE
"15","""The ANC had earlier approached the South Gauteng High Court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of incitement.","the anc had earlier approached the south gauteng high court to grant us leave to appeal its earlier ruling that the singing of the freedom song was unconstitutional and fitted the crime of",34,"incitement","incitement","3","of","41C","crime","42F","the","51C",0.659999999996217,TRUE
"16","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.","prepare chicken fillets by flattening out a little on a board they need to be thin and able to roll up",22,"with","with","5","up","51D","a","4","with","41A",0.870000000002619,TRUE
"17","It's a sickening feeling.","its a sickening",4,"feeling","feeling","3","feeling","2","idea","31B","for","31B",0.180000000000291,TRUE
"18","Complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting in the streets at night.","complaining and repeating everything we already know every",9,"day","theo","41C","will","3","day","3","from","31B",0.459999999999127,TRUE
"19","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","how many times have you heard someone say that soandso is too nice to tell the person they’re seeing that they want to call it quits too nice to address unfair",32,"working","the","42F","and","31B","unfair","31B","as","2",0.489999999997963,FALSE
"20","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!","hmmm in terms of traditional instruments we have things like a zither a euphonium and a harmonium in there and i think a nose flute made it to the finished mix too but im no harry partch or even thomas truax come to that lifes hard",47,"enough","enough","3","hard","41C","hard","31B","lifes","42F",0.5,TRUE
"21","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on organ piano and joe mack and bill salter on bass the band",35,"who","who","5","who","4","who","41A","who","41B",0.80000000000291,TRUE
"22","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.","thus began",3,"my","my","3","my","21","in","21","i","21",0.169999999998254,TRUE
"23","M. Blakeman Ingle","m",2,"blakeman","the","2","is","2","last","2","h","2",0.0600000000049477,FALSE
"24","Actually, this April 15, 1912, headline was based on preliminary news and was in error. The final tally shows that 1,513 lives were lost in the sinking of the Titanic, and there were only 711 survivors.","actually this april headline was based",7,"on","based","31B","giving","3","on","3","was","32C",0.479999999995925,TRUE
"25","the autumn rains in righteousness.","the autumn",3,"rains","in","3","in","2","rains","3","project","2",0.160000000003492,TRUE
"26","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","i found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night cant read this one in bed id get up to get",34,"another","get","51D","out","41B","get","52D","get","52G",1.08999999999651,FALSE
"27","- Food and drink disliking. I’m not really sure what the correct term is for this, but I developed a dislike for almost all of the foods that I once liked, and couldn’t drink fizzy pop at all! I think I may have literally lived on pickled onion space raiders and fruit juice for the entire first trimester…and possibly a lot of the second.","food and drink disliking i’m not really sure what the correct term is for this but i developed a dislike for almost all of the foods that i once liked and couldn’t drink fizzy pop at all i think i may have literally lived on pickled onion space raiders and fruit juice for the entire",56,"first","first","4","lemon","51D","entire","41C","first","31A",0.830000000001746,TRUE
"28","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","of course it goes without saying that all the music above would probably have been familiar to gardels audience too but its not that widely known here its not difficult or inaccessible music but its not a routine part of the popular culture in the same way that it would have been when gardel was playing el dia que mi quieras or even as it was when my grandmothers relations were making their own entertainment",76,"in","in","3","salsas","32B","own","32C","have","2",0.519999999996799,TRUE
"29","We talked for a few minutes, and I thanked the secretaries for taking care of my son, and I suggested we go home. My son aggreed and said thank you to the secretaries and placed a death grip on my hand and didn't let go all the way to the parking lot.","we talked for a few minutes and i thanked the secretaries for taking care of my son and i suggested we go home my son aggreed and said thank you to the secretaries and placed a death grip on my hand and didnt let",45,"go","all","4","let","41C","didnt","52J","all","3",0.620000000002619,FALSE
"30","In shrouds of words,","in",2,"shrouds","past","2","same","2","end","2","morning","2",0.0500000000029104,FALSE
"31","Valentines Day falls on February 14th each year. It is a holiday in which lovers express said love for each other, traditionally with flowers, candle lit dinners, heart shaped things, chocolate and greeting cards. The first Valentines cards were hand written but over time have made way for more mass produced greetings. These cards, for the most part, depict images of hearts, cupids and love struck victims.","valentines day falls on february th each year it is a holiday in which lovers express said love for each other traditionally with flowers candle lit dinners heart shaped things chocolate and greeting cards the",36,"first","most","3","the","31B","cards","32C","first","3",0.519999999996799,TRUE
"32","Nicholas Ridley agreed with the Act of Supremacy, supporting Henry’s action. He became the king’s chaplain and later, in the time of Edward VI, he was Bishop of Rochester. He helped to write the Book of Common Prayer. He became Bishop of London and worked to improve the conditions of the poor.","nicholas ridley agreed with the act of supremacy supporting henry’s action he became the king’s chaplain and later in the time of edward vi he was bishop of rochester he helped to write the book of common prayer he became bishop of london and worked",46,"to","to","4","worked","41C","no","3","to","31A",0.669999999998254,TRUE
"33","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","“yes” he said “maybe a puppet or",8,"a","a","4","special","3","a","31B","a","3",0.510000000002037,TRUE
"34","Outfit Specs: Click piccy to be taken to it's flickr page for more information.","outfit specs",3,"click","click","3","piccy","2","click","2","i","21",0.169999999998254,TRUE
"35","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","when pc came out with the love you a latte lite cartridge i knew i",16,"had","i","41C","going","4","i","32B","going","3",0.599999999998545,FALSE
"36","How can you start your day any other way than happy with that face wanting to cuddle with you first thing?","how can",3,"you","get","3","start","3","take","3","pull","3",0.139999999999418,FALSE
"37","And that is where we changed from being social beings amongst each other to digital social addicts.","and that is where we changed from being social beings amongst each other to digital social",17,"addicts","social","31B","work","31A","media","31A","the","32C",0.470000000001164,FALSE
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","the product is a milky white liquid that applies like emulsion not too creamy and thick but not like water or jelly either after spreading it out on your face it dries within a few minutes after which the fun begins according to the sa after it dries you start rubbing it like you’re trying to rub dirt off your face until you rub off most of it if required wash off the remaining with lukewarm water so i started rubbing and it actually takes quite a bit of effort to rub it all off it",97,"comes","comes","5","it","51D","off","4","comes","41A",1.12000000000262,TRUE
"39","I have mixed emotions about the start to this book. As I’ve already mentioned I very much enjoyed the characters and the voice of the protagonist. But as much as I was enjoying it, it took me a little while to get into the story. We’re presented with a huge case of insta-love right from the start. Lucas, the mysterious and hot new neighbor, comes on strong. I’m pretty sure they start making out on their second or third meeting! I’m warning you now. There’s not a lot of rationalization for the insta-love…you won’t really understand the reasons until the end of the book. Which is why, in retrospect, I kinda like that I had to wait for all of the info to be revealed.","i have mixed emotions about the start to this book as i’ve already mentioned i very much enjoyed the characters and the voice of the protagonist but as much as i was enjoying it it took me a little while to get into the story we’re presented with a huge case of instalove right from the start lucas the mysterious and hot new neighbor comes on strong i’m pretty sure they start making out on their second or third meeting i’m warning you now there’s not a lot of",90,"rationalization","done","41C","of","32B","of","41C","of","31B",0.519999999996799,FALSE
"40","""If I could keep you little,","if i could keep",5,"you","you","5","you","4","you","41A","you","41B",0.510000000002037,TRUE
"41","After catching a cab to dinner at Boon Tong Kee (post to come shortly), a restaurant recommended by my uncle - also a foodie! :) - we dragged ourselves back onto the HiPPO boat for one last ride, to capture the nighttime experience and views.","after catching a cab to dinner at boon tong kee",11,"post","post","4","kee","41C","to","3","post","31A",0.680000000000291,TRUE
"42","C.A.T. is looking for more pictures of cute animals with their tongues sticking out. Email cuteanimaltongues at gmail dot com with yours!","cat is looking for more pictures of cute animals with their tongues sticking out email cuteanimaltongues",17,"at","email","32C","my","21","or","21","en","21",0.360000000000582,FALSE
"43","And there you have it – something which can’t be ignored","and there you have it – something which can’t",10,"be","been","21","turn","21","the","21","of","21",0.290000000000873,FALSE
"44","individually and as a band in the studio, along with interviews","individually and as",4,"a","as","31B","soon","3","a","3","as","3",0.220000000001164,TRUE
"45","to do this in remembrance of Him. Luke 22:19","to do this in",5,"remembrance","own","4","other","41B","as","41C","just","41C",0.419999999998254,FALSE
"46","Frightful's Daughter Meets the Baron Weasel (2007) - Picture Book","frightfuls daughter meets the",5,"baron","planet","3","the","31B","baron","3","the","21",0.279999999998836,TRUE
"47","Her father smiled. ""They take just a tiny bit of your qi, your soul energy, when you're initiated and at various other points during your time there. I don't know how, but they make gold from it.""","her father smiled they take just a tiny bit of your qi your soul energy when youre initiated and at various",22,"other","other","4","other","31A","from","3","at","32C",0.580000000001746,TRUE
"48","The City Council prefers to manage the council housing instead of an Arms Length Management Organisation in order to “save money by not having a separate organisation”.","the city council prefers to manage the council housing instead of an arms length management organisation in order to “save",21,"money","the","41C","some","41C","out","41C","miss","41C",0.459999999999127,FALSE
"49","This stuff is actually happening. It’s threatening our survival. And it’s not just the environment. And I’m writing it to know that, among the peaceful: you are not crazy for thinking that we are approaching a turning point in our country where the realities of decades of profit-over-all-else mentality are becoming not just undeniable, but are confronting us in our day to day lives in ways we did not think was possible in a country that now seems, in retrospect, to have been the least Western, least democratically-minded country to be considered so. And that turning point might require widespread civil disobedience, in the name of the environmental and economic survival of our country and our people (as well, of course, as the vast masses like us all around the world, in other countries).","this stuff is actually happening it’s threatening our survival and it’s not just the environment and i’m writing it to know that among the peaceful you are not crazy for thinking that we are approaching a turning point in our country where the realities of decades of profitoverallelse mentality are becoming not just undeniable but are confronting us in our day to day lives in ways we did not think was possible in a country that now seems in retrospect to have been the least western least democraticallyminded country to be",92,"considered","be","31B","work","31B","able","3","way","3",0.430000000000291,FALSE
"50","I decided to get creative with the leftovers of the rainbow cake... instead of doing the mini cupcake rainbow I had planned. It worked out SO well and I don't think it turned out too bad.","i decided to get creative with the leftovers of the rainbow cake instead",14,"of","instead","31B","cake","42F","a","42E","of","3",0.599999999998545,TRUE
"51","At the back of the shop there is a little cafe which is the pretence of this post- the menu is pretty simple, just fry ups (£3.50) sandwiches (around £1.50) and jacket potatoes (around £2). I had a tuna mayo salad and a latte which came to a grand total of £3.50.","at the back of the shop there is a little cafe which is the pretence of this post",19,"the","the","4","the","31A","year","51D","post","51D",0.970000000001164,TRUE
"52","Sunday the festivities continued. I went BACK to Shadowbox to see Back to the Garden again. (Told ya I love that place). Then after that was over, I had to work at the store. It was Survivor finale night, and we do a special Survivor crop each season, so I had to go host that.","sunday the festivities continued i went back to shadowbox to see back to the garden again told ya i love that place then after that was over i had to work at the store it was survivor finale night and we",42,"do","a","4","we","41C","we","32B","do","4",0.480000000003201,TRUE
"53","He grabs my arm and yanks me around to face him. I slam into his chest with a thud that jars my bones and knocks the fight right out of me. I stumble back, away from him, and fold my arms across my chest to cover the logo of Sam’s sweatshirt.","he grabs my arm and yanks me around to face him i slam into his chest with a thud that jars my bones and knocks the",27,"fight","fight","4","fight","3","the","41C","knocks","42F",0.619999999995343,TRUE
"54","Fox: DUDE ARE YOU FRIGGING KIDDING ME??? IF YOU DON’T DO THIS, THEN I WILL F*****G CASTRATE YOU! THEN YOU WONT HAVE TO WORRY ABOUT ANY LOVE LIFE.","fox dude are you frigging kidding me if you don’t do this then i will fg castrate you then you wont have to worry",25,"about","about","4","worry","41C","about","31A","to","42F",0.709999999999127,TRUE
"55","Just go away.","just go",3,"away","away","3","back","2","home","2","service","2",0.0800000000017462,TRUE
"56","bunny drop Complete Series Premium Edition","bunny drop complete series premium",6,"edition","series","32C","be","2","features","2","may","2",0.290000000000873,FALSE
"57","To see all the PACA (Provence Alpes Côte d'Azur) Michelin rankings, go here:","to see all the paca provence alpes c�te dazur michelin rankings",12,"go","go","3","here","2","michelin","32C","go","2",0.360000000000582,TRUE
"58","The concept of the King's Peace first appeared during the reign of Richard I in 1195. Peace was henceforth to be seen as the responsibility of the king, and its breach required that the culpable parties be answerable to him. During the reign of Edward III in 1361, Justices of the Peace were appointed for the first time. The Crown, in effect, was claiming a monopoly on violence in the realm, and appointing officials to enforce it.","the concept of the kings peace first appeared during the reign of richard i in peace was henceforth to be seen as the responsibility of the king and its breach required that the culpable parties be answerable to him during the reign of edward iii in justices of the peace were appointed for the first time the crown in effect was claiming",63,"a","a","3","monopoly","2","claiming","31B","was","42F",0.580000000001746,TRUE
"59","After the war memorial, and Northwood Station, we turned right just after St Helen's School towards Northwood Hills. My two South London colleagues were pleased that there actually was a hill. We were surprised at the number of closed-down shops in this apparently affluent area, but the William Jolle pub still seemed to be thriving. (Because it is a Wetherspoons establishment, I can tell you that he was a local 14th century resident) The former pub opposite had, however, metamorphosed into the Namaste Lounge.","after the war memorial and northwood station we turned right just after st helens school towards northwood hills my two south london colleagues",24,"were","london","42F","london","32C","its","2","getting","2",0.389999999999418,FALSE
"60","Craft beer pubs blog post is on the back burner - I really wanted to get the next blog out there while the fire burns bright in my heart about it","craft beer pubs blog post is",7,"on","on","5","the","4","on","41A","on","41B",0.799999999995634,TRUE
"61","I gave Nick S a call before I got there and he told me that Tim CC was on his way up to get it, so I did a quick pass 500′ over a couple of pilots on takeoff, then headed back over Aber.","i gave nick s a call before i got",10,"there","got","51D","got","41C","i","52J","to","4",0.910000000003492,FALSE
"62","& Kalabokisio (Corn Puree)","kalabokisio",2,"corn","corn","2",NA,NA,NA,NA,NA,NA,0.0499999999956344,TRUE
"63","Often I think she doesn't even hear the words. She just gets up and invites the music to take over her body.","often i think she doesnt even hear the words she just gets",13,"up","and","4","gets","41C","just","42F","and","3",0.669999999998254,FALSE
"64","3/4 C Dairy Free, Soy-Free Vegetable Shortening (we use Spectrum)","c dairy",3,"free","soyfree","3","free","3","soyfree","2","blizzard","2",0.190000000002328,TRUE
"65","That’s why there’s cache. Cache-memory access is almost as fast as register access, but you can have a lot of cache memory—comparatively. L1 caches typically have 32 or 64Kbyte capacities and often there are independent caches for instructions and data. Caches take a huge load off main memory, relieving the pressure to speed up main-memory access.","that’s why there’s cache cachememory access is almost",9,"as","as","4","fast","3","as","31A","as","31B",0.510000000002037,TRUE
"66","“When one has seen one house he has seen them all, the same everlasting high stoops and gloomy brown-stone fronts, the same number of holes punched in exactly the same places,” Osman quotes a late 19th century writer as lamenting. “The new brownstone and trolley grid inspired 19th century eulogies for a real and imagined agricultural landscape,” Osman writes.","“when one has seen one house he has seen them all the same everlasting high stoops and gloomy brownstone fronts the same number of holes punched in exactly the same places” osman quotes a late",36,"th","th","4","late","41C","th","31A","th","31B",0.599999999998545,TRUE
"67","Here’s a great way to use both eggs and leftover noodles for a satisfying dish. Paula Super, of Merrimack, writes:","here’s",2,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"68","The message of Journey of the Universe shows how we are not just a part of this astonishing process, we are at the very edge of evolution, a primate species that has found in its language and symbols the power to take over the very evolutionary process itself. But this control that we now exercise comes with a responsibility; and viewers of Journey of the Universe will not only be imbued with a sense of astonishment at all that has taken place, they will also come to feel the excitement in learning that now we live in a time when the human species is being asked to play a central role in activating the flourishing powers of Earth’s living systems.","the message of journey of the universe shows how we are not just a part of this astonishing process we are at the very edge of evolution a primate species that has found in its language and symbols the power to take over",44,"the","over","41C","take","42F","ok","4","the","4",0.639999999999418,TRUE
"69","They are both chunky knits and were a complete bargain-the green was £1 and the multi colour knit was £2!! The charity shops have now started putting out their winter stocks so using these knits as inspiration, why don't you go and hunt down a stylish cosy bargain for much less than the high street or designer versions?","they are both chunky knits and were a",9,"complete","complete","4","a","41C","a","32B","a","32C",0.549999999995634,TRUE
"70","Skully was struggling to breath at this point, shaking and pawing his head, gagging and his eyes reflected his fear. Poor little guy! He was also snapping his teeth, tryin' to dislodge the jerky.","skully",2,"was","struggling","2",NA,NA,NA,NA,NA,NA,0.0500000000029104,FALSE
"71","Freddie did spend some time in Vietnam too; I think he told us he used to make maps there. But we never pushed it because who knew if he would “Freak out” about it. And Freddie knew just about everything you know, politics, art, religion, history, philosophy, and most important, Brooklyn.","freddie did spend some time in vietnam too i think",11,"he","told","4","think","41C","he","31A","i","42F",0.620000000002619,TRUE
"72","you would think this man who is only one step above","you would think this man who is",8,"only","only","5","one","4","only","41A","only","41B",0.729999999995925,TRUE
"73","It's official, I made the 2012 Spellbinders team. It's been an amazing year and I am so glad that it doesn't have to end. I love this company, their products, their values, and the people who make Spellbinders what it is.","its official i made the spellbinders team its been an amazing year and i am so glad that it doesnt have to end i love this company their products their values and the people who make spellbinders",38,"what","it","2","team","2","of","32B","an","32B",0.5,FALSE
"74","I'm in the process of building out an entire enchanted forest in one inch scale as part of my set for the Myrtle short film. Trees complete with faces and jelly jars hanging from the branches filled with fireflies / will o' the wisps. It's starting to look pretty good and I'm pleased with how the glass jars light up. They're all hand-blown glass and less than 1 cm in height. So like me, this project is pretty teeny.","im in the process of building out an entire enchanted forest in one inch scale as part of my set for the myrtle short film trees complete",28,"with","with","3","complete","31B","trees","32C","in","21",0.489999999997963,TRUE
"75","I was walking back from my girlfriend’s house through Park South, a notoriously run-down area of Swindon, riddled with unemployment, anti-social behaviour and crime. It’s not the area of Swindon I normally associate with a ‘passion for politics’, but as I crossed the water logged field I saw a purple and yellow glow from a window. ‘VOTE UKIP’. Wait, what? – This took me by surprise, Park South has always been a Labour stronghold, we have all seen it in the media that the ‘smaller’ parties are going to do well tomorrow, but this really hit home for me. It’s bitter-sweet.","i was walking back from my girlfriend’s house through park south a notoriously rundown area of swindon riddled with unemployment antisocial behaviour and crime it’s not the area of swindon i normally associate with a ‘passion for politics’ but as i crossed the water logged field i saw a purple and yellow glow from a window ‘vote ukip’ wait what – this took me by surprise park south has always been a labour stronghold we have all seen it in the media that the ‘smaller’",86,"parties","the","42F","the","32C","of","31B","time","31B",0.450000000004366,FALSE
"76","Due to the nature of my job (raising children) I find my cleaning standards have slipped somewhat. After a day spent washing up, sweeping food off the kitchen floor, wiping all the surfaces, picking up toys and random objects up off every floor in the house, cooking, looking after my kids, making beds, and hanging washing out, seventeen times over, I have no remaining energy to do any actual cleaning.","due to the nature of my job raising children",10,"i","i","3","children","31B","raising","42F","they","32A",0.629999999997381,TRUE
"77","But wait, broadcast industry opponents say. Aren’t broadcasters the rich and powerful few disenfranchising the rest of the country from having ubiquitous wireless broadband? Only they won’t say it quite like that, but the point is worth examining. Just 10 to 15 percent of U.S. households rely exclusively on over-the-air television. There is some evidence of cord-cutting–i.e., people ditching pay service for free TV–but not to the extent to suggest that ratio will double anytime soon. And we don’t know much yet about the adoption rate of mobile over-the-air TV because where is it already?","but wait broadcast industry opponents say aren’t broadcasters the rich and powerful few disenfranchising the rest of the country from having ubiquitous wireless broadband only they won’t say it quite like that but the point is worth examining just to percent of us households rely exclusively on overtheair television there is some evidence of cordcutting–ie people ditching pay service for free tv–but not to the extent to suggest that ratio will double anytime soon and we don’t know much",80,"yet","about","3","what","42E","yet","3","be","32B",0.5,TRUE
"78","Our system is broken. Government serves the interest of big business and big business only serves the interest of a very few, wealthy elites. It’s time to make our economy and our politics work for working people.","our system is broken government serves the interest",9,"of","interest","31B","a","3","big","3","of","3",0.430000000000291,TRUE
"79","Now I feel that I wasted my life, how I repent","now i",3,"feel","a","3","that","3","am","3","why","3",0.130000000004657,FALSE
"80","This time FVK provides brilliant material soundwise and musicwise. This is still weird narcotic hard core punk delivered with conviction and energy, probably their best recording so far.","this time fvk provides brilliant material soundwise and musicwise this is still weird narcotic hard core punk",18,"delivered","delivered","3","punk","31B","core","32C","with","2",0.469999999993888,TRUE
"81","Was hoping I would only have to beat cancer once, but the disease continues to foolishly pick on the wrong guy.","was hoping i",4,"would","would","4","only","3","would","31B","would","3",0.310000000004948,TRUE
"82","I rode from my house to RC1's house and when I was just about there I came to a place in the trail where it stopped suddenly with friendly 'no trespassing' signs suggesting that I find another route. Instead, I picked up my bike and crossed the rail road tracks anyway. That experience loosely parallels my week. Pushing forward, creating my own path... That or a silly rummycube analogy about switching around the tiles until they fit just right. I like thinking in metaphor.","i",2,"rode","wait","2","spent","2","longer","2","together","2",0.0499999999956344,FALSE
"83","My legs tight until","my legs tight",4,"until","until","4","until","3","until","31A","until","31B",0.25,TRUE
"84","Earlier this week, the German small business foundation filed a criminal lawsuit against the Bundesbank, accusing the board of disguising the true scale of risk born by German citizens. If they knew all that Geli wants to sign them up for, the entire nation would have a fit of the vapours.","earlier this week the german small business foundation filed a criminal lawsuit against the bundesbank accusing the board of disguising the true scale of risk born by german citizens if they knew all that geli wants to sign them up for the entire nation would have a fit",49,"of","of","5","the","4","of","41A","of","41B",0.730000000003201,TRUE
"85","they have cancer. It is important for these women to be","they have cancer it is important",7,"for","for","4","for","31A","is","42F","let","3",0.580000000001746,TRUE
"86","Devising what the day might bring:","devising what the",4,"day","the","31B","tooth","3","are","3","have","3",0.159999999996217,FALSE
"87","2010.08.27 Iraq Shurqat 3 3 A suspected al-Qaeda attack leaves three dead.","iraq shurqat",3,"a","a","3","suspected","2","a","21","shurqat","21",0.169999999998254,TRUE
"88","Jen, who said","jen who",3,"said","said","3","said","21","campus","21","responded","21",0.110000000000582,TRUE
