"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct"
"31","Never Did No Wanderin' by The Folksmen","never","did","no","wanderin'","by","c(1209, 1204, 1202)","c(1, 1, 1)","c(622, 622, 622)","c(970, 407, 355)","c(1183, 1178, 1176)","c(428, 440, 447)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.255303030303028, 0.259848484848482, 0.262499999999997)",0,FALSE
"32","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","you","have","a","special","friend","c(2342, 2364, 2353)","c(1, 1, 1)","c(2192, 2192, 2192)","c(104, 402, 206)","c(2341, 2361, 2351)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.152651515151516, 0.162121212121212, 0.181060606060606)",0.0300000000000011,FALSE
"33","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","pc","came","out","with","the","c(2072, 2068, 2064)","c(1, 1, 1)","c(989, 989, 989)","c(1031, 698, 561)","c(2017, 2014, 2010)","c(259, 321, 343)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.191287878787878, 0.214772727272726, 0.223106060606059)",0.0300000000000011,FALSE
"34","hold, to not let go",NA,NA,NA,"hold","to","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"35","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)","green","and","gold","hooped","silks","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"36","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’",NA,NA,"origin","middle","english","1126","1","577","271","1102","774","0.000378787878787879","0.38636363636363",0.00999999999999801,FALSE
"37","02 - It's All Over Now 04:01","","it's","all","over","now","c(104, 98, 99)","c(1, 1, 1)","c(28, 28, 28)","c(818, 499, 530)","c(102, 96, 97)","c(249, 285, 482)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.187499999999999, 0.201136363636363, 0.275757575757572)",0.019999999999996,FALSE
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","it","all","off","it","comes","c(955, 964, 965)","c(1, 1, 1)","c(462, 462, 462)","c(422, 858, 956)","c(935, 943, 944)","c(196, 435, 793)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.167424242424242, 0.257954545454543, 0.393560606060599)",0.0200000000000031,FALSE
"39","(2 Corinthians 10:5).",NA,NA,NA,"","corinthians","NA","NA","NA","NA","NA","NA","NA",NA,0.00999999999999801,FALSE
"40","He wasn't home alone, apparently.",NA,"he","wasn't","home","alone","c(813, 1974)","c(1, 1)","c(405, 957)","c(77, 70)","c(799, 1922)","c(528, 405)","c(0.00058343057176196, 0.00058343057176196)","c(0.361143523920657, 0.289381563593935)",0.340000000000003,FALSE
"41","The St. Louis plant had to close. It would die of old age. Workers had been making cars there since the onset of mass automotive production in the 1920s.","workers","had","been","making","cars","c(1091, 320, 321)","c(1, 1, 1)","c(548, 97, 97)","c(682, 324, 926)","c(1067, 314, 315)","c(344, 914, 558)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)","c(0.223484848484847, 0.439393939393931, 0.378646441073516)",0.019999999999996,FALSE
"42","WSU's plans quickly became a hot topic on local online sites. Though most people applauded plans for the new biomedical center, many deplored the potential loss of the building.","became","a","hot","topic","on","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"43","The Alaimo Group of Mount Holly was up for a contract last fall to evaluate and suggest improvements to Trenton Water Works. But campaign finance records released this week show the two employees donated a total of $4,500 to the political action committee (PAC) Partners for Progress in early June. Partners for Progress reported it gave more than $10,000 in both direct and in-kind contributions to Mayor Tony Mack in the two weeks leading up to his victory in the mayoral runoff election June 15.","","in","both","direct","and","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
"44","And when it's often difficult to predict a law's impact, legislators should think twice before carrying any bill. Is it absolutely necessary? Is it an issue serious enough to merit their attention? Will it definitely not make the situation worse?","attention","will","it","definitely","not","c(3294, 3303, 3304)","c(1, 1, 1)","c(2652, 2652, 2652)","c(436, 897, 1002)","c(3273, 3281, 3282)","c(196, 435, 793)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.167424242424242, 0.257954545454543, 0.393560606060599)",0.00999999999999801,FALSE
"45","I was just trying to hit it hard someplace, said Rizzo, who hit the pitch to the opposite field in left-center. Im just up there trying to make good contact.","hit","it","hard","someplace","said","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"46","""Cheap,"" he said. ""He hit me hard enough for me to really feel it."" And then Batum rose to his feet, squared his elbows up and performed his best elbow-throwing impression of the Suns 6-foot-10 forward.","then","batum","rose","to","his","c(1865, 1833, 1876)","c(1, 1, 1)","c(898, 898, 898)","c(848, 257, 945)","c(1816, 1785, 1825)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.164393939393939, 0.193560606060605, 0.201893939393938)",0.00999999999999801,FALSE
"47","Born on April 15, 1925 in Pozzuoli, Naples, Italy she resided in North Plainfield since her marriage in 1945.","","in","pozzuoli","naples","italy","NA","NA","NA","NA","NA","NA","NA",NA,0.0200000000000031,FALSE
"48","The first is the love of self and the second, the love of money. Two Greek words, philautos and philargyros, succinctly express these concepts. Both, I detect, lie at the root of the world's problems. Certainly, this diagnosis is not novel. Why then are these destructive personality traits chronic in the human experience? Further, why are people who possess these attributes permitted to run rampant through communities and societies to the detriment of the greater population? The Protester seeks to curb the second phenomenon.","these","destructive","personality","traits","chronic","NA","NA","NA","NA","NA","NA","NA",NA,0.00999999999999801,FALSE
"49","-- Also consider: 2004 Wyndham Bin 444 South Eastern Australia Cabernet Sauvignon ($11)","bin","","south","eastern","australia","c(569, 570, 1544)","c(1, 1, 2)","c(266, 266, 815)","c(239, 685, 635)","c(562, 563, 1507)","c(742, 775, 128)","c(0.000378787878787879, 0.000378787878787879, 0.000757575757575758)","c(0.374242424242418, 0.386742424242418, 0.134090909090909)",0.019999999999996,FALSE
"50","Added East Orange Mayor Robert Bowser: ""We will not tolerate this kind of violence. ... The shooter picked the wrong city. He will be apprehended.""","violence","","the","shooter","picked","c(1720, 1692, 1724)","c(1, 1, 1)","c(876, 876, 876)","c(776, 470, 845)","c(1678, 1652, 1682)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.159469696969697, 0.17310606060606, 0.174621212121212)",0.0200000000000031,FALSE
"51","""Looking back on it now, I realize that if I would have stayed there, it would have gotten worse and I wouldn't be where I am now.""","realize","that","if","i","would","c(3186, 3190, 3174)","c(1, 1, 1)","c(2606, 2606, 2606)","c(789, 1027, 253)","c(3170, 3174, 3159)","c(406, 433, 711)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.246969696969694, 0.257196969696967, 0.362499999999994)",0.0600000000000023,FALSE
"52","If you're in the market for gently used, high-quality furniture, you'll want to check out ReDesign Home Consignment in Royal Oak. The other day, a lovely and traditional Thomasville dining table with eight chairs was less than $1,200.","furniture","you'll","want","to","check","c(1865, 1833, 1876)","c(1, 1, 1)","c(898, 898, 898)","c(848, 257, 945)","c(1816, 1785, 1825)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.164393939393939, 0.193560606060605, 0.201893939393938)",0.0300000000000011,FALSE
"53","Today's birthday (May 9): You have amazing powers of visualization. You'll paint your ideal world in words and images and then take steps to make it real.","words","and","images","and","then","c(2508, 2543, 2505)","c(1, 1, 1)","c(2232, 2232, 2232)","c(1116, 957, 447)","c(2503, 2537, 2500)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.168939393939394, 0.203030303030302, 0.215530303030301)",0.029999999999994,FALSE
"54","The conference is reportedly working toward a new television deal with ESPN, and Neinas was pushing members to agree to a longterm grant of media rights to the league that would make it all but impossible for schools to bolt.","members","to","agree","to","a","c(1865, 1833, 1876)","c(1, 1, 1)","c(898, 898, 898)","c(848, 257, 945)","c(1816, 1785, 1825)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.164393939393939, 0.193560606060605, 0.201893939393938)",0.0300000000000011,FALSE
"55","Not just by the one who's left at home, wondering whose number that is on your cellphone and where you got those grass stains on your shirt collar, but also by the third party who can reject your advances to go with another suitor.","who","can","reject","your","advances","c(2119, 2121, 2122)","c(1, 1, 3)","c(1010, 1010, 1010)","c(233, 390, 672)","c(2064, 2066, 2067)","c(1065, 309, 22)","c(0.000378787878787879, 0.00058343057176196, 0.00113636363636364)","c(0.496590909090899, 0.233372228704786, 0.0446969696969697)",0,FALSE
"56","It isn’t a question of whether the school wants the former Florida and Utah coach. It’s a question of whether he wants the school. Why would he step into this cesspool when he can have his pick of jobs?","would","he","step","into","this","c(1560, 926)","1:2","c(829, 454)","c(342, 897)","c(1523, 907)","c(189, 143)","c(0.000378787878787879, 0.000757575757575758)","c(0.164772727272727, 0.145454545454546)",0.0200000000000031,FALSE
"57","At Fontbonne University, Study Abroad director, Gail Schafers, conceded that most students interested in study abroad opportunities were choosing summer and short term travel programs that last between three and four weeks. To conduct these programs, Fontbonne partners with a consortium of other private universities.","a","consortium","of","other","private","c(3672, 3670, 3674)","c(1, 1, 1)","c(2845, 2845, 2845)","c(364, 52, 752)","c(3636, 3634, 3638)","c(158, 682, 818)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.153030303030303, 0.351515151515146, 0.403030303030296)",0.0399999999999991,FALSE
"58","After the blue wall was painted I decided to brighten up the dining room table and chairs. Three of the five chairs were painted the same cream color as the interior trim, and a bold green replaced the mustard yellow on the table base.","and","a","bold","green","replaced","745","1","373","803","733","89","0.00165562913907285","0.170529801324503",0.019999999999996,FALSE
"59","Medina Sting 2, North York Blues 6","sting","","north","york","blues","2103","1","1008","916","2048","917","0.000378787878787879","0.440530303030295",0.0200000000000031,FALSE
"60","""(Abby's) one of 10 (siblings) and I'm one of two,"" Sharp said. ""I think somewhere between two and 10 we'll compromise.""","of","","siblings","and","i'm","c(169, 204, 166)","c(1, 1, 1)","c(42, 42, 42)","c(491, 918, 434)","c(165, 199, 162)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.168939393939394, 0.203030303030302, 0.215530303030301)",0.0300000000000011,FALSE
"61","After last night’s match, she sat in her chair next to the umpire’s stand and tried to keep from crying — it was the fewest amount of games won in a women’s U.S. Open final since 1976.","match","she","sat","in","her","c(3241, 3243, 3244)","c(1, 1, 1)","c(2626, 2626, 2626)","c(941, 1047, 1087)","c(3221, 3223, 3224)","c(191, 301, 372)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.165530303030303, 0.207196969696968, 0.234090909090907)",0.00999999999999801,FALSE
"62","Laura Taiby says she last saw her daughter, Laudan Taiby, as she was leaving their home in the 6700 block of Southwest 14th Avenue in the Hillsdale area about 5 p.m. Monday.","she","last","saw","her","daughter","c(795, 1470)","c(1, 1)","c(394, 762)","c(328, 897)","c(781, 1434)","c(898, 271)","c(0.000378787878787879, 0.00165562913907285)","c(0.433333333333325, 0.471854304635763)",0.0200000000000031,FALSE
"63","Another strong month of hiring makes it less likely that the Federal Reserve will take additional steps to boost the economy at its meeting next week.",NA,NA,NA,"another","strong","c(215, 214, 213)","c(1, 1, 1)","c(45, 45, 45)","c(664, 451, 234)","c(210, 209, 208)","c(642, 92, 32)","c(0.000378787878787879, 0.00058343057176196, 0.00165562913907285)","c(0.336363636363631, 0.106767794632439, 0.076158940397351)",0.00999999999999801,FALSE
"64","When Junior walked into the memorial service Sunday, ""it was a surprise to everyone,"" Doug Smith, Oceanside's postmaster, told me.","sunday","it","was","a","surprise","c(2342, 2364, 2353)","c(1, 1, 1)","c(2192, 2192, 2192)","c(104, 402, 206)","c(2341, 2361, 2351)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.152651515151516, 0.162121212121212, 0.181060606060606)",0.0499999999999972,FALSE
"65","Perhaps it's time to make the situation worse. Or, more precisely, to square your shoulders against your guiding fear, that wave of disapproval. First, accept that it's probably coming anyway, no matter what you do.","to","make","the","situation","worse","c(3857, 3856, 4059)","c(1, 1, 1)","c(2987, 2987, 3066)","c(708, 545, 810)","c(3819, 3818, 4016)","c(333, 761, 175)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)","c(0.21931818181818, 0.381439393939387, 0.159469696969697)",0.0600000000000023,FALSE
"66","""I kept pitching like it was a one-run game,"" he said. ""I never even looked at the scoreboard.""",NA,"i","kept","pitching","like","NA","NA","NA","NA","NA","NA","NA",NA,0,FALSE
