"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","timeToPredict","Correct","prediction8"
"19","Well, I'm off to clean up my craft space since it's a mess after working on my projects for this fun hop! Have a wonderful week everyone and I hope to have a project or two to share very soon! Until next time, take care!","very","soon","until","next","time","c(3943, 2399, 2398)","c(1, 1, 1)","c(1717, 1078, 1078)","c(1626, 1869, 268)","c(3811, 2317, 2316)","c(1467, 268, 291)","c(0.000378787878787879, 0.00058343057176196, 0.00165562913907285)",0.0300000000000011,FALSE,"c(0.648863636363622, 0.209451575262545, 0.50496688741722)"
"20","Almighty and everlasting God, by whose Spirit the whole body of your faithful people is governed and sanctified: Receive our supplications and prayers which we offer before you for all members of your holy Church, that in their vocation and ministry they may truly and devoutly serve you; through our Lord and Savior Jesus Christ. Amen.","vocation","and","ministry","they","may","c(3648, 3647, 3644)","c(1, 1, 1)","c(1619, 1619, 1619)","c(1429, 1081, 354)","c(3537, 3536, 3533)","c(230, 890, 1832)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.18030303030303, 0.430303030303022, 0.787121212121193)"
"21","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","and","still","be","a","very","c(4464, 4507, 4486)","c(1, 1, 1)","c(4030, 4030, 4030)","c(151, 684, 322)","c(4457, 4494, 4475)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0799999999999983,FALSE,"c(0.152651515151516, 0.162121212121212, 0.181060606060606)"
"22","Hmmm... In terms of traditional instruments we have things like a zither, a euphonium and a harmonium in there and I think a nose flute made it to the finished mix too. But I'm no Harry Partch or even Thomas Truax come to that. Life's hard enough. Having said that, I wouldn't mind having a bash on Truax's Mother Superior!","flute","made","it","to","the","c(3823, 3765, 3839)","c(1, 1, 1)","c(1651, 1651, 1651)","c(1527, 455, 1716)","c(3696, 3643, 3708)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0500000000000043,FALSE,"c(0.164393939393939, 0.193560606060605, 0.201893939393938)"
"23","could be added to the gallery wall.",NA,NA,"could","be","added","c(583, 588, 595)","c(1, 1, 1)","c(155, 155, 155)","c(791, 1235, 1626)","c(556, 561, 567)","c(238, 309, 492)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.029999999999994,FALSE,"c(0.183333333333333, 0.210227272727271, 0.279545454545451)"
"24","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","have","anything","new","to","say","c(3823, 3765, 3839)","c(1, 1, 1)","c(1651, 1651, 1651)","c(1527, 455, 1716)","c(3696, 3643, 3708)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.164393939393939, 0.193560606060605, 0.201893939393938)"
"25","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","","sexiest","women","alive","list","NA","NA","NA","NA","NA","NA","NA",0.00999999999999801,FALSE,NA
"26","M. Blakeman Ingle",NA,NA,NA,"m","blakeman","NA","NA","NA","NA","NA","NA","NA",0.0200000000000031,FALSE,NA
"27","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","were","making","their","own","entertainment","c(2705, 2703, 2704)","c(1, 1, 1)","c(1144, 1144, 1144)","c(823, 521, 568)","c(2611, 2609, 2610)","c(260, 373, 524)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.191666666666666, 0.234469696969695, 0.291666666666663)"
"28","In shrouds of words,",NA,NA,"in","shrouds","of","c(1811, 1815, 1818)","c(1, 1, 1)","c(787, 787, 787)","c(1635, 1813, 1878)","c(1743, 1747, 1750)","c(191, 301, 372)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.165530303030303, 0.207196969696968, 0.234090909090907)"
"29","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","the","typical","art","deco","interior","NA","NA","NA","NA","NA","NA","NA",0.00999999999999801,FALSE,NA
"30","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!","bikini","is","offering","our","amazing","c(2670, 2678, 2676)","c(1, 1, 1)","c(1137, 1137, 1137)","c(170, 1322, 942)","c(2577, 2585, 2583)","c(206, 470, 1341)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0499999999999972,FALSE,"c(0.171212121212121, 0.271212121212118, 0.60113636363635)"
"31","Never Did No Wanderin' by The Folksmen","did","no","wanderin'","by","the","c(750, 754, 762)","c(1, 1, 1)","c(230, 230, 230)","c(904, 1107, 1836)","c(719, 723, 730)","c(168, 225, 355)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.156818181818182, 0.17840909090909, 0.227651515151513)"
"32","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","he","said","maybe","a","puppet","c(3, 46, 25)","c(1, 1, 1)","c(2, 2, 2)","c(157, 709, 335)","c(3, 40, 21)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.152651515151516, 0.162121212121212, 0.181060606060606)"
"33","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","cartridge","i","knew","i","had","c(1713, 1724, 1685)","c(1, 1, 1)","c(761, 761, 761)","c(1340, 1778, 429)","c(1652, 1663, 1629)","c(406, 433, 711)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.246969696969694, 0.257196969696967, 0.362499999999994)"
"34","hold, to not let go","hold","to","not","let","go","c(2069, 2457, 2455)","c(1, 1, 1)","c(905, 1094, 1094)","c(674, 1626, 1558)","c(1994, 2373, 2371)","c(1902, 174, 408)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0399999999999991,FALSE,"c(0.813636363636344, 0.159090909090909, 0.24772727272727)"
"35","(Tight finish between Neptune Collonges (grey with yellow silks) and Sunnyhillboy (bay with green and gold hooped silks) in the National)","and","gold","hooped","silks","in","NA","NA","NA","NA","NA","NA","NA",0.019999999999996,FALSE,NA
"36","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","french","joie","based","on","latin","c(7052, 7039, 7062)","c(1, 1, 1)","c(5144, 5144, 5144)","c(1422, 1828, 1624)","c(6955, 6942, 6963)","c(251, 399, 651)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0600000000000023,FALSE,"c(0.188257575757575, 0.244318181818179, 0.339772727272722)"
"37","02 - It's All Over Now 04:01",NA,"","","it's","all","c(1907, 1909, 1908)","c(1, 1, 1)","c(829, 829, 829)","c(609, 1761, 1131)","c(1838, 1840, 1839)","c(2094, 986, 1215)","c(0.000378787878787879, 0.00058343057176196, 0.00058343057176196)",0.0200000000000031,FALSE,"c(0.886363636363615, 0.628354725787625, 0.761960326721103)"
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","a","milky","white","liquid","that","c(4163, 4161, 4160)","c(1, 1, 1)","c(1792, 1792, 1792)","c(1828, 985, 370)","c(4019, 4017, 4016)","c(357, 800, 534)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)",0.00999999999999801,FALSE,"c(0.228409090909089, 0.396212121212114, 0.364644107351228)"
"39","(2 Corinthians 10:5).",NA,NA,NA,"","corinthians","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"40","He wasn't home alone, apparently.",NA,NA,NA,"he","wasn't","c(1553, 1552, 1549)","c(1, 1, 1)","c(706, 706, 706)","c(1141, 1065, 736)","c(1499, 1498, 1495)","c(295, 1010, 2016)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.019999999999996,FALSE,"c(0.204924242424241, 0.475757575757566, 0.856818181818161)"
"41","The St. Louis plant had to close. It would die of old age. Workers had been making cars there since the onset of mass automotive production in the 1920s.","since","the","onset","of","mass","c(2508, 2514, 2509)","c(1, 1, 1)","c(1106, 1106, 1106)","c(766, 1037, 842)","c(2422, 2428, 2423)","c(163, 185, 195)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.154924242424243, 0.163257575757576, 0.167045454545454)"
"42","WSU's plans quickly became a hot topic on local online sites. Though most people applauded plans for the new biomedical center, many deplored the potential loss of the building.","topic","on","local","online","sites","2128","1","932","1313","2052","1472","0.00058343057176196",0.00999999999999801,FALSE,"0.911901983663914"
"43","The Alaimo Group of Mount Holly was up for a contract last fall to evaluate and suggest improvements to Trenton Water Works. But campaign finance records released this week show the two employees donated a total of $4,500 to the political action committee (PAC) Partners for Progress in early June. Partners for Progress reported it gave more than $10,000 in both direct and in-kind contributions to Mayor Tony Mack in the two weeks leading up to his victory in the mayoral runoff election June 15.","two","employees","donated","a","total","c(3, 46, 25)","c(1, 1, 1)","c(2, 2, 2)","c(157, 709, 335)","c(3, 40, 21)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.152651515151516, 0.162121212121212, 0.181060606060606)"
"44","And when it's often difficult to predict a law's impact, legislators should think twice before carrying any bill. Is it absolutely necessary? Is it an issue serious enough to merit their attention? Will it definitely not make the situation worse?","bill","is","it","absolutely","necessary","c(6381, 6400, 6402)","c(1, 1, 1)","c(4856, 4856, 4856)","c(740, 1479, 1660)","c(6305, 6321, 6323)","c(196, 435, 793)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.167424242424242, 0.257954545454543, 0.393560606060599)"
"45","I was just trying to hit it hard someplace, said Rizzo, who hit the pitch to the opposite field in left-center. Im just up there trying to make good contact.","trying","to","make","good","contact","c(1456, 1459, 1455)","c(1, 1, 1)","c(666, 666, 666)","c(783, 1791, 472)","c(1408, 1411, 1407)","c(1051, 1645, 1801)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0700000000000003,FALSE,"c(0.491287878787869, 0.716287878787862, 0.775378787878769)"
"46","""Cheap,"" he said. ""He hit me hard enough for me to really feel it."" And then Batum rose to his feet, squared his elbows up and performed his best elbow-throwing impression of the Suns 6-foot-10 forward.","performed","his","best","elbowthrowing","impression","c(637, 636)","c(1, 1)","c(172, 172)","c(1662, 1225)","c(608, 607)","c(263, 769)","c(0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.192803030303029, 0.38446969696969)"
"47","Born on April 15, 1925 in Pozzuoli, Naples, Italy she resided in North Plainfield since her marriage in 1945.","pozzuoli","naples","italy","she","resided","c(3065, 3062, 3063)","c(1, 1, 1)","c(1416, 1416, 1416)","c(1839, 716, 1377)","c(2968, 2965, 2966)","c(297, 912, 346)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)",0.0300000000000011,FALSE,"c(0.205681818181817, 0.438636363636355, 0.254959159859979)"
"48","The first is the love of self and the second, the love of money. Two Greek words, philautos and philargyros, succinctly express these concepts. Both, I detect, lie at the root of the world's problems. Certainly, this diagnosis is not novel. Why then are these destructive personality traits chronic in the human experience? Further, why are people who possess these attributes permitted to run rampant through communities and societies to the detriment of the greater population? The Protester seeks to curb the second phenomenon.","the","root","of","the","world's","c(8012, 7952, 8027)","c(1, 1, 1)","c(5636, 5636, 5636)","c(1322, 802, 1456)","c(7896, 7839, 7910)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0599999999999952,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"49","-- Also consider: 2004 Wyndham Bin 444 South Eastern Australia Cabernet Sauvignon ($11)",NA,"","also","consider","","c(212, 219, 222)","c(1, 1, 1)","c(51, 51, 51)","c(2, 1024, 1570)","c(200, 207, 210)","c(277, 458, 586)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.19810606060606, 0.266666666666664, 0.315151515151511)"
"50","Added East Orange Mayor Robert Bowser: ""We will not tolerate this kind of violence. ... The shooter picked the wrong city. He will be apprehended.""","violence","","the","shooter","picked","c(3551, 3491, 3566)","c(1, 1, 1)","c(1608, 1608, 1608)","c(1381, 831, 1521)","c(3442, 3385, 3456)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"51","""Looking back on it now, I realize that if I would have stayed there, it would have gotten worse and I wouldn't be where I am now.""","be","where","i","am","now","c(4699, 4700, 6174)","c(1, 1, 1)","c(4084, 4084, 4789)","c(495, 1060, 1284)","c(4680, 4681, 6106)","c(374, 1477, 406)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0600000000000023,FALSE,"c(0.234848484848483, 0.6526515151515, 0.246969696969694)"
"52","If you're in the market for gently used, high-quality furniture, you'll want to check out ReDesign Home Consignment in Royal Oak. The other day, a lovely and traditional Thomasville dining table with eight chairs was less than $1,200.","table","with","eight","chairs","was","1130","1","487","1038","1093","2066","0.000378787878787879",0.0399999999999991,FALSE,"0.875757575757554"
"53","Today's birthday (May 9): You have amazing powers of visualization. You'll paint your ideal world in words and images and then take steps to make it real.","paint","your","ideal","world","in","c(4267, 4266)","c(1, 1)","c(1828, 1828)","c(1670, 229)","c(4120, 4119)","c(336, 717)","c(0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.220454545454544, 0.364772727272721)"
"54","The conference is reportedly working toward a new television deal with ESPN, and Neinas was pushing members to agree to a longterm grant of media rights to the league that would make it all but impossible for schools to bolt.","deal","with","espn","and","neinas","c(322, 381, 316)","c(1, 1, 1)","c(71, 71, 71)","c(870, 1670, 782)","c(305, 361, 299)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.168939393939394, 0.203030303030302, 0.215530303030301)"
"55","Not just by the one who's left at home, wondering whose number that is on your cellphone and where you got those grass stains on your shirt collar, but also by the third party who can reject your advances to go with another suitor.","that","is","on","your","cellphone","c(8804, 8812, 8803)","c(1, 1, 1)","c(5882, 5882, 5882)","c(384, 1203, 343)","c(8649, 8657, 8648)","c(1065, 1161, 1784)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0799999999999983,FALSE,"c(0.496590909090899, 0.532954545454534, 0.768939393939376)"
"56","It isn’t a question of whether the school wants the former Florida and Utah coach. It’s a question of whether he wants the school. Why would he step into this cesspool when he can have his pick of jobs?","wants","the","former","florida","and","c(5801, 3542)","c(1, 1)","c(4637, 3219)","c(1056, 1056)","c(5752, 3536)","c(1278, 1273)","c(0.00058343057176196, 0.000613873542050338)",0.0300000000000011,FALSE,"c(0.798716452742103, 0.783916513198279)"
"57","At Fontbonne University, Study Abroad director, Gail Schafers, conceded that most students interested in study abroad opportunities were choosing summer and short term travel programs that last between three and four weeks. To conduct these programs, Fontbonne partners with a consortium of other private universities.","these","programs","fontbonne","partners","with","NA","NA","NA","NA","NA","NA","NA",0.00999999999999801,FALSE,NA
"58","After the blue wall was painted I decided to brighten up the dining room table and chairs. Three of the five chairs were painted the same cream color as the interior trim, and a bold green replaced the mustard yellow on the table base.","after","the","blue","wall","was","NA","NA","NA","NA","NA","NA","NA",0.0200000000000031,FALSE,NA
"59","Medina Sting 2, North York Blues 6","sting","","north","york","blues","c(4311, 4309, 4310)","c(1, 1, 1)","c(1851, 1851, 1851)","c(1663, 302, 626)","c(4164, 4162, 4163)","c(917, 2050, 777)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)",0.0300000000000011,FALSE,"c(0.440530303030295, 0.869696969696948, 0.506417736289386)"
"60","""(Abby's) one of 10 (siblings) and I'm one of two,"" Sharp said. ""I think somewhere between two and 10 we'll compromise.""","two","and","","we'll","compromise","NA","NA","NA","NA","NA","NA","NA",0.00999999999999801,FALSE,NA
"61","After last night’s match, she sat in her chair next to the umpire’s stand and tried to keep from crying — it was the fewest amount of games won in a women’s U.S. Open final since 1976.","she","sat","in","her","chair","c(1588, 1584, 1591)","c(1, 1, 1)","c(724, 724, 724)","c(589, 72, 1474)","c(1533, 1529, 1536)","c(898, 1735, 1736)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0499999999999972,FALSE,"c(0.433333333333325, 0.75037878787877, 0.750757575757558)"
