"","origLine","partialLine","nMin3Word","nMin2Word","nMin1Word","testWord","prediction","timeToPredict","Correct"
"11","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","kids","in","his","","from",NA,NA,NA
"12","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","and","in","his","","from",NA,NA,NA
"13","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","holding","in","his","","from",NA,NA,NA
"14","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","down","in","his","","from",NA,NA,NA
"15","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","the","in","his","","from",NA,NA,NA
"16","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","fort","in","his","","from",NA,NA,NA
"17","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","while","in","his","","from",NA,NA,NA
"18","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","i","in","his","","from",NA,NA,NA
"19","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","work","in","his","","from",NA,NA,NA
"20","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","later","in","his","","from",NA,NA,NA
"21","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","than","in","his","","from",NA,NA,NA
"22","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","usual","in","his","","from",NA,NA,NA
"23","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","the","in","his","","from",NA,NA,NA
"24","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","kids","in","his","","from",NA,NA,NA
"25","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","have","in","his","","from",NA,NA,NA
"26","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","been","in","his","","from",NA,NA,NA
"27","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","busy","in","his","","from",NA,NA,NA
"28","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","together","in","his","","from",NA,NA,NA
"29","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","playing","in","his","","from",NA,NA,NA
"30","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","skylander","in","his","","from",NA,NA,NA
"31","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","on","in","his","","from",NA,NA,NA
"32","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","the","in","his","","from",NA,NA,NA
"33","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","xbox","in","his","","from",NA,NA,NA
"34","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","together","in","his","","from",NA,NA,NA
"35","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","after","in","his","","from",NA,NA,NA
"36","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","kyan","in","his","","from",NA,NA,NA
"37","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","cashed","in","his","","from",NA,NA,NA
"38","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","in","in","his","","from",NA,NA,NA
"39","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","his","in","his","","from",NA,NA,NA
"40","Chad has been awesome with the kids and holding down the fort while I work later than usual! The kids have been busy together playing Skylander on the XBox together, after Kyan cashed in his $$$ from his piggy bank. He wanted that game so bad and used his gift card from his birthday he has been saving and the money to get it (he never taps into that thing either, that is how we know he wanted it so bad). We made him count all of his money to make sure that he had enough! It was very cute to watch his reaction when he realized he did! He also does a very good job of letting Lola feel like she is playing too, by letting her switch out the characters! She loves it almost as much as him.","","in","his","","from",NA,NA,NA
"41","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","i","slog","and","sun","and",NA,NA,NA
"42","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","am","slog","and","sun","and",NA,NA,NA
"43","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","enroute","slog","and","sun","and",NA,NA,NA
"44","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","to","slog","and","sun","and",NA,NA,NA
"45","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","cornwall","slog","and","sun","and",NA,NA,NA
"46","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","again","slog","and","sun","and",NA,NA,NA
"47","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","","slog","and","sun","and",NA,NA,NA
"48","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","months","slog","and","sun","and",NA,NA,NA
"49","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","of","slog","and","sun","and",NA,NA,NA
"50","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","slog","slog","and","sun","and",NA,NA,NA
"51","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","and","slog","and","sun","and",NA,NA,NA
"52","I am en-route to Cornwall again. 3/4 months of slog and sun and sea too. Always a job needs doing in a tourist town. I’m bringing my stuff back from 97 on Friday. Will need to cancel bills before I retreat. Not such a bad thing. Moved to Leeds with promise from Millies. That went nowhere. Move on.","sun","slog","and","sun","and",NA,NA,NA
"53","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","the","the","subject","of","a",NA,NA,NA
"54","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","also","the","subject","of","a",NA,NA,NA
"55","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","mention","the","subject","of","a",NA,NA,NA
"56","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","the","the","subject","of","a",NA,NA,NA
"57","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","effect","the","subject","of","a",NA,NA,NA
"58","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","on","the","subject","of","a",NA,NA,NA
"59","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","the","the","subject","of","a",NA,NA,NA
"60","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","night","the","subject","of","a",NA,NA,NA
"61","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","sky","the","subject","of","a",NA,NA,NA
"62","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","an","the","subject","of","a",NA,NA,NA
"63","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","issue","the","subject","of","a",NA,NA,NA
"64","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","we","the","subject","of","a",NA,NA,NA
"65","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","raised","the","subject","of","a",NA,NA,NA
"66","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","in","the","subject","of","a",NA,NA,NA
"67","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","our","the","subject","of","a",NA,NA,NA
"68","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","report","the","subject","of","a",NA,NA,NA
"69","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","which","the","subject","of","a",NA,NA,NA
"70","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","again","the","subject","of","a",NA,NA,NA
"71","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","was","the","subject","of","a",NA,NA,NA
"72","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","ignore","the","subject","of","a",NA,NA,NA
"73","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","by","the","subject","of","a",NA,NA,NA
"74","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","lancing","the","subject","of","a",NA,NA,NA
"75","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","parish","the","subject","of","a",NA,NA,NA
"76","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","council","the","subject","of","a",NA,NA,NA
"77","The also mention the effect on the night sky, an issue we raised in our report, which again was ignore by Lancing Parish Council!. “The use of all lighting, including that of the indoor football pitch dome, should be the subject of a planning condition to ensure that it is only utilised at appropriate times and when necessary to safeguard the ‘dark skies’ of the adjacent NP.“","the","the","subject","of","a",NA,NA,NA
