"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction","timeToPredict","Correct"
"11","Contains DMAE which provides firming and toning benefits- Enhances facial contours- An anti-inflammatory that enhances the strength of other antioxidant therapiesVitamin C Ester - Patented- A powerful antioxidant that improves firmness and elasticity- Diminishes the appearance of fine lines, wrinkles and discoloration- Imparts a radiant, smooth and luminous appearance","provides","firming","and","toning","benefits","No prediction for this word list yet",0.770000000004075,FALSE
"12","When I was four years of age I remember being at home with my mom one day when a salesman tried breaking into our home. My mom was on the phone to her sister when the guy tried every door in the house. Her and I was curled up in a corner of the kitchen hiding with the phone hoping the guy would leave. It scarred me. I have never been trusting of them since this and I haven’t had one that has changed my mind.","with","the","phone","hoping","the","cases",1.92999999999302,FALSE
"13","Point 2: If it’s a show that your kid wants, a show about a book is always better than CRACCC.",NA,NA,"point","","if","No prediction for this word list yet",0.0200000000040745,FALSE
"14","Let’s say hypothetically, there is a bomb threat inside an airport. And there is only 10 minutes remaining it will explode. Inside the building there are few whites, blacks and Asian/middle eastern descents. And one of them has the code to disarm the bomb. So what would law enforcement do in a situation like this? Conduct a random check? Or eliminate the best possibilities by checking the Middle Eastern people first? If there are statistics and reasons to believe that threat comes from a certain race, is it unlawful to profile them? If a white man goes on a killing spree then should we waste time checking black men? Same goes to blacks or any other race. Isn’t it simple and smart to stay on facts and statistics or waste time and money by trying to be politically right?","race","isnt","it","simple","and","buy",0.729999999995925,FALSE
"15","Come join us next Tuesday February 21 st for discussion on Chapter 3. We will talk about personal will, self control and the ability to stay true to ourselves as we travel through this life. The gathering is fun, free and another opportunity to meet new people.","fun","free","and","another","opportunity","for",0.860000000000582,FALSE
"16","I've also pondered a more permanent solution that involves several smaller chronological blogrolls organized by blog type (like the color codes). But that seems like a lot of work to create and maintain, and I'm not sure it would be helpful to the reader.","be","helpful","to","the","reader","last",1.22000000000116,FALSE
"17","»Scene 2: Shays’ apartment«",NA,NA,NA,"scene","","in",0.130000000004657,FALSE
"18","Prepare chicken fillets by flattening out a little on a board- They need to be thin and able to 'roll up' with a filling.","to","'roll","up'","with","a","the",0.729999999995925,FALSE
"19","Her fiction and non-fiction has appeared in many magazines and reviews including Oprah Magazine. She has been featured in the New York Times, Newsweek, Time, USA Today and on the Today Show, and NPR radio.","usa","today","and","on","the","katella",0.80000000000291,FALSE
"20","It's a sickening feeling.",NA,NA,NA,"it's","a","not",0.139999999999418,FALSE
"21","“It’s no costume, Pricklewood, I’m the real McCoy.” I then got down onto the carpet, grasped the feet of the armchair with my toes and lifted it off the ground. “How many humans do you know who can do that?” I asked.","the","real","mccoy","i","then","love",0.650000000008731,FALSE
"22","Complaining and repeating everything we already know every day will do you no good if you do not even have a dog as an early warning system or you allow your daughters to go gallivanting in the streets at night.","to","go","gallivanting","in","the","for",1.1299999999901,FALSE
"23","How many times have you heard someone say that so-and-so is too nice to tell the person they’re seeing that they want to call it quits, too nice to address unfair working conditions with their employer or too nice to ask someone to stop using that seat on the subway as a foot stool? There certainly are people who are soft-spoken and decidedly non-confrontational. But that doesn’t mean they’re nicer relative to everyone else. It’s just their personality. You can be assertive, honest and even outspoken and still be a very nice person.","that","seat","on","the","subway","th",0.970000000001164,FALSE
"24","Actually, this April 15, 1912, headline was based on preliminary news and was in error. The final tally shows that 1,513 lives were lost in the sinking of the Titanic, and there were only 711 survivors.","","","headline","was","based","a",0.830000000001746,FALSE
"25","I’ll wear pajamas and give up pajahmas.","pajamas","and","give","up","pajahmas","on",0.0399999999935972,FALSE
"26","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","up","to","get","another","soft","it",3.2100000000064,FALSE
"27","- Food and drink disliking. I’m not really sure what the correct term is for this, but I developed a dislike for almost all of the foods that I once liked, and couldn’t drink fizzy pop at all! I think I may have literally lived on pickled onion space raiders and fruit juice for the entire first trimester…and possibly a lot of the second.","term","is","for","this","but","weekend",0.820000000006985,FALSE
"28","I recently tried a super fabulous restaurant that you MUST MUST try. I usually don't give restaurant recommendations, so trust me on this one. I decided to go down to South Norwalk and check out The SoNo Baking Company and Cafe that Martha Stewart is always yammering on about on Martha. This tiny hidden jewel was started by John Barricelli, who works for Martha and also hosts Everyday Baking on PBS. It is Fa. Bu. Lous. Seriously, that good. We had lunch and I tried a Cobb Salad that elevated the usual blah salad to a culinary masterpiece. I sat at the counter in front of a huge glass window and watched people roll out chocolate croissants with a vintage roller while I ate. (If you are a big geek, that is a huge thrill.) At one point in the meal, I actually saw John Barricelli through the glass instructing one of the bakers on how to place the chocolate chunks perfectly in the croissant. I considered banging on the glass to blow kisses and get my photo taken with him but I decided I had done that enough recently with both her and her, so I decided to play it cool and just eat my lunch quietly. I also brought home a huge selection of pastries and enjoyed every single one (in the name of research, not gluttony, mind you). John is coming out with a cookbook in early March. You can be a geek like me and pre-order your copy on Amazon today. The cafe is located right near the South Norwalk Aquarium and makes a good drive on a cold winter's day.","in","the","meal","i","actually","love",0.75,FALSE
"29","Sphere: V = 4/3",NA,NA,"sphere","v","","england",0.159999999988941,FALSE
"30","I’m sad you can’t be with us but we know you’ll be watching. I don’t know if you ever got to eat at Longhorn or not but I hear they cook a really mean steak.","at","longhorn","or","not","but","is",0.75,FALSE
"31","Of course it goes without saying that all the music above would probably have been familiar to Gardel's audience, too. But it's not that widely known here. It's not difficult or inaccessible music, but it's not a routine part of the popular culture in the same way that it would have been when Gardel was playing El dia que mi quieras, or even as it was when my grandmother's relations were making their own entertainment in Australia with performances of Bizet's Au fond du temple saint.","of","course","it","goes","without","hurts",1.5,FALSE
"32","Oh yeah! Last year I was really Spicin' Things Up in the Kitchen! It was Hot Hot! Nope, the hubs and I weren't getting all romantical, we were installing tin into our cabinet for our spices! Get your heads out of the gutter!!","year","i","was","really","spicin'","overall",0.0599999999976717,FALSE
"33","We talked for a few minutes, and I thanked the secretaries for taking care of my son, and I suggested we go home. My son aggreed and said thank you to the secretaries and placed a death grip on my hand and didn't let go all the way to the parking lot.","aggreed","and","said","thank","you","you",0.780000000013388,TRUE
"34","In shrouds of words,",NA,NA,NA,"in","shrouds","the",0.129999999990105,FALSE
"35","BRAAMFONTEIN: Johannesburg Theatre manager Rulov Senekal (67) murdered in his apartment by two black attackers.",NA,"braamfontein","johannesburg","theatre","manager","lackland",0.0800000000017462,FALSE
"36","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","travis","banton","one","of","the","the",0.779999999998836,TRUE
"37","Tomorrow only! May 2, 2012 bride bikini is offering our amazing customers a 5% discount off your entire purchase!!!",NA,NA,NA,"tomorrow","only","for",0.0299999999988358,FALSE
"38","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","much","did","you","have","a","a",0.169999999998254,TRUE
"39","You die?",NA,NA,NA,"you","die","are",0.0200000000040745,FALSE
"40","Didn’t quite make church Sunday morning. Sleeping right up to check out causes a bit of a mad rush to get up and get out.","quite","make","church","sunday","morning","brunch",0.779999999998836,FALSE
"41","Outfit Specs: Click piccy to be taken to it's flickr page for more information.","click","piccy","to","be","taken","a",0.889999999999418,FALSE
"42","Economists said the cut was an admission by the RBA that it had misread the economy over recent months, failing to recognize that despite a record mining-investment boom the vast bulk of the economy is experiencing near-recessionary conditions.","an","admission","by","the","rba","way",0.75,FALSE
"43","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","i","knew","i","had","to","would",3.16999999999825,FALSE
"44","So our prayer for today goes like this:",NA,"so","our","prayer","for","breakfast",0.0800000000017462,FALSE
"45","Roughly a week later, my sister and her ever-expanding family drove in from Alaska and picked me up, and then we all headed on to Alvin, Texas, once a happy place where a son would be reunited with his father, but now a haunted little town where ghosts of memories reared their teeth at every turn. We pulled into the driveway at dusk, greeted by my stepmother and stepbrother, both of who appeared to be much stronger than me.",NA,"roughly","a","week","later","of",0.0599999999976717,FALSE
"46","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","origin","middle","english","from","old","the",0.720000000001164,FALSE
"47","02 - It's All Over Now 04:01",NA,NA,"","","it's","No prediction for this word list yet",0.0299999999988358,FALSE
"48","(2 Corinthians 10:5).",NA,NA,NA,"","corinthians","No prediction for this word list yet",0.0200000000040745,FALSE
"49","After catching a cab to dinner at Boon Tong Kee (post to come shortly), a restaurant recommended by my uncle - also a foodie! :) - we dragged ourselves back onto the HiPPO boat for one last ride, to capture the nighttime experience and views.",NA,NA,"after","catching","a","up",0.150000000008731,FALSE
"50","individually and as a band in the studio, along with interviews","the","studio","along","with","interviews","buttons",0.929999999993015,FALSE
"51","to do this in remembrance of Him. Luke 22:19","in","remembrance","of","him","luke","that",0.75,FALSE
"52","with me and will not let go.","and","will","not","let","go","go",0.820000000006985,TRUE
"53","Spanish Omelettes are delicious enough by themselves but they are lovely with salad to accompany them to add an attractive finishing touch !!!","salad","to","accompany","them","to","to",0.709999999991851,TRUE
"54","Caroline Saunders (Lab) 1,142",NA,NA,NA,"caroline","saunders","No prediction for this word list yet",0.00999999999476131,FALSE
"55","Her father smiled. ""They take just a tiny bit of your qi, your soul energy, when you're initiated and at various other points during your time there. I don't know how, but they make gold from it.""","don't","know","how","but","they","anyone",3.25,FALSE
"56","There came a point, maybe three years into that, where I began to realise I'd have to have another go at a novel. Giant Thief didn't originate with any one story, but it did come out of not wanting to make the mistakes I'd made with my first attempt at novel writing. I was writing one or two short stories a month, and I didn't want to lose that pace. So it had to be something fast-paced, fun, not too convoluted. Something I could throw myself into and just keep moving with.","originate","with","any","one","story","please",0.780000000013388,FALSE
"57","anyway, i digress. we’ve got a bed, a sofa, a washing machine – all the important things, really. and the furniture for the baby room comes tomorrow morning. which is good since come next week, i could literally go into labor at any moment. though, i really hope he’ll wait for a little bit. a couple weeks at least. we’re not quite ready yet (though not sure if we will be in a few weeks, either).","at","least","were","not","quite","a",2.45999999999185,FALSE
"58","I wrote you a love haiku","i","wrote","you","a","love","lil",0.860000000000582,FALSE
"59","Sunday the festivities continued. I went BACK to Shadowbox to see Back to the Garden again. (Told ya I love that place). Then after that was over, I had to work at the store. It was Survivor finale night, and we do a special Survivor crop each season, so I had to go host that.","had","to","work","at","the","some",0.0399999999935972,FALSE
"60","He grabs my arm and yanks me around to face him. I slam into his chest with a thud that jars my bones and knocks the fight right out of me. I stumble back, away from him, and fold my arms across my chest to cover the logo of Sam’s sweatshirt.","me","around","to","face","him","the",0.89000000001397,FALSE
"61","1 Beauty Contest",NA,NA,"","beauty","contest","of",0.0299999999988358,FALSE
"62","To see all the PACA (Provence Alpes Côte d'Azur) Michelin rankings, go here:","d'azur","michelin","rankings","go","here","to",0.860000000000582,FALSE
"63","The black sports coat, white button-up shirt, khaki slacks, and leather loafers he wore were all tailored and very expensive giving the impression of him being some sort of major player in the world trying to lay low and relax. It was a thought that Peter was beginning to believe more and more about himself as his sales numbers rocketed into orbit.","more","about","himself","as","his","some",0.709999999991851,FALSE
"64","Craft beer pubs blog post is on the back burner - I really wanted to get the next blog out there while the fire burns bright in my heart about it","i","really","wanted","to","get","write",0.150000000008731,FALSE
"65","The only not-so-fabulous part was that as I was getting the monkeys in the tub, I started to sneeze. And feel drippy and tickly. Sure signs of an end-of-summer cold. Bluck. I feel icky this morning, but have too much to do to be sick. So I am refusing to succumb to my desire to plop on the couch and sniff all day. I am hoping sheer will alone will heal me :)","that","as","i","was","getting","heading",0.069999999992433,FALSE
"66","From Peru, we flew to Ecuador and then on to the wedding. After the celebrations, we were off to Hawaii, for a much needed relaxing beach holiday, after which we did a wonderful cruise of The Great Barrier Reef, before flying home via Singapore. What a great trip that was, and one day I’ll put some more photos up for you to see.","flying","home","via","singapore","what","will",0.820000000006985,FALSE
"67","This race is a top-notch way to break into the triple digits for the first time. That’s why I keep coming back and I always bring others with me. The volunteers are wonderful. The food and support system is exceptional. And the race direction is flawlessly efficient. Joe Prusaitis certainly knows how to put on a quality event! Those of us that stuck around for the award ceremony brought home a special Texas Trinket for being one of the most interesting out-of-town groups.","with","me","the","volunteers","are","to",0.719999999986612,FALSE
"68","The company are introducing an internal ‘carbon price’ to encourage their individual business arms to become more responsible for the costs of offsetting their emissions.","individual","business","arms","to","become","cast",0.780000000013388,FALSE
"69","Remove squash from oven and arrange on bed of greens with goat cheese and prosciutto. Dress to your liking.","squash","from","oven","and","arrange","the",0.849999999991269,FALSE
"70","in her hair",NA,NA,"in","her","hair","own",0.0599999999976717,FALSE
"71","3/4 C Dairy Free, Soy-Free Vegetable Shortening (we use Spectrum)",NA,NA,"","c","dairy","have",0.169999999998254,FALSE
"72","“When one has seen one house he has seen them all, the same everlasting high stoops and gloomy brown-stone fronts, the same number of holes punched in exactly the same places,” Osman quotes a late 19th century writer as lamenting. “The new brownstone and trolley grid inspired 19th century eulogies for a real and imagined agricultural landscape,” Osman writes.","century","writer","as","lamenting","the","in",0.720000000001164,FALSE
"73","Here’s a great way to use both eggs and leftover noodles for a satisfying dish. Paula Super, of Merrimack, writes:","heres","a","great","way","to","to",0.139999999999418,TRUE
"74","“unchanged to previous positions” – if repeatedly unchanged, then psychological / biased","repeatedly","unchanged","then","psychological","","counseling",0.720000000001164,FALSE
"75","Freddie did spend some time in Vietnam too; I think he told us he used to make maps there. But we never pushed it because who knew if he would “Freak out” about it. And Freddie knew just about everything you know, politics, art, religion, history, philosophy, and most important, Brooklyn.","it","and","freddie","knew","just","something",0.880000000004657,FALSE
"76","Again, I’ve just begun working on what Mr. Licata told me and I’ll post more later but if its true, it would make a great book: corrupt lawyers, bribed judges and completely crooked bankers engaging in mortgage fraud and outright theft. Real estate slows down from about the end of May and won’t really resume until September so maybe I’ll devote some of that free time to writing this up – it’s got the ingredients for a great tale.","and","wont","really","resume","until","match",0.679999999993015,FALSE
"77","It's official, I made the 2012 Spellbinders team. It's been an amazing year and I am so glad that it doesn't have to end. I love this company, their products, their values, and the people who make Spellbinders what it is.","their","values","and","the","people","other",0.860000000000582,FALSE
"78","I'm a voracious reader. Always have been. As a teenager, my parents ended up having to hide my books so I would get my chores done because I would spend every chance I got reading. It didn't really change when I had a family, except no one had to hide my books so I'd get my chores done. :P","it","didn't","really","change","when","after",1.05000000000291,FALSE
"79","Cole then settled in Memphis. His son Victor Cole, Jr., a product of a local Memphis high school, signed on to play in 2013 for the University of Memphis, according to The Memphis Commercial Appeal.","then","settled","in","memphis","his","chicago",1.41999999999825,FALSE
"80","I was walking back from my girlfriend’s house through Park South, a notoriously run-down area of Swindon, riddled with unemployment, anti-social behaviour and crime. It’s not the area of Swindon I normally associate with a ‘passion for politics’, but as I crossed the water logged field I saw a purple and yellow glow from a window. ‘VOTE UKIP’. Wait, what? – This took me by surprise, Park South has always been a Labour stronghold, we have all seen it in the media that the ‘smaller’ parties are going to do well tomorrow, but this really hit home for me. It’s bitter-sweet.","from","my","girlfriends","house","through","to",0.940000000002328,FALSE
"81","Due to the nature of my job (raising children) I find my cleaning standards have slipped somewhat. After a day spent washing up, sweeping food off the kitchen floor, wiping all the surfaces, picking up toys and random objects up off every floor in the house, cooking, looking after my kids, making beds, and hanging washing out, seventeen times over, I have no remaining energy to do any actual cleaning.","every","floor","in","the","house","morning",0.75,FALSE
"82","I've got to admit that I didn't know the Norfolk Broads was water, for some reason I just imagined it being fields. We learned little bits about it along the way, like they're man-made, but I did a bit more research here and have learned that the Broads is now the UK's largest nationally protected wetland. They are a man-made creation, formed when people dug for peat! Who knew?","to","admit","that","i","didn't","didn't",0.150000000008731,TRUE
"83","Vacuum all carpeted areas and clean all other floors. Pull the couches away from the walls and get behind there. Every second week, remove the cushions and vacuum the inside of the couch on this day.","second","week","remove","the","cushions","rotting",0.610000000000582,FALSE
"84","Earlier this week, the German small business foundation filed a criminal lawsuit against the Bundesbank, accusing the board of disguising the true scale of risk born by German citizens. If they knew all that Geli wants to sign them up for, the entire nation would have a fit of the vapours.",NA,NA,"earlier","this","week","month",0.159999999988941,FALSE
"85","Devising what the day might bring:",NA,NA,NA,"devising","what","No prediction for this word list yet",0,FALSE
"86","i really liked this outfit because it was comfortable and good for running errands but still had that touch of style and fashion with it.","had","that","touch","of","style","moisture",0.770000000004075,FALSE
"87","2010.08.27 Iraq Shurqat 3 3 A suspected al-Qaeda attack leaves three dead.",NA,NA,"","iraq","shurqat","his",0.0399999999935972,FALSE
"88","We’ll have faith because we’re clean — not just because of what Jesus did — but because we lived in Him, righteous, by His grace we overcame. We didn’t shrink back. We made sure that we stayed right with Him. We’re supposed to walk like Jesus walked. We can’t just do our own thing and think it’s okay because of some formula. “Without holiness, no man will see God.”","did","","but","because","we","if",0.75,FALSE
"89","Jen, who said",NA,NA,"jen","who","said","is",0.0700000000069849,FALSE
"90","We have invented self-flushing toilets, self flowing faucets, instant hot water dispensers. Even my cat relies on all these things, like her automatic feeders! I fill these contraptions once a week, and automatically, with a paw- up into it, pellets drop in in just the right amount. She uses a cat litter with self-absorption-odor absorption qualities unequaled in history.We have invented so many devices, and machines, and applications to machines, machines that replace machines, that we no longer have to lift ourselves out of bed.","these","things","like","her","automatic","more",0.779999999998836,FALSE
"91","So although I didn’t have much technology at home I was getting pushed into it at school..",NA,NA,"so","although","i","the",0.0599999999976717,FALSE
"92","それじゃ～～ Pardon me for the short post. I have to go back to work for now.","have","to","go","back","to","to",0.169999999998254,TRUE
"93","Michael helped me hold up the arches while I drilled in a few pilot holes and some dry wall screws. It's a good idea to really get those screws in flush with the MDF or even counter-sunk so you can't see them later. We installed the flat trim in the same way.","helped","me","hold","up","the","a",0.720000000001164,FALSE
"94","This is highly negative in nature and has some deadly impacts on married life.If a human gets married to another with Manglik dosh then the Manglik Dosh of partner will surely effect other's life.It has a single solution which is known as ""Kumbh Vivah"". This is the only way which can end this Dosh and may give prosperity to both Bride and Groom even if one has Major Manglik Dosh.","if","one","has","major","manglik","political",0.770000000004075,FALSE
"95","“The church she requested to attend is 180 degrees different from the ramblings of that hell, fire and brimstone preacher,” said Parnham. “She would just like to get back into a stable church whereby God and Christianity become a role in her life. There’s nothing nefarious about that.”","get","back","into","a","stable","work",1.00999999999476,FALSE
"96","Baby Don't Tear My Clothes by The Raunch Hands","don't","tear","my","clothes","by","ugh",0.700000000011642,FALSE
"97","1 pear, cored, and cut into large cubes","and","cut","into","large","cubes","cherry",0.75,FALSE
"98","Mr. Requiro has soloed with the Tokyo Philharmonic, National Symphony Orchestra, Seattle Symphony, and and other orchestras across the U.S. His Carnegie Hall debut recital at Weill Hall was followed by a critically acclaimed San Francisco Performances recital at the Herbst Theatre. Soon after making his Kennedy Center debut, Mr. Requiro also completed the cycle of Beethoven’s Sonatas for Piano and Cello at the Phillips Collection in Washington, D.C. Actively involved in contemporary music, he has collaborated with composers Krzysztof Penderecki and Bright Sheng and most recently gave the Dutch premier of Pierre Jalbert’s Sonata for cello and piano at the 2010 Amsterdam Cello Biennale.","philharmonic","national","symphony","orchestra","seattle","its",0.769999999989523,FALSE
"99","For the yogurt sauce:",NA,NA,NA,"for","the","the",0.0299999999988358,TRUE
"100","You can also see how we've got a layer of cement material in our walls (I think it's called rock lath like I mentioned here) - yep, that is fun to drill through and Aaron's Dad knows just how fun it is to sawzall through (someday we can get a proper intro to our kitchen for you).","get","a","proper","intro","to","is",0.910000000003492,FALSE
"101","And a lot more trust",NA,NA,NA,"and","a","the",0.0299999999988358,FALSE
"102","Every day. Every single day I do this with my nemesis I75. And every single day I remember what a dumbass I am for thinking I can beat the odds, that I won't be thinking unkind thoughts about whomever caused the accident that has resulted in the bumper to bumper clusterfuck that is the worst commute in the nation. I lament the fact that they don't have formal drivers' education here, that the public transportation system is pretty much nonexistent and, of course, I berate myself for once again for forgetting that the back roads aren't just more scenic. They're more efficient, too.",NA,"every","day","every","single","day",0.0599999999976717,FALSE
"103","Hibiscus aguas fresca",NA,NA,"hibiscus","aguas","fresca","No prediction for this word list yet",0.0299999999988358,FALSE
"104","""It ain't over till the fat lady sings"" he says,",NA,NA,"it","ain't","over","a",0.160000000003492,FALSE
"105","After I finished watching Kelly Rowan's trials and tribulations trying to free her 16 year old daughter from a polygamist sect (I'm a sucker for the polygamy ones), I returned to discover a tub that was virtually spotless. I was in shock. My dad is seriously the smartest person alive.","to","discover","a","tub","that","for",0.650000000008731,FALSE
"106","Stella Telleria",NA,NA,NA,"stella","telleria","rose",0.0399999999935972,FALSE
"107","After so many incidents in which Palestinian propaganda has managed to rearrange the narrative so that the Israeli side appears to be the aggressor, we could expect the IDF brass, as well as Israel’s government, to show restraint, perhaps count to 30, before throwing their own man under the media bus. But, alas, both IDF Chief of Staff Benny Gantz and Prime Minister Benjamin Netanyahu condemned a senior IDF officer for the way he appears on a selectively edited Palestinian video on You Tube.","show","restraint","perhaps","count","to","seems",0.779999999998836,FALSE
"108","The first of what is likely many. “Due to technical disturbances, Oslo Børs’ Equity and Bonds markets are temporary halted. Members may delete their orders in this state. Further information will follow. “","oslo","brs","equity","and","bonds","the",0.639999999999418,FALSE
"109","Phoebe Finds Her Voice is aimed at 7-11 year olds and is the first book in the Star Maker’s series.","voice","is","aimed","at","","smugglers",0.169999999998254,FALSE
"110","“Madam, God himself could not sink this ship.” --A steward on the Titanic",NA,"madam","god","himself","could","is",0.0599999999976717,FALSE
"111","“That’s next week’s lesson.”",NA,"thats","next","weeks","lesson","ago",0.0800000000017462,FALSE
"112","“Are you making fun of me?” he’d ask.",NA,NA,"are","you","making","gonna",0.0800000000017462,FALSE
"113","¨ Jane Odiwe",NA,NA,"","jane","odiwe","austencummary",0.0599999999976717,FALSE
"114","Noticing is what effected change for Simba in The Lion King. The voice of his father echoing from the past at last reminded him of that which he had long forgotten to pay attention to—his heart, his purpose, and his true identity. As he chose to be responsive to the truth, he was able to face his fears and return to the Pride Lands with a new perspective.","face","his","fears","and","return","make",1.11000000000058,FALSE
"115","In the stack of stuff were three envelopes from my attorney.",NA,NA,NA,"in","the","the",0.0200000000040745,TRUE
"116","I’ve been told by more than one person that I have the mouth of a sailor. Some of my favorite expletives involve a combination of the words “hairy,” “ballsack,” and “wrinkly.” This didn’t come naturally for me. I had to work at it, practice my trade, experiment with new combinations. I’ve worked very hard to have a mouth even the British Orbit lady couldn’t clean up.","of","my","favorite","expletives","involve","colleagues",2.4600000000064,FALSE
"117","During our visit Iceland was unseasonably cold. It was so cold in fact that we purchased an extra layer at Iceland's own 66˚N so we could withstand the coldness. Being on a boat only amplified that and we had to remember that this is summer.","at","iceland's","own","n","so","to",0.700000000011642,FALSE
"118","Songs vary;",NA,NA,NA,"songs","vary","that",0.0299999999988358,FALSE
"119","Water (or sparkling water if you're fancy)",NA,NA,NA,"water","or","and",0.0199999999895226,FALSE
"120","“I have worked for 40 years, paid taxes for 40 years and paid NI for 40 years. I have been on DLA for 6 years and if I were still able to work I would still be on £40,000 pa and have a company car instead of a Motorbility car. I would travel the country using my first class rail warrant and stay in 4* hotels using my generous expense account. I had dignity, self belief, respect and I loved my job. However, it would seem that one day I decided to become disabled, poverty stricken and treated like a criminal. As a life style choice it was a disaster! Now it seems I am guilty of attempted fraud, worthless, a burden on society and a waste of space. Does anybody really believe that I prefer my life now? Drug addicts, while also needing help, are treated with more compassion and they made an informed choice to start using. I did not choose to be this way and I expect to be given as much support.” Derek Benyon, Leicestershire; sick for 7 years","guilty","of","attempted","fraud","worthless","and",0.690000000002328,FALSE
"121","I recently cancelled my cable (for the second time) due to escalating costs and a general disgust at the lack of quality programming. I won’t lie and say I’ve never indulged in reality smut for entertainment. I have caught myself watching Bachelor Pad and no part of me is proud of it. It is the “train-wreck” factor that keeps people paying attention to most of the stuff that passes for good TV.","entertainment","i","have","caught","myself","up",0.869999999995343,FALSE
"122","I told by boss my leaving date this week and put the rumours to rest. Clients naturally got told first, but news travels fast with only a matter of weeks to go and soon everyone knew. condolences and wishes of good luck come flooding in, the work floods in and dries up at the same time – it is a funny one.","travels","fast","with","only","a","cds",0.80000000000291,FALSE
"123","Hospital in Empangeni on Wednesday night after undergoing an emergency","in","empangeni","on","wednesday","night","seconds",0.730000000010477,FALSE
"124","I don’t mean to be disrespectful and I know that Mike Melvoin — who penned five tunes, including the New York songs, on the album and lends his considerable talents on piano — unfortunately passed away in February. But I can’t help feeling I’ve heard this all before. Basse is compared by some critics and the album’s publicity to Mel Torme, Ray Charles and Dr. John (Dr. John, really?) but in truth he’s a lot closer to Harry Connick, Jr. without as much sparkle and wit.","","unfortunately","passed","away","in","today",0.739999999990687,FALSE
